Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,1.25,1.25,1.21,1.22,1.22,2612200
2016-12-20,1.22,1.26,1.22,1.25,1.25,4658900
2016-12-21,1.24,1.26,1.24,1.26,1.26,2277800
2016-12-22,1.28,1.29,1.27,1.29,1.29,1457200
2016-12-23,1.29,1.3,1.24,1.24,1.24,2380600
2016-12-26,1.24,1.24,1.19,1.2,1.2,1230200
2016-12-27,1.19,1.19,1.17,1.17,1.17,1461900
2016-12-28,1.16,1.18,1.13,1.14,1.14,456200
2016-12-29,1.14,1.15,1.02,1.02,1.02,2824300
2016-12-30,1.01,1.06,0.99,1.05,1.05,28776200
2017-01-04,0.99,1,0.88,0.88,0.88,12030600
2017-01-05,0.85,0.88,0.81,0.84,0.84,28883100
2017-01-06,0.85,0.88,0.82,0.83,0.83,35234800
2017-01-09,0.84,0.89,0.83,0.89,0.89,37540900
2017-01-10,0.89,0.89,0.82,0.83,0.83,22165700
2017-01-11,0.85,0.86,0.79,0.83,0.83,23021100
2017-01-12,0.81,0.87,0.81,0.87,0.87,27056800
2017-01-13,0.85,0.86,0.8,0.81,0.81,17401700
2017-01-16,0.84,0.87,0.82,0.84,0.84,23087600
2017-01-17,0.84,0.87,0.82,0.86,0.86,17002400
2017-01-18,0.86,0.89,0.85,0.89,0.89,14599400
2017-01-19,0.9,0.94,0.9,0.92,0.92,21295800
2017-01-20,0.94,0.94,0.87,0.88,0.88,21089000
2017-01-23,0.85,0.88,0.85,0.87,0.87,22496900
2017-01-24,0.84,0.84,0.8,0.8,0.8,25039500
2017-01-25,0.77,0.77,0.72,0.72,0.72,16574900
2017-01-26,0.66,0.7,0.66,0.66,0.66,27395700
2017-01-27,0.66,0.7,0.66,0.67,0.67,8232600
2017-01-30,0.69,0.71,0.67,0.68,0.68,13045000
2017-01-31,0.71,0.76,0.71,0.76,0.76,30249500
2017-02-01,0.77,0.79,0.74,0.75,0.75,29736000
2017-02-02,0.73,0.77,0.72,0.76,0.76,26575000
2017-02-03,0.77,0.78,0.67,0.67,0.67,16882000
2017-02-06,0.65,0.68,0.64,0.64,0.64,16728700
2017-02-07,0.65,0.69,0.64,0.69,0.69,24844700
2017-02-08,0.69,0.69,0.61,0.62,0.62,12605800
2017-02-09,0.6,0.67,0.6,0.66,0.66,35020900
2017-02-10,0.63,0.66,0.62,0.66,0.66,26880500
2017-02-14,0.62,0.73,0.62,0.72,0.72,78482000
2017-02-15,0.72,0.75,0.68,0.69,0.69,54399100
2017-02-16,0.69,0.69,0.66,0.68,0.68,34860700
2017-02-17,0.63,0.64,0.61,0.63,0.63,25563000
2017-02-20,0.63,0.65,0.62,0.62,0.62,29316700
2017-02-21,0.63,0.69,0.61,0.68,0.68,52637700
2017-02-22,0.67,0.7,0.65,0.65,0.65,52639300
2017-02-23,0.66,0.68,0.65,0.66,0.66,52575600
2017-02-24,0.68,0.69,0.66,0.66,0.66,7512300
2017-02-27,0.7,0.72,0.69,0.71,0.71,33946600
2017-02-28,0.68,0.69,0.67,0.68,0.68,42744100
2017-03-01,0.64,0.64,0.6,0.6,0.6,19854000
2017-03-02,0.58,0.58,0.56,0.58,0.58,8111000
2017-03-03,0.59,0.61,0.59,0.61,0.61,30197400
2017-03-06,0.63,0.68,0.63,0.68,0.68,29340700
2017-03-07,0.66,0.67,0.63,0.65,0.65,29817200
2017-03-08,0.66,0.7,0.6,0.61,0.61,28025000
2017-03-09,0.63,0.65,0.6,0.62,0.62,44746600
2017-03-10,0.61,0.67,0.61,0.66,0.66,40081900
2017-03-13,0.65,0.66,0.62,0.62,0.62,25511600
2017-03-14,0.61,0.62,0.57,0.59,0.59,24067200
2017-03-15,0.59,0.61,0.58,0.59,0.59,18934500
2017-03-16,0.53,0.53,0.48,0.48,0.48,22104400
2017-03-17,0.46,0.48,0.46,0.46,0.46,24219500
2017-03-20,0.42,0.46,0.4,0.46,0.46,16254400
2017-03-21,0.43,0.44,0.38,0.38,0.38,44147100
2017-03-22,0.42,0.43,0.39,0.4,0.4,59424700
2017-03-23,0.35,0.38,0.34,0.37,0.37,16710100
2017-03-24,0.36,0.36,0.3,0.31,0.31,28549700
2017-03-27,0.3,0.3,0.29,0.29,0.29,7908800
2017-03-28,0.26,0.27,0.24,0.24,0.24,2413300
2017-03-29,0.21,0.23,0.21,0.23,0.23,1028800
2017-03-30,0.19,0.2,0.07,0.08,0.08,7181800
