Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,0.65,0.74,0.64,0.74,0.74,9403400
2016-07-15,0.78,0.78,0.73,0.75,0.75,22288500
2016-07-20,0.76,0.89,0.75,0.88,0.88,32887800
2016-07-21,0.88,0.94,0.8,0.8,0.8,60891900
2016-07-22,0.79,0.9,0.76,0.88,0.88,35095600
2016-07-25,0.81,0.88,0.8,0.84,0.84,41129700
2016-07-26,0.85,0.86,0.73,0.74,0.74,60498500
2016-07-27,0.8,0.86,0.8,0.81,0.81,38961000
2016-07-28,0.82,0.92,0.76,0.9,0.9,78186500
2016-07-29,0.9,0.93,0.86,0.86,0.86,74904700
2016-08-01,0.92,0.92,0.71,0.72,0.72,72317700
2016-08-02,0.68,0.73,0.61,0.61,0.61,77660400
2016-08-03,0.6,0.69,0.59,0.68,0.68,77036000
2016-08-04,0.67,0.7,0.65,0.66,0.66,56385300
2016-08-05,0.73,0.78,0.71,0.77,0.77,58778500
2016-08-08,0.98,1.03,0.89,1.03,1.03,62680800
2016-08-09,1.01,1.07,0.98,1.05,1.05,61603800
2016-08-10,1.05,1.07,0.98,1.02,1.02,71704600
2016-08-11,1.01,1.09,0.99,1.09,1.09,69079100
2016-08-15,0.96,1.13,0.94,1.02,1.02,89487800
2016-08-16,1.03,1.06,0.88,0.9,0.9,98025500
2016-08-17,0.89,0.91,0.83,0.83,0.83,80108200
2016-08-18,0.88,1.01,0.88,0.96,0.96,64627000
2016-08-19,0.98,0.98,0.83,0.84,0.84,65208300
2016-08-22,0.83,0.88,0.81,0.83,0.83,85673100
2016-08-23,0.77,0.84,0.72,0.83,0.83,105016200
2016-08-24,0.8,0.91,0.78,0.88,0.88,94733400
2016-08-25,0.9,0.94,0.79,0.81,0.81,107934000
2016-08-26,0.81,0.91,0.81,0.85,0.85,99539500
2016-08-29,0.82,0.84,0.7,0.73,0.73,142402900
2016-08-30,0.78,0.82,0.74,0.74,0.74,103156000
2016-08-31,0.71,0.76,0.69,0.74,0.74,92410300
2016-09-01,0.7,0.73,0.64,0.64,0.64,112958800
2016-09-02,0.61,0.62,0.46,0.46,0.46,214854000
2016-09-05,0.47,0.48,0.25,0.3,0.3,149820100
2016-09-06,0.28,0.33,0.27,0.28,0.28,136693100
2016-09-07,0.29,0.34,0.21,0.22,0.22,102576100
2016-09-08,0.22,0.23,0.12,0.12,0.12,163955800
2016-09-09,0.12,0.15,0.08,0.09,0.09,274332200
2016-09-12,0.06,0.06,0.03,0.03,0.03,136390300
2016-09-13,0.04,0.09,0.03,0.08,0.08,101979500
2016-09-14,0.07,0.1,0.06,0.08,0.08,83657400
2016-09-15,0.08,0.1,0.06,0.07,0.07,52839200
2016-09-16,0.08,0.12,0.07,0.12,0.12,34130900
2016-09-19,0.09,0.11,0.08,0.1,0.1,36043900
2016-09-20,0.08,0.08,0.03,0.04,0.04,61735500
2016-09-21,0.05,0.1,0.05,0.06,0.06,72440600
2016-09-22,0.09,0.12,0.08,0.11,0.11,49879500
2016-09-23,0.09,0.09,0.04,0.04,0.04,114044300
2016-09-26,0.03,0.03,0.01,0.01,0.01,15351800
2016-09-27,0.01,0.02,0.01,0.01,0.01,22992100
2016-09-28,0.01,0.02,0.01,0.01,0.01,3789600
2016-09-29,0.01,0.02,0.01,0.01,0.01,7728900
