Date,Open,High,Low,Close,Adj Close,Volume
2015-07-20,0.63,0.63,0.6,0.61,0.61,8260000
2015-07-21,0.55,0.55,0.52,0.53,0.53,53530000
2015-07-22,0.48,0.51,0.47,0.5,0.5,33720000
2015-07-23,0.51,0.52,0.48,0.48,0.48,93468000
2015-07-24,0.45,0.47,0.43,0.45,0.45,36048200
2015-07-27,0.39,0.39,0.33,0.34,0.34,42313000
2015-07-28,0.37,0.38,0.34,0.36,0.36,90135700
2015-07-29,0.37,0.39,0.34,0.38,0.38,78922900
2015-07-31,0.39,0.42,0.39,0.42,0.42,94203000
2015-08-03,0.39,0.42,0.39,0.42,0.42,81252000
2015-08-04,0.4,0.4,0.36,0.37,0.37,55728000
2015-08-05,0.41,0.43,0.38,0.38,0.38,52238700
2015-08-06,0.38,0.38,0.35,0.37,0.37,58041400
2015-08-07,0.33,0.35,0.33,0.34,0.34,28428000
2015-08-10,0.3,0.3,0.29,0.3,0.3,29386100
2015-08-11,0.3,0.3,0.27,0.27,0.27,106900500
2015-08-13,0.23,0.25,0.2,0.25,0.25,4668700
2015-08-14,0.23,0.24,0.23,0.24,0.24,421700
2015-08-17,0.25,0.25,0.23,0.23,0.23,2858000
2015-08-18,0.16,0.17,0.13,0.14,0.14,1425000
2015-08-19,0.13,0.15,0.13,0.15,0.15,2744000
2015-08-20,0.12,0.13,0.12,0.12,0.12,2488000
2015-08-21,0.09,0.1,0.09,0.1,0.1,511000
2015-08-24,0.05,0.06,0.04,0.04,0.04,660100
2015-08-25,0.05,0.05,0.04,0.05,0.05,1000000
2015-08-27,0.06,0.08,0.05,0.08,0.08,1015000
2015-08-28,0.1,0.11,0.08,0.09,0.09,2598600
2015-08-31,0.08,0.11,0.08,0.1,0.1,532900
2015-09-01,0.09,0.09,0.06,0.06,0.06,1157000
2015-09-02,0.06,0.08,0.06,0.08,0.08,241000
2015-09-08,0.05,0.05,0.05,0.05,0.05,401000
2015-09-09,0.08,0.08,0.08,0.08,0.08,570000
2015-09-11,0.05,0.05,0.05,0.05,0.05,200000
2015-09-18,0.02,0.02,0.02,0.02,0.02,200000
2015-09-23,0.01,0.01,0.01,0.01,0.01,1000
