Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,0.58,0.6,0.56,0.58,0.58,57286100
2018-08-21,0.59,0.6,0.49,0.52,0.52,166390500
2018-08-22,0.54,0.59,0.53,0.53,0.53,104493900
2018-08-23,0.61,0.62,0.57,0.6,0.6,155601500
2018-08-24,0.54,0.58,0.53,0.57,0.57,43227600
2018-08-27,0.61,0.63,0.61,0.63,0.63,27710700
2018-08-28,0.68,0.7,0.64,0.64,0.64,37059000
2018-08-29,0.65,0.68,0.62,0.67,0.67,50393100
2018-08-30,0.68,0.7,0.63,0.63,0.63,32310000
2018-08-31,0.57,0.64,0.57,0.63,0.63,84702100
2018-09-03,0.59,0.63,0.59,0.6,0.6,96948400
2018-09-04,0.6,0.62,0.52,0.52,0.52,112733900
2018-09-05,0.49,0.51,0.39,0.39,0.39,112329600
2018-09-06,0.4,0.43,0.36,0.42,0.42,126650700
2018-09-07,0.38,0.41,0.36,0.37,0.37,91051300
2018-09-10,0.35,0.38,0.32,0.37,0.37,103094200
2018-09-11,0.37,0.39,0.25,0.25,0.25,65868800
2018-09-12,0.25,0.29,0.23,0.28,0.28,37885400
2018-09-13,0.34,0.56,0.34,0.53,0.53,111450700
2018-09-14,0.54,0.58,0.5,0.53,0.53,105775100
2018-09-17,0.45,0.5,0.4,0.45,0.45,147949800
2018-09-18,0.43,0.66,0.43,0.64,0.64,177313800
2018-09-19,0.68,0.8,0.66,0.67,0.67,174431900
2018-09-20,0.75,0.77,0.69,0.69,0.69,201818100
2018-09-21,0.73,0.8,0.67,0.7,0.7,195372400
2018-09-24,0.61,0.68,0.6,0.62,0.62,141319000
2018-09-25,0.64,0.68,0.61,0.64,0.64,155968400
2018-09-26,0.68,0.69,0.61,0.61,0.61,162239300
2018-09-27,0.61,0.62,0.51,0.61,0.61,185472400
2018-09-28,0.65,0.66,0.6,0.6,0.6,131841500
2018-10-01,0.64,0.65,0.61,0.62,0.62,75210000
2018-10-02,0.56,0.59,0.47,0.47,0.47,78228300
2018-10-03,0.5,0.52,0.45,0.45,0.45,27235000
2018-10-04,0.4,0.44,0.35,0.35,0.35,7854400
2018-10-05,0.34,0.35,0.28,0.28,0.28,4556400
2018-10-08,0.24,0.3,0.22,0.22,0.22,7440100
2018-10-09,0.2,0.23,0.14,0.14,0.14,9583300
2018-10-10,0.19,0.24,0.19,0.24,0.24,9593800
2018-10-11,0.14,0.19,0.13,0.17,0.17,7346500
2018-10-12,0.17,0.18,0.13,0.15,0.15,1162000
2018-10-16,0.14,0.16,0.14,0.15,0.15,1068900
2018-10-17,0.21,0.21,0.13,0.15,0.15,1632100
2018-10-18,0.14,0.14,0.07,0.09,0.09,594800
2018-10-19,0.05,0.05,0.03,0.05,0.05,2519700
2018-10-22,0.02,0.04,0.02,0.03,0.03,4407500
2018-10-24,0.01,0.02,0.01,0.02,0.02,349700
2018-10-25,0.01,0.03,0.01,0.02,0.02,4741900
2018-10-26,0.01,0.01,0.01,0.01,0.01,1786900
2018-10-29,0.01,0.01,0.01,0.01,0.01,100
