Date,Open,High,Low,Close,Adj Close,Volume
2014-09-16,1.19,1.19,1.19,1.19,1.19,2000
2014-09-18,1.15,1.15,1.15,1.15,1.15,2000
2014-09-19,1.12,1.12,1.12,1.12,1.12,2000
2014-09-24,1.06,1.07,1.06,1.07,1.07,600000
2014-09-29,1.13,1.13,1.11,1.11,1.11,2000
2014-09-30,1.03,1.03,1.03,1.03,1.03,1000
2014-10-07,1.16,1.16,1.16,1.16,1.16,9000
2014-10-21,1.19,1.2,1.19,1.2,1.2,60000
2014-10-22,1.16,1.17,1.16,1.17,1.17,200000
2014-10-29,0.95,0.97,0.94,0.97,0.97,20000000
2014-10-30,0.94,0.94,0.93,0.93,0.93,600800
2014-10-31,0.88,0.88,0.84,0.84,0.84,2400000
2014-11-06,0.74,0.77,0.73,0.73,0.73,6000000
2014-11-07,0.73,0.75,0.73,0.75,0.75,2030000
2014-11-10,0.78,0.79,0.78,0.79,0.79,397200
2014-11-11,0.77,0.77,0.74,0.74,0.74,2380000
2014-11-12,0.76,0.8,0.76,0.8,0.8,25806200
2014-11-13,0.8,0.8,0.68,0.68,0.68,7051000
2014-11-14,0.68,0.7,0.67,0.7,0.7,38138000
2014-11-17,0.69,0.73,0.69,0.72,0.72,2142000
2014-11-18,0.7,0.7,0.6,0.61,0.61,1089000
2014-11-19,0.62,0.64,0.62,0.63,0.63,4085000
2014-11-20,0.66,0.72,0.66,0.72,0.72,4000000
2014-11-21,0.72,0.72,0.65,0.65,0.65,4699500
2014-11-24,0.56,0.58,0.56,0.57,0.57,3100500
2014-11-25,0.55,0.55,0.5,0.5,0.5,8660000
2014-11-26,0.47,0.47,0.45,0.47,0.47,307000
2014-11-27,0.45,0.45,0.42,0.42,0.42,6376000
2014-11-28,0.44,0.47,0.43,0.46,0.46,4217100
2014-12-01,0.45,0.46,0.42,0.44,0.44,152000
2014-12-02,0.48,0.48,0.46,0.46,0.46,60000
2014-12-03,0.41,0.44,0.41,0.44,0.44,2932000
2014-12-04,0.41,0.42,0.4,0.4,0.4,1727100
2014-12-08,0.4,0.47,0.39,0.47,0.47,16570000
2014-12-09,0.53,0.57,0.52,0.57,0.57,8172000
2014-12-11,0.79,0.95,0.79,0.95,0.95,700800
2014-12-12,0.92,0.97,0.88,0.96,0.96,126000
2014-12-15,1.18,1.52,1.17,1.52,1.52,6000
2014-12-16,1.78,1.87,1.78,1.86,1.86,1000
