Date,Open,High,Low,Close,Adj Close,Volume
2015-10-29,893,893,893,893,893,1
2015-10-30,874.1,895,874.1,885.8,885.8,17
2015-11-02,888,906,888,906,906,9
2015-11-03,907.5,907.5,904.5,904.5,904.5,5
2015-11-04,914,914,906.5,911.4,911.4,17
2015-11-05,915,915,914,914,914,3
2015-11-06,901.5,906.1,901.5,906.1,906.1,10
2015-11-09,902.3,902.3,896,896,896,8
2015-11-10,889.5,892,887.5,887.5,887.5,7
2015-11-11,887,887,883.4,883.4,883.4,4
2015-11-12,879.3,879.3,879.3,879.3,879.3,2
2015-11-13,878,878.9,878,878.9,878.9,2
2015-11-16,871.3,885.7,871.3,885.7,885.7,4
2015-11-17,891,891,888.5,888.5,888.5,2
2015-11-18,878.4,879.6,873.5,875,875,7
2015-11-19,879.6,885,878.1,885,885,6
2015-11-20,884,887.6,884,887.6,887.6,3
2015-11-26,881.9,884,877.9,879,879,12
2015-11-27,864,864,862.9,863,863,9
2015-11-30,852,865,852,865,865,5
2015-12-02,860,860,852.9,852.9,852.9,3
2015-12-03,846.4,856,844,856,856,14
2015-12-04,844.7,844.7,844.7,844.7,844.7,1
2015-12-08,832.3,832.3,829.7,829.7,829.7,2
2015-12-09,830,834.4,825.5,827,827,7
2015-12-11,820,820,820,820,820,2
2015-12-14,797,804.3,792.3,804.3,804.3,17
2015-12-15,806,828.5,805,828.5,828.5,45
2015-12-16,828.5,828.5,817.6,824,824,12
2015-12-17,814.1,830.2,814.1,826.8,826.8,16
2015-12-18,818,818,804.7,807.8,807.8,46
2015-12-21,807.2,807.2,798,798,798,28
2015-12-22,791,802,788,790.8,790.8,33
2015-12-23,798.8,805,795.5,805,805,16
2015-12-24,817.9,817.9,806,808,808,22
2015-12-25,804,812.3,804,812.3,812.3,10
2015-12-28,811.6,811.6,807.5,807.5,807.5,41
2015-12-29,807.9,807.9,798.1,799.2,799.2,29
2015-12-30,803,806.7,800.1,804.7,804.7,39
2016-01-04,792,797.7,788.2,789,789,67
2016-01-05,782.7,792,780,782,782,93
2016-01-06,776,792.5,776,787,787,116
2016-01-07,778.9,778.9,755.5,755.5,755.5,90
2016-01-08,762.9,800,759.1,774.5,774.5,241
2016-01-11,762.1,771.9,755.6,771.9,771.9,84
2016-01-12,767.2,787.8,763.1,787,787,115
2016-01-13,790.6,802.2,788.8,801.8,801.8,107
2016-01-14,777.6,796,777.6,789.1,789.1,84
2016-01-15,788.9,792.7,769,769,769,92
2016-01-18,758,777,758,768.8,768.8,64
2016-01-19,771.9,790.6,771.9,790.6,790.6,103
2016-01-20,776.5,778.1,768,773.9,773.9,144
2016-01-21,782,785,770,777,777,236
2016-01-22,786,797,782.1,795.6,795.6,117
2016-01-25,802,803.5,793.3,795.1,795.1,93
2016-01-26,789.6,795.5,787.9,791.4,791.4,155
2016-01-27,798.2,804,798,800.1,800.1,38
2016-01-28,801.3,812.8,800.2,812.8,812.8,25
