Date,Open,High,Low,Close,Adj Close,Volume
2012-03-29,840.4,841,839.2,841,841,17
2012-03-30,841.9,846,839,839,839,26
2012-04-02,838,839.3,836,839.1,839.1,10
2012-04-03,841.2,846.9,841.2,846.5,846.5,10
2012-04-04,837.6,837.6,834.5,834.5,834.5,4
2012-04-05,833.5,834.4,819.3,820,820,22
2012-04-10,816.5,816.5,806.7,813.1,813.1,8
2012-04-11,805.5,808.6,804.1,808,808,5
2012-04-12,806.8,810.7,805.4,810.7,810.7,22
2012-04-17,816.1,816.4,800,806,806,15
2012-04-18,812,813.9,807.6,807.6,807.6,10
2012-04-19,811.1,823.4,810.6,823.4,823.4,33
2012-04-20,822.1,831,822.1,831,831,45
2012-04-23,833,834.8,824.8,824.8,824.8,15
2012-04-24,828.6,834.7,824,834.4,834.4,15
2012-04-25,833.5,833.5,833,833,833,3
2012-04-26,836.5,842.6,836.5,841.8,841.8,8
2012-04-27,842.6,843,836,842.3,842.3,19
2012-04-30,847.8,856,847.8,856,856,22
2012-05-02,864,867.6,862,866.6,866.6,50
2012-05-03,864.6,868.3,864.6,867.7,867.7,6
2012-05-04,862.8,863.6,852.8,853,853,21
2012-05-08,848.4,859.5,847.1,853.5,853.5,35
2012-05-09,850.8,850.8,834,834,834,44
2012-05-10,839,839,822,824.5,824.5,41
2012-05-11,820,827.5,819,826.7,826.7,19
2012-05-14,829.6,829.6,804.2,804.8,804.8,33
2012-05-15,804,822.7,804,822.7,822.7,40
2012-05-16,808,811,796,811,811,50
2012-05-17,808,817,807,811.2,811.2,18
2012-05-18,798.9,801,792.5,796,796,53
2012-05-21,795.5,795.5,784.2,784.2,784.2,22
2012-05-22,786.9,786.9,776,776.8,776.8,12
2012-05-23,771,771,760,760.5,760.5,29
2012-05-24,762,774.1,751,773.9,773.9,75
2012-05-25,766.5,773.9,764,772,772,37
2012-05-28,774.3,782.5,766.2,782.5,782.5,14
2012-05-29,782,790.6,781,786,786,34
2012-05-30,783,783,772,772,772,14
2012-05-31,764.6,780.9,762,779,779,27
2012-06-01,777.1,777.1,757,760,760,23
2012-06-05,760.9,765,749,752.2,752.2,49
2012-06-06,759,765.5,757.4,765.5,765.5,22
2012-06-07,771,773.4,761.7,764,764,36
2012-06-08,761,771,759,770,770,27
2012-06-11,782.5,794.9,782.3,794.4,794.4,34
2012-06-12,787.5,797.6,784,797.2,797.2,31
2012-06-13,795.9,797.1,787.6,793.4,793.4,17
2012-06-14,789.4,795,788.7,788.7,788.7,10
2012-06-15,795.3,804.6,795,803.2,803.2,22
2012-06-18,811.3,811.3,797,799.8,799.8,27
2012-06-19,802.5,805,797.8,804,804,11
2012-06-20,803.5,804.6,802.6,804.6,804.6,8
2012-06-21,799.9,799.9,793,796.5,796.5,23
2012-06-22,786,789.2,784.3,789.2,789.2,21
2012-06-25,786.7,791.9,783.6,783.6,783.6,15
2012-06-26,784.4,790.9,784.4,787.5,787.5,7
2012-06-27,795,800,795,799.2,799.2,20
2012-06-28,800.3,805,796,800,800,31
2012-06-29,805,813,805,810.2,810.2,83
2012-07-02,815.5,819.3,814,818.5,818.5,89
2012-07-03,822,824.5,821,824.2,824.2,26
2012-07-04,825,826.7,819.5,822.7,822.7,80
2012-07-05,819.4,829,819.4,829,829,64
2012-07-06,823.8,828.9,820.5,825.7,825.7,57
2012-07-09,819,821,816.5,817.8,817.8,63
2012-07-10,818,832,817.7,832,832,127
2012-07-11,831.9,835.2,827.7,831.4,831.4,73
2012-07-12,827,828.7,821.6,821.6,821.6,69
2012-07-13,824.3,835,822.2,832.7,832.7,97
2012-07-16,834,838.1,831.6,834.8,834.8,59
2012-07-17,841.6,843,840,841.7,841.7,42
2012-07-18,840,841.1,835.9,839.6,839.6,47
2012-07-19,842.7,844.9,833,834.3,834.3,102
2012-07-20,834.7,834.7,828,830.6,830.6,31
2012-07-23,818,818,807.8,807.8,807.8,142
2012-07-24,810.5,812.6,804.4,809,809,32
2012-07-25,807,813,806,812.4,812.4,31
2012-07-26,813.7,814.2,797.5,798.5,798.5,137
2012-07-27,807,810,795,801,801,129
2012-07-30,805,811,803,809.1,809.1,152
2012-07-31,814,818,809.1,817.4,817.4,51
2012-08-01,816,820.2,815.9,819.7,819.7,39
2012-08-03,812,815.1,806,814.3,814.3,58
2012-08-06,824,824,818.9,821.4,821.4,27
2012-08-07,823.5,825,821,822.2,822.2,39
2012-08-08,825.1,828,825.1,825.5,825.5,50
2012-08-09,830,832.2,825,828.2,828.2,71
2012-08-10,827.6,830,824.2,829.5,829.5,45
2012-08-14,831,838.8,829.8,837.8,837.8,45
2012-08-15,833.2,839.6,833,838.5,838.5,29
2012-08-16,840.4,840.6,834,835,835,36
2012-08-17,838.5,838.5,831.2,834.2,834.2,37
2012-08-20,833,838,830,836.8,836.8,56
2012-08-21,837,840.7,837,839.6,839.6,29
2012-08-22,836.7,840,836,839,839,42
2012-08-23,842,845,841.6,844,844,49
2012-08-24,838.9,843.7,838.5,843,843,27
2012-08-27,843.2,845.3,839.5,840,840,48
2012-08-28,838.7,841.4,837.6,837.6,837.6,17
2012-08-29,839.3,839.3,830,830.9,830.9,61
2012-08-30,827,827.8,821.9,824.8,824.8,48
2012-08-31,822.7,832,822.2,832,832,70
2012-09-03,834,840.9,833.4,839.4,839.4,37
2012-09-04,842.3,842.5,837,839.8,839.8,40
2012-09-05,837.8,840.5,837.4,839.9,839.9,21
