Date,Open,High,Low,Close,Adj Close,Volume
2014-01-30,840,840,840,840,840,3
2014-02-06,867.4,868.7,867.4,868.7,868.7,2
2014-02-07,874,874,874,874,874,1
2014-02-11,871.6,871.6,871.6,871.6,871.6,1
2014-02-12,871,881.6,871,881.6,881.6,4
2014-02-13,875.9,878.9,875.9,878.9,878.9,2
2014-02-17,884,897.1,884,897.1,897.1,5
2014-02-18,895.5,895.5,895.5,895.5,895.5,1
2014-02-25,866.9,866.9,866.9,866.9,866.9,1
2014-02-26,876,876,876,876,876,1
2014-02-28,878,885.5,878,885.5,885.5,3
2014-03-03,897.6,897.6,897.6,897.6,897.6,1
2014-03-11,916.5,917,916.5,917,917,2
2014-03-13,917.9,922,917.2,922,922,4
2014-03-14,923.5,923.5,923.5,923.5,923.5,1
2014-03-17,920.4,924,917.1,924,924,3
2014-03-19,917.5,917.5,910.9,910.9,910.9,4
2014-03-20,908.1,908.1,902.5,902.5,902.5,5
2014-03-21,909,909,909,909,909,1
2014-03-24,905,905,905,905,905,1
2014-03-25,901.5,910,901.2,910,910,8
2014-03-26,916.8,916.8,916.8,916.8,916.8,1
2014-03-27,916.5,916.5,909.2,909.2,909.2,5
2014-03-28,914,928,912,925.5,925.5,16
2014-03-31,926,928.4,924.5,926,926,22
2014-04-01,929,937.5,929,937,937,38
2014-04-02,937.9,946,937.4,945.3,945.3,32
2014-04-03,944,945.4,940,944,944,43
2014-04-04,942.1,945,942.1,944.6,944.6,17
2014-04-08,936.3,938.4,932,932.1,932.1,22
2014-04-09,933.9,936.9,931,931,931,13
2014-04-10,931,938.7,930.3,938.3,938.3,46
2014-04-11,933.5,941,932.1,941,941,22
2014-04-16,946.4,948,945.7,947.8,947.8,12
2014-04-17,947.7,951.9,947.7,951.3,951.3,10
2014-04-18,951.7,954.4,951.7,954.4,954.4,13
2014-04-21,956,960.6,956,960.6,960.6,9
2014-04-22,961.7,961.7,956.7,958.8,958.8,10
2014-04-23,961.6,963.1,960.8,961.5,961.5,8
2014-04-24,964.5,964.9,962.8,964.9,964.9,19
2014-04-25,954.1,956,954,954,954,11
2014-04-28,955.1,960.7,955,959,959,11
2014-04-29,952,957,950,957,957,12
