Date,Open,High,Low,Close,Adj Close,Volume
2018-06-28,1051.8,1051.8,1038,1038,1038,342
2018-06-29,1041.5,1045,1034,1038,1038,593
2018-07-02,1040,1043.5,1031,1042.8,1042.8,571
2018-07-03,1036.1,1050.3,1036.1,1049,1049,3043
2018-07-04,1045.7,1052.8,1042.6,1049.2,1049.2,731
2018-07-05,1048.1,1049.6,1034.7,1038.6,1038.6,1149
2018-07-06,1036.8,1048.1,1029.5,1045.3,1045.3,1327
2018-07-09,1051,1054,1048,1050.5,1050.5,517
2018-07-10,1054,1065.6,1044.9,1065.5,1065.5,1110
2018-07-11,1059.9,1062.4,1056,1058.9,1058.9,580
2018-07-12,1060,1065,1057.6,1061.5,1061.5,505
2018-07-13,1064.7,1065.3,1059,1060.5,1060.5,446
2018-07-16,1058.8,1058.8,1049.4,1052.5,1052.5,273
2018-07-17,1049.7,1055.1,1047,1050.1,1050.1,364
2018-07-18,1053.2,1060,1053.2,1060,1060,495
2018-07-19,1061.1,1067,1059.4,1065,1065,610
2018-07-20,1064.9,1086.7,1064.5,1083.8,1083.8,1155
2018-07-23,1082.8,1094.7,1081,1087,1087,593
2018-07-24,1091,1095.5,1082.7,1085.9,1085.9,647
2018-07-25,1088,1105,1087.3,1100.9,1100.9,904
2018-07-26,1103.1,1110,1097,1109.1,1109.1,657
2018-07-31,1110.8,1112,1105.5,1112,1112,551
2018-08-01,1114,1125.5,1112,1125,1125,768
2018-08-02,1120,1122.7,1110,1113.5,1113.5,877
2018-08-03,1114.7,1120.8,1112.9,1117.9,1117.9,635
2018-08-06,1121,1123,1108.1,1111,1111,781
2018-08-07,1111.4,1120,1107,1116.8,1116.8,908
2018-08-08,1116.7,1128.9,1114.1,1128,1128,842
2018-08-09,1126.6,1133.9,1124.7,1128.6,1128.6,677
2018-08-10,1126.9,1126.9,1115.5,1118.4,1118.4,799
2018-08-14,1108,1111.9,1102.7,1111.9,1111.9,1224
2018-08-15,1108,1108,1094,1095.1,1095.1,982
2018-08-16,1090.2,1099.5,1088.5,1098,1098,748
2018-08-17,1101.9,1105.6,1099.1,1099.1,1099.1,192
2018-08-20,1105.5,1114.5,1105.5,1112.4,1112.4,365
2018-08-21,1115.8,1115.8,1101.1,1105.5,1105.5,431
2018-08-22,1108.5,1114.9,1106.6,1113,1113,419
2018-08-23,1115.5,1119,1112.5,1116.2,1116.2,439
2018-08-24,1112.5,1115.2,1108,1115.2,1115.2,266
2018-08-27,1122,1126.1,1120.3,1126.1,1126.1,334
2018-08-28,1131,1131,1125.1,1126.6,1126.6,549
2018-08-29,1126.9,1133,1124.6,1133,1133,463
2018-08-30,1132.7,1133.7,1120.3,1120.5,1120.5,604
2018-08-31,1120.4,1128.5,1119,1127.1,1127.1,498
2018-09-03,1123.7,1131,1123.7,1125.8,1125.8,206
2018-09-04,1127,1130.4,1117,1117,1117,750
2018-09-05,1112,1117.3,1100.6,1102,1102,630
2018-09-06,1102,1107.8,1097.7,1105.6,1105.6,463
2018-09-07,1100,1105.9,1098.3,1103.5,1103.5,353
2018-09-10,1099,1105.9,1095.8,1105.9,1105.9,343
2018-09-11,1103.6,1106,1081,1081,1081,993
2018-09-12,1083,1091.1,1081,1089.5,1089.5,1274
2018-09-13,1100.9,1127.1,1099,1122,1122,1620
2018-09-14,1127,1132,1122.2,1127.8,1127.8,880
2018-09-17,1124.7,1125.5,1115,1120.2,1120.2,1212
2018-09-18,1120,1146,1116.6,1146,1146,1703
2018-09-19,1149.7,1158.4,1145,1147.2,1147.2,2312
2018-09-20,1150.5,1156.5,1148.9,1151.4,1151.4,1155
2018-09-21,1154,1162,1150.5,1152.3,1152.3,1334
2018-09-24,1148.8,1153.5,1145.5,1148.2,1148.2,1239
2018-09-25,1149,1156.6,1147,1153.5,1153.5,1164
2018-09-26,1156,1156,1149,1151.5,1151.5,916
2018-09-27,1153,1153,1141,1152.8,1152.8,2441
2018-09-28,1153.5,1155.6,1150.9,1153,1153,1422
2018-10-01,1157.1,1159,1155.5,1157.9,1157.9,1484
2018-10-02,1155,1155,1140.7,1146,1146,2372
2018-10-03,1148.5,1151.3,1141,1142.1,1142.1,1405
2018-10-04,1138,1139.2,1130,1133,1133,2445
2018-10-05,1129,1132,1124.4,1126.7,1126.7,1912
2018-10-08,1124,1130.1,1106.2,1106.2,1106.2,3104
