Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,0.98,0.98,0.97,0.98,0.98,61000
2014-11-11,0.96,0.97,0.95,0.97,0.97,49000
2014-11-13,0.99,1,0.9,0.9,0.9,104600
2014-11-14,0.87,0.89,0.87,0.89,0.89,1309100
2014-11-17,0.87,0.87,0.87,0.87,0.87,3300
2014-11-18,0.91,0.91,0.91,0.91,0.91,500000
2014-11-21,0.85,0.85,0.85,0.85,0.85,149000
2014-11-24,0.81,0.82,0.78,0.78,0.78,809000
2014-11-25,0.76,0.79,0.76,0.78,0.78,1030000
2014-11-26,0.73,0.75,0.73,0.75,0.75,70000
2014-11-27,0.79,0.79,0.75,0.75,0.75,162600
2014-11-28,0.75,0.77,0.75,0.77,0.77,827000
2014-12-01,0.78,0.79,0.78,0.78,0.78,261800
2014-12-03,0.75,0.75,0.75,0.75,0.75,5000
2014-12-04,0.74,0.74,0.7,0.72,0.72,279600
2014-12-08,0.68,0.7,0.68,0.69,0.69,1040200
2014-12-09,0.71,0.73,0.67,0.69,0.69,2663200
2014-12-11,0.71,0.77,0.71,0.75,0.75,943100
2014-12-12,0.7,0.72,0.7,0.71,0.71,1044300
2014-12-15,0.77,0.81,0.73,0.74,0.74,9585500
2014-12-16,0.82,0.82,0.79,0.8,0.8,1081300
2014-12-17,0.76,0.76,0.73,0.73,0.73,537100
2014-12-18,0.7,0.7,0.63,0.63,0.63,1818400
2014-12-19,0.63,0.66,0.63,0.65,0.65,2462200
2014-12-22,0.64,0.64,0.59,0.59,0.59,248800
2014-12-23,0.56,0.63,0.56,0.63,0.63,34700
2014-12-26,0.6,0.6,0.6,0.6,0.6,100
2015-01-05,0.58,0.58,0.58,0.58,0.58,25100
2015-01-06,0.61,0.61,0.61,0.61,0.61,30000
2015-01-07,0.68,0.68,0.68,0.68,0.68,100
2015-01-08,0.54,0.54,0.54,0.54,0.54,36000
2015-01-12,0.57,0.57,0.57,0.57,0.57,156400
2015-01-19,0.5,0.5,0.5,0.5,0.5,20000
2015-01-20,0.53,0.53,0.53,0.53,0.53,20000
2015-01-22,0.51,0.51,0.51,0.51,0.51,30000
2015-01-23,0.44,0.44,0.44,0.44,0.44,100
2015-01-27,0.53,0.53,0.53,0.53,0.53,20000
2015-01-28,0.43,0.43,0.43,0.43,0.43,20000
2015-01-29,0.54,0.54,0.54,0.54,0.54,1900
2015-01-30,0.53,0.53,0.53,0.53,0.53,3000
2015-02-03,0.45,0.45,0.45,0.45,0.45,4000
2015-02-09,0.48,0.48,0.47,0.47,0.47,6000
2015-02-11,0.45,0.49,0.43,0.43,0.43,28100
2015-02-12,0.45,0.46,0.45,0.46,0.46,37000
2015-02-13,0.48,0.51,0.48,0.51,0.51,301100
2015-02-16,0.55,0.56,0.51,0.51,0.51,180100
2015-02-17,0.52,0.53,0.52,0.53,0.53,143000
2015-02-18,0.52,0.52,0.51,0.51,0.51,160000
2015-02-19,0.49,0.5,0.48,0.5,0.5,85200
2015-02-20,0.49,0.5,0.47,0.49,0.49,350000
2015-02-23,0.47,0.47,0.44,0.46,0.46,290100
2015-02-24,0.43,0.43,0.42,0.42,0.42,400000
2015-02-25,0.42,0.5,0.42,0.48,0.48,385000
2015-02-26,0.5,0.5,0.47,0.47,0.47,64000
2015-02-27,0.48,0.51,0.47,0.51,0.51,429600
2015-03-02,0.52,0.61,0.51,0.58,0.58,1188000
2015-03-03,0.61,0.68,0.6,0.66,0.66,1225600
2015-03-05,0.68,0.68,0.6,0.6,0.6,316000
2015-03-06,0.61,0.65,0.61,0.64,0.64,433000
2015-03-09,0.64,0.65,0.63,0.64,0.64,232500
2015-03-10,0.63,0.7,0.62,0.68,0.68,613000
2015-03-11,0.63,0.65,0.61,0.61,0.61,68500
2015-03-12,0.61,0.62,0.61,0.62,0.62,7600
2015-03-13,0.64,0.64,0.64,0.64,0.64,100000
2015-03-16,0.65,0.67,0.64,0.67,0.67,102400
2015-03-17,0.68,0.68,0.62,0.62,0.62,326800
2015-03-18,0.58,0.58,0.53,0.53,0.53,577700
2015-03-19,0.49,0.62,0.49,0.62,0.62,506400
2015-03-20,0.63,0.65,0.63,0.65,0.65,290000
2015-03-23,0.65,0.72,0.65,0.72,0.72,186100
2015-03-24,0.71,0.83,0.71,0.79,0.79,273500
2015-03-25,0.8,0.8,0.72,0.74,0.74,108300
2015-03-26,0.76,0.79,0.76,0.78,0.78,36200
2015-03-27,0.8,0.91,0.8,0.81,0.81,2270200
2015-03-30,0.82,0.82,0.82,0.82,0.82,5000
2015-03-31,0.79,0.8,0.79,0.8,0.8,80000
2015-04-01,0.8,0.8,0.71,0.71,0.71,356500
2015-04-02,0.71,0.71,0.66,0.68,0.68,59600
2015-04-03,0.69,0.71,0.69,0.71,0.71,152000
2015-04-07,0.71,0.71,0.64,0.65,0.65,244500
2015-04-08,0.65,0.68,0.65,0.65,0.65,254000
2015-04-09,0.74,0.75,0.74,0.75,0.75,11000
2015-04-10,0.73,0.82,0.73,0.82,0.82,669000
2015-04-16,0.77,0.77,0.74,0.77,0.77,322800
2015-04-17,0.79,0.9,0.79,0.86,0.86,1304500
2015-04-20,0.83,0.84,0.81,0.81,0.81,670000
2015-04-21,0.76,0.76,0.73,0.73,0.73,665200
2015-04-22,0.71,0.73,0.71,0.73,0.73,282500
