Date,Open,High,Low,Close,Adj Close,Volume
2014-07-15,0.91,0.91,0.91,0.91,0.91,400000
2014-07-16,0.89,0.9,0.89,0.9,0.9,400000
2014-07-17,0.89,0.89,0.89,0.89,0.89,200000
2014-07-21,0.85,0.87,0.84,0.87,0.87,640000
2014-07-22,0.85,0.85,0.82,0.82,0.82,800000
2014-07-24,0.97,0.97,0.93,0.93,0.93,15703300
2014-07-25,1,1.03,0.99,1.03,1.03,28442100
2014-07-28,1.01,1.01,0.94,1.01,1.01,5574000
2014-07-29,1.04,1.05,0.98,0.98,0.98,3526400
2014-07-30,1,1.01,0.89,0.94,0.94,8284100
2014-07-31,0.93,0.96,0.89,0.89,0.89,1218400
2014-08-01,0.89,0.89,0.89,0.89,0.89,400000
2014-08-04,0.96,0.96,0.96,0.96,0.96,600000
2014-08-05,0.96,0.99,0.96,0.99,0.99,8595100
2014-08-06,0.99,1.01,0.99,0.99,0.99,1554900
2014-08-07,1.04,1.04,0.97,0.99,0.99,895400
2014-08-08,0.97,0.97,0.93,0.93,0.93,209600
2014-08-13,0.95,0.95,0.92,0.93,0.93,805400
2014-08-14,0.95,0.95,0.93,0.93,0.93,805000
2014-08-15,0.91,0.92,0.9,0.92,0.92,600000
2014-08-18,0.88,0.92,0.87,0.92,0.92,850800
2014-08-19,0.95,0.98,0.95,0.98,0.98,4154400
2014-08-20,0.99,1.02,0.97,1.01,1.01,3626000
2014-08-21,1.12,1.15,1.1,1.15,1.15,870000
2014-08-22,1.18,1.24,1.18,1.24,1.24,1026700
2014-08-25,1.26,1.33,1.25,1.26,1.26,3801100
2014-08-26,1.29,1.29,1.2,1.23,1.23,2992600
2014-08-27,1.23,1.23,1.23,1.23,1.23,1423000
2014-08-28,1.22,1.22,1.22,1.22,1.22,20000
2014-09-01,1.27,1.37,1.27,1.34,1.34,50000
2014-09-03,1.5,1.5,1.46,1.46,1.46,640000
2014-09-05,1.52,1.52,1.49,1.49,1.49,1000000
2014-09-08,1.58,1.65,1.58,1.62,1.62,340000
2014-09-09,1.68,1.68,1.58,1.61,1.61,760000
2014-09-10,1.51,1.68,1.51,1.68,1.68,70000
2014-09-11,1.68,1.68,1.64,1.64,1.64,50000
2014-09-12,1.64,1.67,1.63,1.63,1.63,33000
2014-09-15,1.68,1.77,1.68,1.77,1.77,36200
2014-09-16,1.69,1.69,1.69,1.69,1.69,10000
2014-09-17,1.73,1.73,1.66,1.73,1.73,50000
2014-09-19,1.97,1.97,1.97,1.97,1.97,35000
2014-09-26,1.73,1.73,1.73,1.73,1.73,10000
2014-12-09,2.5,2.5,2.5,2.5,2.5,35000
