Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,0.55,0.55,0.55,0.55,0.55,11000
2015-07-06,0.5,0.5,0.5,0.5,0.5,11000
2015-07-22,0.41,0.41,0.41,0.41,0.41,10000
2015-07-31,0.38,0.38,0.38,0.38,0.38,12000
2015-09-21,0.31,0.31,0.31,0.31,0.31,100
2015-09-30,0.3,0.3,0.3,0.3,0.3,1600
2015-10-01,0.29,0.29,0.28,0.28,0.28,1200
2015-10-02,0.27,0.27,0.27,0.27,0.27,400
2015-10-20,0.41,0.41,0.4,0.41,0.41,800
2015-10-28,0.41,0.41,0.4,0.4,0.4,1000
2015-11-10,0.47,0.48,0.47,0.47,0.47,3321500
2015-11-11,0.47,0.47,0.46,0.46,0.46,1278500
2015-11-12,0.48,0.55,0.48,0.54,0.54,3319800
2015-11-13,0.55,0.55,0.53,0.53,0.53,1000000
2015-11-17,0.59,0.67,0.59,0.63,0.63,97400
2015-11-18,0.65,0.67,0.6,0.61,0.61,92500
2015-11-19,0.63,0.64,0.58,0.58,0.58,1400
2015-11-20,0.59,0.66,0.59,0.66,0.66,101000
2015-11-23,0.69,0.69,0.64,0.64,0.64,1300
2015-11-24,0.64,0.65,0.59,0.59,0.59,201200
2015-11-25,0.59,0.61,0.59,0.61,0.61,51200
2015-11-26,0.59,0.6,0.51,0.53,0.53,3400
2015-11-27,0.52,0.56,0.51,0.52,0.52,1001800
2015-11-30,0.52,0.6,0.51,0.6,0.6,1400
2015-12-01,0.6,0.6,0.58,0.59,0.59,1500
2015-12-02,0.66,0.68,0.61,0.66,0.66,2499600
2015-12-03,0.66,0.68,0.66,0.68,0.68,561700
2015-12-04,0.62,0.64,0.62,0.62,0.62,2940400
2015-12-08,0.62,0.63,0.54,0.55,0.55,2927400
2015-12-09,0.55,0.58,0.54,0.58,0.58,1569300
2015-12-11,0.58,0.58,0.55,0.55,0.55,990600
2015-12-14,0.48,0.51,0.48,0.48,0.48,2378600
2015-12-15,0.5,0.53,0.49,0.49,0.49,1604600
2015-12-16,0.53,0.55,0.53,0.55,0.55,707200
2015-12-17,0.55,0.59,0.55,0.59,0.59,1256200
2015-12-18,0.56,0.56,0.49,0.49,0.49,2310000
2015-12-21,0.49,0.55,0.49,0.54,0.54,2542000
2015-12-22,0.54,0.59,0.54,0.55,0.55,1059000
2015-12-23,0.58,0.6,0.57,0.57,0.57,1067400
2015-12-24,0.51,0.51,0.51,0.51,0.51,280600
2015-12-25,0.49,0.52,0.49,0.52,0.52,1621800
2015-12-28,0.51,0.52,0.51,0.52,0.52,1386800
2015-12-29,0.49,0.51,0.49,0.51,0.51,399800
2015-12-30,0.49,0.5,0.48,0.48,0.48,360000
2016-01-04,0.49,0.49,0.49,0.49,0.49,686000
2016-01-05,0.46,0.46,0.45,0.45,0.45,1676800
2016-01-06,0.43,0.43,0.43,0.43,0.43,317200
2016-01-07,0.42,0.44,0.39,0.39,0.39,1061800
2016-01-08,0.38,0.43,0.38,0.41,0.41,951000
2016-01-11,0.39,0.39,0.31,0.32,0.32,1294800
2016-01-12,0.35,0.35,0.35,0.35,0.35,350200
2016-01-18,0.25,0.25,0.25,0.25,0.25,250000
