Date,Open,High,Low,Close,Adj Close,Volume
2016-11-15,40,40.96,40,40.96,40.96,100
2016-11-23,40.25,40.25,40.25,40.25,40.25,30
2016-11-25,40.71,40.71,40.71,40.71,40.71,30
2017-01-11,39.75,39.75,39.75,39.75,39.75,20
2017-01-12,40.5,40.5,40.5,40.5,40.5,50
2017-01-17,39.7,39.7,39.7,39.7,39.7,250
2017-01-20,40.47,40.47,40.47,40.47,40.47,200
2017-02-10,44.78,44.78,44.78,44.78,44.78,20
2017-02-24,44.84,44.84,44.84,44.84,44.84,100
2017-03-06,45.28,45.28,45.28,45.28,45.28,100
2017-03-07,44.46,44.46,44.46,44.46,44.46,100
2017-03-08,41.4,41.4,41.4,41.4,41.4,200
2017-03-09,42.57,42.57,42.57,42.57,42.57,100
2017-03-10,41.89,41.89,41.89,41.89,41.89,100
2017-03-15,44.28,44.28,44.28,44.28,44.28,100
2017-03-20,42.35,42.35,42.35,42.35,42.35,300
2017-03-21,44.16,44.16,44.16,44.16,44.16,200
2017-03-22,43.64,43.64,43.64,43.64,43.64,100
2017-03-24,43.5,43.5,43.5,43.5,43.5,300
2017-03-28,44.86,44.86,44.86,44.86,44.86,300
2017-03-29,44.33,44.33,44.33,44.33,44.33,100
2017-04-25,43.59,43.59,43.59,43.59,43.59,100
2017-04-27,44.85,44.85,44.85,44.85,44.85,100
