Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,0.75,0.78,0.75,0.77,0.77,2514200
2017-11-16,0.77,0.77,0.76,0.76,0.76,1792800
2017-11-17,0.75,0.76,0.75,0.75,0.75,2243700
2017-11-20,0.73,0.74,0.73,0.74,0.74,1315600
2017-11-21,0.73,0.75,0.73,0.75,0.75,3269100
2017-11-22,0.75,0.75,0.72,0.72,0.72,2255400
2017-11-23,0.73,0.74,0.73,0.74,0.74,2681400
2017-11-24,0.74,0.77,0.74,0.77,0.77,5670800
2017-11-27,0.76,0.77,0.76,0.77,0.77,2164200
2017-11-28,0.76,0.76,0.76,0.76,0.76,257900
2017-11-29,0.75,0.75,0.71,0.72,0.72,2704100
2017-11-30,0.72,0.72,0.68,0.68,0.68,3718100
2017-12-01,0.66,0.68,0.66,0.66,0.66,4879400
2017-12-04,0.66,0.66,0.64,0.65,0.65,381600
2017-12-06,0.65,0.67,0.65,0.66,0.66,6080300
2017-12-07,0.67,0.69,0.67,0.68,0.68,5379200
2017-12-08,0.67,0.68,0.67,0.67,0.67,1711900
2017-12-12,0.67,0.68,0.66,0.66,0.66,3961400
2017-12-13,0.68,0.7,0.68,0.7,0.7,1190500
2017-12-14,0.68,0.71,0.68,0.7,0.7,2783600
2017-12-15,0.71,0.71,0.71,0.71,0.71,36700
2017-12-18,0.7,0.7,0.7,0.7,0.7,1594600
2017-12-19,0.69,0.69,0.69,0.69,0.69,718400
2017-12-20,0.67,0.68,0.67,0.68,0.68,4619000
2017-12-21,0.67,0.68,0.67,0.67,0.67,4513600
2017-12-22,0.66,0.68,0.66,0.67,0.67,4300900
2017-12-25,0.67,0.67,0.66,0.66,0.66,172400
2017-12-26,0.67,0.69,0.67,0.68,0.68,4303900
2017-12-27,0.68,0.69,0.68,0.69,0.69,2666200
2017-12-28,0.69,0.72,0.69,0.71,0.71,4501000
2017-12-29,0.71,0.71,0.68,0.68,0.68,4899000
2018-01-03,0.72,0.72,0.65,0.67,0.67,5464100
2018-01-04,0.67,0.69,0.67,0.69,0.69,7288800
2018-01-05,0.69,0.71,0.69,0.7,0.7,3327500
2018-01-08,0.69,0.69,0.67,0.67,0.67,2337600
2018-01-09,0.66,0.68,0.66,0.67,0.67,2123800
2018-01-10,0.65,0.65,0.65,0.65,0.65,6150800
2018-01-11,0.65,0.65,0.58,0.59,0.59,6560400
2018-01-12,0.57,0.57,0.51,0.51,0.51,10635200
2018-01-15,0.49,0.49,0.45,0.47,0.47,15943700
2018-01-16,0.46,0.5,0.46,0.47,0.47,11997800
2018-01-17,0.48,0.48,0.46,0.46,0.46,6598100
2018-01-18,0.45,0.54,0.45,0.52,0.52,18208400
2018-01-19,0.57,0.63,0.57,0.58,0.58,29458900
2018-01-22,0.6,0.61,0.56,0.57,0.57,7861300
2018-01-23,0.55,0.55,0.48,0.5,0.5,11103600
2018-01-24,0.5,0.52,0.5,0.52,0.52,6227400
2018-01-25,0.52,0.52,0.5,0.52,0.52,4854400
2018-01-26,0.52,0.53,0.5,0.5,0.5,7267200
2018-01-29,0.49,0.5,0.48,0.48,0.48,5262600
2018-01-30,0.47,0.53,0.47,0.51,0.51,7430400
2018-01-31,0.53,0.53,0.5,0.5,0.5,3498800
2018-02-01,0.49,0.49,0.48,0.49,0.49,1192100
2018-02-02,0.47,0.53,0.47,0.53,0.53,6186000
2018-02-05,0.54,0.56,0.54,0.56,0.56,10300300
2018-02-06,0.6,0.61,0.58,0.58,0.58,12028800
2018-02-07,0.58,0.63,0.58,0.62,0.62,10669100
2018-02-08,0.61,0.63,0.6,0.61,0.61,12452300
2018-02-09,0.63,0.64,0.62,0.64,0.64,11162300
2018-02-12,0.64,0.65,0.62,0.62,0.62,6350500
2018-02-13,0.61,0.61,0.59,0.6,0.6,4833000
2018-02-14,0.6,0.62,0.6,0.62,0.62,6227800
2018-02-15,0.61,0.65,0.61,0.61,0.61,15469800
