Date,Open,High,Low,Close,Adj Close,Volume
2013-01-17,1.04,1.04,1.04,1.04,1.04,2000
2013-01-21,1.09,1.1,1.09,1.1,1.1,1000
2013-01-22,1.12,1.13,1.12,1.13,1.13,30200
2013-01-29,1.15,1.15,1.15,1.15,1.15,30000
2013-01-31,1.17,1.17,1.17,1.17,1.17,800
2013-02-04,1.15,1.15,1.15,1.15,1.15,5000
2013-02-06,1.13,1.13,1.13,1.13,1.13,10000
2013-02-07,1.12,1.12,1.09,1.09,1.09,23000
2013-02-11,1.03,1.03,1.03,1.03,1.03,10000
2013-02-12,0.98,0.98,0.97,0.97,0.97,4800
2013-02-13,1.02,1.02,1.02,1.02,1.02,2700
2013-02-14,1.02,1.02,1.02,1.02,1.02,5000
2013-02-15,1.01,1.01,1.01,1.01,1.01,5000
2013-02-19,1.02,1.02,1.02,1.02,1.02,1000
2013-02-20,1.03,1.06,1.03,1.06,1.06,21100
2013-02-21,1.04,1.04,1.04,1.04,1.04,4800
2013-02-27,1.03,1.03,1.03,1.03,1.03,1000
2013-03-13,1.09,1.09,1.09,1.09,1.09,100
2013-03-15,1.2,1.2,1.19,1.19,1.19,10100
2013-03-18,1.15,1.15,1.15,1.15,1.15,30000
2013-03-21,0.98,0.98,0.95,0.95,0.95,400
2013-03-22,0.95,0.95,0.94,0.94,0.94,15000
2013-03-26,0.95,0.98,0.95,0.98,0.98,200
2013-03-28,1.05,1.06,1.05,1.06,1.06,400000
2013-03-29,1.05,1.05,1.05,1.05,1.05,10400
2013-04-11,1.01,1.01,1.01,1.01,1.01,5100
2013-04-12,1,1,1,1,1,15000
2013-04-17,0.94,0.94,0.9,0.91,0.91,510000
2013-04-18,0.91,0.91,0.9,0.91,0.91,706100
2013-04-19,0.98,1,0.98,1,1,15100
2013-04-22,1.1,1.12,1.1,1.12,1.12,22000
2013-04-23,1.21,1.22,1.17,1.17,1.17,2103300
2013-04-24,1.23,1.24,1.19,1.24,1.24,116400
2013-04-25,1.24,1.26,1.24,1.25,1.25,111100
2013-04-26,1.21,1.21,1.17,1.17,1.17,591100
2013-04-29,1.21,1.21,1.17,1.17,1.17,45100
2013-04-30,1.17,1.17,1.14,1.17,1.17,40000
2013-05-02,1.21,1.21,1.18,1.18,1.18,75000
2013-05-03,1.17,1.17,1.14,1.15,1.15,81100
2013-05-08,1.26,1.26,1.25,1.26,1.26,615000
2013-05-13,1.19,1.19,1.19,1.19,1.19,300000
2013-05-14,1.25,1.3,1.25,1.3,1.3,602200
2013-05-16,1.3,1.3,1.3,1.3,1.3,10000
2013-05-22,1.37,1.39,1.37,1.39,1.39,20000
2013-05-23,1.22,1.22,1.13,1.14,1.14,4145800
2013-05-27,1.12,1.12,1.08,1.12,1.12,576000
2013-05-28,1.13,1.14,1.13,1.14,1.14,501000
2013-05-29,1.14,1.14,1.06,1.06,1.06,1315400
2013-05-30,0.98,1,0.97,1,1,2716000
2013-05-31,0.97,1.02,0.9,0.9,0.9,6353400
2013-06-03,0.89,0.9,0.85,0.88,0.88,2822000
2013-06-04,0.87,0.9,0.83,0.9,0.9,793100
2013-06-05,0.89,0.92,0.89,0.92,0.92,130000
2013-06-06,0.86,0.89,0.84,0.84,0.84,93100
2013-06-07,0.88,0.89,0.86,0.89,0.89,25100
2013-06-10,0.91,0.91,0.91,0.91,0.91,5000
2013-06-11,0.85,0.85,0.73,0.75,0.75,82200
2013-06-12,0.72,0.77,0.7,0.7,0.7,959000
2013-06-13,0.64,0.71,0.62,0.71,0.71,865100
2013-06-14,0.76,0.76,0.76,0.76,0.76,200000
2013-06-17,0.81,0.81,0.81,0.81,0.81,1000
2013-06-18,0.88,0.88,0.77,0.79,0.79,88000
2013-06-19,0.78,0.81,0.75,0.76,0.76,115500
2013-06-21,0.59,0.66,0.59,0.64,0.64,799000
2013-06-24,0.62,0.64,0.52,0.52,0.52,194000
2013-06-25,0.53,0.6,0.5,0.6,0.6,4431000
2013-06-26,0.6,0.69,0.6,0.69,0.69,12100
2013-06-27,0.81,0.81,0.74,0.8,0.8,341100
2013-06-28,0.79,0.79,0.79,0.79,0.79,6000
2013-07-02,0.75,0.75,0.75,0.75,0.75,10000
2013-07-03,0.66,0.66,0.64,0.64,0.64,45000
2013-07-04,0.66,0.66,0.59,0.6,0.6,133100
2013-07-05,0.63,0.63,0.61,0.61,0.61,97000
2013-07-08,0.57,0.58,0.55,0.55,0.55,40000
2013-07-09,0.51,0.54,0.51,0.54,0.54,20000
2013-07-10,0.51,0.51,0.48,0.48,0.48,266000
2013-07-11,0.53,0.62,0.53,0.61,0.61,455200
2013-07-12,0.69,0.69,0.66,0.69,0.69,351900
2013-07-15,0.71,0.71,0.65,0.65,0.65,365000
