Date,Open,High,Low,Close,Adj Close,Volume
2016-09-21,1,1.04,0.99,0.99,0.99,2842800
2016-09-22,1.04,1.04,1.03,1.03,1.03,1100000
2016-09-23,1,1.01,0.98,1,1,3778200
2016-09-26,0.97,0.98,0.97,0.98,0.98,2539600
2016-09-27,0.99,0.99,0.98,0.98,0.98,1583700
2016-09-28,0.96,0.98,0.95,0.95,0.95,2872500
2016-09-29,0.96,0.97,0.95,0.96,0.96,3340600
2016-09-30,0.94,0.95,0.92,0.94,0.94,3686400
2016-10-03,0.96,0.96,0.93,0.93,0.93,1909900
2016-10-04,0.95,1.02,0.95,0.97,0.97,12900700
2016-10-05,0.98,0.98,0.96,0.96,0.96,18486100
2016-10-06,0.97,0.99,0.96,0.98,0.98,2636000
2016-10-07,0.98,0.98,0.96,0.97,0.97,3523400
2016-10-10,0.87,0.89,0.87,0.87,0.87,676200
2016-10-11,0.88,0.88,0.8,0.8,0.8,3998500
2016-10-12,0.78,0.79,0.75,0.76,0.76,2852300
2016-10-13,0.76,0.83,0.7,0.8,0.8,3202500
2016-10-14,0.95,0.95,0.9,0.93,0.93,1872500
2016-10-17,0.89,0.89,0.86,0.88,0.88,3575000
2016-10-18,0.89,0.89,0.86,0.86,0.86,3482100
2016-10-19,0.81,0.85,0.79,0.84,0.84,4385200
2016-10-20,0.87,0.88,0.85,0.87,0.87,2545700
2016-10-21,0.87,0.87,0.85,0.85,0.85,960600
2016-10-25,0.86,0.86,0.84,0.84,0.84,1640700
2016-10-26,0.84,0.84,0.83,0.83,0.83,1177000
2016-10-27,0.81,0.83,0.81,0.82,0.82,1549800
2016-10-28,0.82,0.83,0.8,0.8,0.8,845200
2016-10-31,0.8,0.8,0.8,0.8,0.8,1342100
2016-11-01,0.81,0.81,0.79,0.79,0.79,1095800
2016-11-02,0.79,0.81,0.79,0.81,0.81,1245600
2016-11-03,0.8,0.81,0.79,0.79,0.79,822600
2016-11-04,0.76,0.76,0.73,0.75,0.75,1000300
2016-11-07,0.76,0.82,0.76,0.79,0.79,3226700
2016-11-08,0.81,0.83,0.81,0.82,0.82,534000
2016-11-09,0.79,0.81,0.78,0.79,0.79,805900
2016-11-10,0.82,0.85,0.82,0.83,0.83,4265700
2016-11-11,0.8,0.8,0.75,0.75,0.75,2911100
2016-11-14,0.7,0.7,0.69,0.69,0.69,817800
2016-11-15,0.7,0.74,0.7,0.73,0.73,2737700
2016-11-16,0.75,0.75,0.73,0.73,0.73,1200200
2016-11-17,0.74,0.78,0.74,0.78,0.78,1774300
2016-11-18,0.78,0.78,0.77,0.78,0.78,1826800
2016-11-21,0.77,0.78,0.76,0.76,0.76,2189700
2016-11-22,0.78,0.78,0.76,0.76,0.76,1099900
2016-11-23,0.78,0.78,0.77,0.77,0.77,1709300
2016-11-24,0.78,0.78,0.76,0.76,0.76,696400
2016-11-25,0.77,0.78,0.77,0.78,0.78,1854000
2016-11-28,0.78,0.8,0.77,0.78,0.78,1971500
2016-11-29,0.81,0.82,0.79,0.79,0.79,2202600
2016-11-30,0.78,0.81,0.78,0.8,0.8,2706600
2016-12-01,0.81,0.83,0.78,0.78,0.78,2490800
2016-12-02,0.78,0.78,0.77,0.77,0.77,35000
2016-12-06,0.76,0.79,0.76,0.79,0.79,1195300
2016-12-07,0.78,0.82,0.78,0.82,0.82,3005600
2016-12-08,0.83,0.85,0.83,0.83,0.83,2211400
2016-12-09,0.88,0.88,0.84,0.85,0.85,3102200
2016-12-13,0.82,0.84,0.78,0.83,0.83,3660700
2016-12-14,0.81,0.82,0.78,0.78,0.78,1486000
2016-12-15,0.76,0.8,0.76,0.78,0.78,5470700
2016-12-16,0.8,0.8,0.77,0.78,0.78,1627200
2016-12-19,0.78,0.78,0.77,0.78,0.78,1117000
2016-12-20,0.78,0.78,0.76,0.76,0.76,1898500
2016-12-21,0.76,0.77,0.76,0.76,0.76,1183700
2016-12-22,0.76,0.77,0.76,0.76,0.76,544400
2016-12-23,0.77,0.78,0.77,0.77,0.77,1609200
