Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,1.5,1.55,1.5,1.53,1.53,580000
2012-07-02,1.54,1.59,1.54,1.57,1.57,902600
2012-07-03,1.61,1.64,1.61,1.64,1.64,530000
2012-07-04,1.65,1.65,1.59,1.59,1.59,32600
2012-07-05,1.61,1.62,1.61,1.62,1.62,40000
2012-07-10,1.6,1.6,1.6,1.6,1.6,130000
2012-07-11,1.61,1.64,1.61,1.63,1.63,740000
2012-07-13,1.59,1.6,1.59,1.6,1.6,200000
2012-07-16,1.75,1.75,1.75,1.75,1.75,20000
2012-07-17,1.77,1.77,1.77,1.77,1.77,3700
2012-07-18,1.77,1.77,1.77,1.77,1.77,3700
2012-07-19,1.71,1.71,1.64,1.64,1.64,37500
2012-07-20,1.64,1.64,1.64,1.64,1.64,500
2012-07-23,1.48,1.48,1.48,1.48,1.48,2100
2012-07-24,1.48,1.55,1.48,1.55,1.55,22000
2012-07-25,1.51,1.59,1.51,1.59,1.59,24100
2012-07-26,1.55,1.56,1.54,1.54,1.54,660000
2012-07-27,1.56,1.56,1.56,1.56,1.56,500000
2012-07-30,1.6,1.69,1.6,1.69,1.69,400
2012-07-31,1.73,1.76,1.71,1.76,1.76,20600
2012-08-01,1.72,1.72,1.72,1.72,1.72,5400
2012-08-07,1.61,1.61,1.61,1.61,1.61,30000
2012-08-17,1.44,1.44,1.39,1.4,1.4,220000
2012-08-20,1.37,1.4,1.37,1.39,1.39,266000
2012-08-24,1.35,1.38,1.35,1.38,1.38,100000
2012-08-30,1.17,1.18,1.17,1.18,1.18,24000
2012-08-31,1.19,1.19,1.19,1.19,1.19,1600000
2012-09-12,1.43,1.46,1.43,1.44,1.44,254000
2012-09-20,1.59,1.59,1.59,1.59,1.59,50000
2012-09-21,1.62,1.66,1.62,1.66,1.66,100000
2012-09-24,1.62,1.7,1.62,1.7,1.7,85000
2012-09-25,1.73,1.73,1.71,1.71,1.71,25300
2012-09-26,1.66,1.66,1.66,1.66,1.66,200
2012-10-01,1.71,1.71,1.71,1.71,1.71,500
2012-10-04,1.87,1.88,1.87,1.88,1.88,516000
2012-10-10,1.6,1.65,1.6,1.65,1.65,30500
2012-10-11,1.65,1.8,1.65,1.8,1.8,366000
2012-10-12,1.76,1.77,1.76,1.77,1.77,50800
2012-10-15,1.64,1.64,1.64,1.64,1.64,100000
2012-10-16,1.65,1.65,1.65,1.65,1.65,200000
2012-10-22,1.46,1.48,1.43,1.48,1.48,51000
2012-10-24,1.32,1.32,1.32,1.32,1.32,400000
2012-10-25,1.31,1.38,1.31,1.38,1.38,676000
2012-10-29,1.32,1.33,1.32,1.33,1.33,168000
2012-10-30,1.33,1.33,1.33,1.33,1.33,88000
2012-10-31,1.42,1.43,1.42,1.43,1.43,165000
2012-11-01,1.4,1.45,1.38,1.38,1.38,244400
2012-11-07,1.28,1.3,1.27,1.27,1.27,2003500
2012-11-08,1.27,1.3,1.26,1.26,1.26,1074400
2012-11-09,1.31,1.35,1.31,1.35,1.35,1734000
2012-11-12,1.32,1.32,1.29,1.29,1.29,1502000
2012-11-14,1.24,1.24,1.19,1.19,1.19,1650000
2012-11-15,1.22,1.24,1.22,1.24,1.24,1300000
2012-11-16,1.24,1.24,1.24,1.24,1.24,1801000
2012-11-19,1.19,1.19,1.19,1.19,1.19,900000
2012-11-21,1.19,1.2,1.18,1.18,1.18,3050000
2012-11-22,1.23,1.23,1.23,1.23,1.23,100000
2012-11-23,1.25,1.25,1.17,1.19,1.19,4124000
2012-11-26,1.2,1.24,1.2,1.24,1.24,4801000
2012-11-27,1.31,1.31,1.31,1.31,1.31,4800000
2012-11-28,1.31,1.33,1.29,1.32,1.32,2400000
2012-11-30,1.45,1.47,1.45,1.47,1.47,4800000
2012-12-03,1.41,1.41,1.41,1.41,1.41,1800
2012-12-11,1.87,1.95,1.87,1.93,1.93,8000000
2012-12-12,1.79,1.79,1.79,1.79,1.79,734700
2012-12-13,1.89,1.89,1.81,1.83,1.83,2734700
