Date,Open,High,Low,Close,Adj Close,Volume
2012-07-25,152,152,152,152,152,1
2012-08-09,159.5,159.5,159,159,159,40
2012-08-17,155.39,155.39,153.5,153.5,153.5,90
2012-08-22,154.21,154.72,154.21,154.72,154.72,150
2012-08-27,155.2,155.2,155.2,155.2,155.2,50
2012-09-05,152.23,152.23,151.73,151.73,151.73,70
2012-09-10,157.45,157.45,157.45,157.45,157.45,70
2012-09-13,159.99,160,159.99,160,160,51
2012-09-14,164.2,164.2,164.2,164.2,164.2,50
2012-09-24,164.5,164.5,164.5,164.5,164.5,160
2012-09-25,165.86,165.86,165.86,165.86,165.86,160
2012-09-26,165.24,165.24,165.24,165.24,165.24,50
2012-10-11,169.5,169.5,169.5,169.5,169.5,20
2012-10-17,166,166,166,166,166,120
2012-10-19,157.62,157.62,157.62,157.62,157.62,40
2012-10-22,161,161,161,161,161,20
2012-11-06,158.18,158.18,158.18,158.18,158.18,20
2012-12-06,171.5,171.5,166.5,166.5,166.5,21
2012-12-12,171.5,171.5,171.5,171.5,171.5,1
2012-12-27,179,179,179,179,179,151
2013-01-02,185,185,185,185,185,1
2013-01-10,184.5,184.5,184.5,184.5,184.5,1
2013-01-15,177,177,177,177,177,1
2013-01-16,173.2,173.2,173.2,173.2,173.2,1
2013-02-04,181,181,181,181,181,1001
2013-02-07,177,177,177,177,177,120
2013-02-13,173,173,173,173,173,211
2013-02-20,175.5,175.5,175.5,175.5,175.5,11
2013-02-21,175,175,175,175,175,20
2013-02-27,177,177,177,177,177,1
2013-03-05,178,178,178,178,178,1
2013-03-06,180,180,179,179,179,2
2013-03-11,178.5,178.5,178,178,178,4
2013-03-12,178,178.5,178,178.5,178.5,102
2013-03-14,179.3,183,178.5,183,183,16
2013-03-15,184.5,187,184.5,186,186,117
2013-03-18,187,188,184.05,186,186,10
2013-03-19,188,188,185,185.5,185.5,105
2013-03-20,179,180.4,177.9,177.9,177.9,107
2013-03-25,175,176.5,175,176,176,5
2013-03-26,175.5,175.5,175.5,175.5,175.5,1
2013-03-27,178,180.6,178,180.6,180.6,6
2013-03-28,178,178.5,178,178,178,5
2013-03-29,179,180,179,180,180,2
2013-04-01,179.5,179.5,179,179,179,152
2013-04-02,180.5,180.5,180.5,180.5,180.5,251
2013-04-03,182,183,180.5,180.5,180.5,206
2013-04-04,176.1,178,176,178,178,10
2013-04-05,176.5,176.5,176,176,176,103
2013-04-09,173.1,175,173.09,175,175,8
2013-04-10,173,173,173,173,173,1
2013-04-11,175,176.5,173.5,176.5,176.5,4
2013-04-12,176,177,176,177,177,4
2013-04-17,172.05,173,171,171,171,5
2013-04-18,172,173.5,172,173.5,173.5,103
2013-04-19,173.5,176.99,173.5,176.99,176.99,758
2013-04-22,182.8,182.9,179,182.9,182.9,463
2013-04-23,182,186.59,182,183,183,412
2013-04-24,185,188,185,188,188,613
2013-04-25,188.88,190,188.88,190,190,806
2013-04-26,190,190,185.31,185.31,185.31,3
2013-04-29,186,186,186,186,186,1
2013-04-30,184,184,184,184,184,101
2013-05-02,185,185,185,185,185,1
2013-05-03,185.5,185.5,185.5,185.5,185.5,1
2013-05-07,187,187.5,187,187.5,187.5,5
2013-05-08,190,190.5,189,189,189,8
2013-05-09,189.98,189.98,188.98,188.98,188.98,3
2013-05-10,189,189,188,188,188,3
2013-05-13,188.5,188.5,188.5,188.5,188.5,1
2013-05-14,189,193,189,193,193,14
2013-05-15,195,196.99,195,196.99,196.99,4
2013-05-16,195,195,189,192,192,10
2013-05-17,192.5,192.5,192.5,192.5,192.5,1
2013-05-20,193,194.5,193,194.5,194.5,5
2013-05-22,196.5,196.5,196.5,196.5,196.5,1
2013-05-23,188.3,188.3,185,185.4,185.4,12
2013-05-27,185,186.5,184,186.48,186.48,7
2013-05-29,185,185,182.4,182.4,182.4,25
2013-05-30,178.5,179,177.5,179,179,10
2013-05-31,181,181,174.5,174.5,174.5,109
2013-06-03,173,173,172.25,172.5,172.5,7
2013-06-04,172.5,176,172.1,176,176,7
2013-06-05,176,177.01,174,174,174,7
2013-06-06,173,173.5,170.5,170.5,170.5,21
2013-06-07,171.1,174.75,171,174,174,12
2013-06-10,177,178,176.5,176.5,176.5,4
2013-06-11,174.5,174.5,165,165,165,17
2013-06-12,167.3,167.3,161,167,167,18
2013-06-13,159,165,155,165,165,18
2013-06-14,168.5,172,168.5,172,172,6
2013-06-17,170,172.5,170,172.5,172.5,3
2013-06-18,175.5,175.5,173.1,173.1,173.1,2
2013-06-19,171,171,169,169,169,2
2013-06-21,158,160,158,160,160,3
2013-06-24,157,157,155,155,155,2
2013-06-25,152,159,152,158,158,15
2013-06-26,161,164.25,161,164.25,164.25,6
2013-06-27,170,170,170,170,170,1
