Date,Open,High,Low,Close,Adj Close,Volume
2013-03-22,1.02,1.02,1.02,1.02,1.02,100000
2013-03-26,1.06,1.06,1.06,1.06,1.06,100000
2013-05-14,1.12,1.12,1.12,1.12,1.12,200
2013-05-16,1.06,1.06,1.06,1.06,1.06,100
2013-06-04,0.87,0.87,0.87,0.87,0.87,300
2013-06-07,0.75,0.75,0.75,0.75,0.75,100000
2013-06-10,0.86,0.86,0.86,0.86,0.86,100000
2013-06-11,0.75,0.75,0.75,0.75,0.75,100000
2013-07-04,0.72,0.72,0.61,0.61,0.61,6000
2013-07-05,0.63,0.63,0.59,0.59,0.59,21000
2013-07-09,0.63,0.63,0.62,0.62,0.62,104600
2013-07-11,0.74,0.74,0.74,0.74,0.74,100
2013-07-12,0.75,0.75,0.71,0.71,0.71,800
2013-07-16,0.68,0.68,0.68,0.68,0.68,100
2013-07-18,0.77,0.78,0.77,0.78,0.78,200
2013-07-23,0.8,0.8,0.8,0.8,0.8,200000
2013-07-25,0.71,0.71,0.63,0.63,0.63,2600
2013-07-26,0.65,0.65,0.6,0.6,0.6,200000
2013-07-31,0.67,0.7,0.67,0.7,0.7,300000
2013-08-01,0.72,0.72,0.72,0.72,0.72,100000
2013-08-02,0.67,0.69,0.67,0.69,0.69,200000
2013-08-09,0.68,0.68,0.67,0.67,0.67,200
2013-08-15,0.67,0.67,0.67,0.67,0.67,200
2013-08-16,0.73,0.74,0.73,0.74,0.74,400
2013-08-19,0.65,0.65,0.61,0.61,0.61,300000
2013-08-20,0.53,0.53,0.5,0.5,0.5,200300
2013-08-21,0.5,0.5,0.5,0.5,0.5,29200
2013-08-23,0.51,0.51,0.46,0.46,0.46,350200
2013-08-26,0.45,0.45,0.43,0.43,0.43,400000
2013-08-28,0.33,0.33,0.32,0.33,0.33,100200
2013-08-29,0.33,0.47,0.33,0.47,0.47,1302000
2013-08-30,0.36,0.36,0.34,0.35,0.35,202000
2013-09-02,0.35,0.38,0.35,0.38,0.38,2764300
2013-09-03,0.36,0.37,0.36,0.37,0.37,350100
2013-09-04,0.34,0.34,0.32,0.32,0.32,45000
2013-09-05,0.33,0.34,0.32,0.34,0.34,143000
2013-09-06,0.33,0.35,0.32,0.35,0.35,65400
2013-09-10,0.49,0.49,0.49,0.49,0.49,100
2013-09-12,0.59,0.59,0.58,0.58,0.58,1400000
2013-09-13,0.56,0.56,0.52,0.52,0.52,700000
2013-09-18,0.55,0.55,0.55,0.55,0.55,100000
2013-09-19,0.66,0.66,0.65,0.66,0.66,149200
2013-09-20,0.62,0.62,0.62,0.62,0.62,5000
2013-09-23,0.61,0.61,0.52,0.52,0.52,25600
2013-09-25,0.5,0.54,0.5,0.54,0.54,25000
2013-10-01,0.45,0.45,0.45,0.45,0.45,100
2013-10-04,0.44,0.44,0.44,0.44,0.44,5000
2013-10-08,0.41,0.41,0.41,0.41,0.41,100
2013-10-09,0.41,0.41,0.41,0.41,0.41,200
2013-10-11,0.46,0.47,0.45,0.46,0.46,2433100
2013-10-14,0.41,0.42,0.4,0.41,0.41,1643000
2013-10-15,0.42,0.42,0.41,0.41,0.41,200000
2013-10-16,0.42,0.42,0.4,0.4,0.4,400000
2013-10-17,0.4,0.42,0.4,0.42,0.42,310000
2013-10-18,0.46,0.46,0.46,0.46,0.46,193000
2013-10-21,0.41,0.41,0.4,0.4,0.4,463000
2013-10-22,0.37,0.37,0.36,0.36,0.36,374500
2013-10-24,0.34,0.37,0.34,0.37,0.37,210000
2013-10-25,0.36,0.36,0.36,0.36,0.36,374500
2013-10-28,0.34,0.34,0.34,0.34,0.34,100
2013-10-30,0.33,0.33,0.33,0.33,0.33,10000
2013-10-31,0.31,0.31,0.31,0.31,0.31,100
2013-11-01,0.33,0.33,0.33,0.33,0.33,40000
2013-11-04,0.25,0.25,0.24,0.24,0.24,10100
2013-11-08,0.24,0.24,0.24,0.24,0.24,100
2013-11-12,0.23,0.23,0.23,0.23,0.23,20000
2013-11-15,0.23,0.23,0.23,0.23,0.23,100
2013-11-20,0.2,0.2,0.2,0.2,0.2,100
2013-11-21,0.17,0.17,0.17,0.17,0.17,2100
2013-11-22,0.15,0.15,0.11,0.11,0.11,134300
2013-11-25,0.09,0.09,0.08,0.08,0.08,604000
2013-11-26,0.09,0.1,0.09,0.1,0.1,800000
2013-11-27,0.08,0.09,0.08,0.09,0.09,11100
2013-11-28,0.08,0.08,0.07,0.07,0.07,9100
2013-11-29,0.06,0.06,0.06,0.06,0.06,4000
2013-12-02,0.05,0.05,0.05,0.05,0.05,54000
2013-12-04,0.06,0.06,0.06,0.06,0.06,34100
2013-12-06,0.05,0.05,0.04,0.05,0.05,7200
2013-12-09,0.04,0.04,0.04,0.04,0.04,4000
2013-12-11,0.03,0.03,0.03,0.03,0.03,4000
2013-12-12,0.02,0.02,0.02,0.02,0.02,6000
2013-12-16,0.01,0.01,0.01,0.01,0.01,8000
