Date,Open,High,Low,Close,Adj Close,Volume
2018-07-25,0.39,0.42,0.39,0.42,0.42,2230000
2018-07-26,0.43,0.46,0.42,0.46,0.46,927500
2018-07-31,0.44,0.45,0.42,0.42,0.42,2421400
2018-08-01,0.44,0.46,0.44,0.46,0.46,2154100
2018-08-02,0.45,0.45,0.45,0.45,0.45,4218800
2018-08-03,0.45,0.45,0.44,0.44,0.44,1195000
2018-08-06,0.46,0.46,0.44,0.44,0.44,1795000
2018-08-07,0.44,0.45,0.44,0.44,0.44,2438200
2018-08-08,0.45,0.48,0.45,0.48,0.48,1925400
2018-08-09,0.48,0.49,0.48,0.49,0.49,960000
2018-08-10,0.47,0.49,0.47,0.49,0.49,3161000
2018-08-14,0.42,0.43,0.42,0.43,0.43,1664300
2018-08-15,0.42,0.42,0.41,0.41,0.41,2000000
2018-08-16,0.41,0.43,0.41,0.42,0.42,4042800
2018-08-17,0.44,0.45,0.44,0.45,0.45,6215500
2018-08-20,0.47,0.51,0.47,0.5,0.5,3977600
2018-08-21,0.51,0.52,0.48,0.49,0.49,3909000
2018-08-22,0.5,0.5,0.48,0.48,0.48,700000
2018-08-23,0.49,0.49,0.49,0.49,0.49,2043700
2018-08-24,0.46,0.46,0.44,0.45,0.45,2668300
2018-08-27,0.47,0.48,0.46,0.46,0.46,1959400
2018-08-28,0.47,0.47,0.45,0.45,0.45,9310600
2018-08-29,0.46,0.46,0.43,0.44,0.44,4131500
2018-08-30,0.45,0.47,0.44,0.45,0.45,10308000
2018-08-31,0.45,0.45,0.43,0.44,0.44,6985000
2018-09-03,0.44,0.45,0.44,0.44,0.44,1791100
2018-09-04,0.43,0.46,0.43,0.44,0.44,747100
2018-09-05,0.43,0.43,0.39,0.39,0.39,2132600
2018-09-07,0.36,0.37,0.36,0.37,0.37,1461200
2018-09-10,0.36,0.36,0.35,0.36,0.36,1474600
2018-09-11,0.35,0.35,0.34,0.34,0.34,1359600
2018-09-12,0.29,0.32,0.29,0.32,0.32,1712800
2018-09-13,0.34,0.36,0.34,0.36,0.36,15935800
2018-09-14,0.37,0.38,0.36,0.37,0.37,2720500
2018-09-17,0.37,0.37,0.36,0.36,0.36,3849200
2018-09-18,0.37,0.39,0.37,0.39,0.39,17381600
2018-09-19,0.41,0.43,0.4,0.42,0.42,10326800
2018-09-20,0.43,0.43,0.39,0.41,0.41,5786000
2018-09-21,0.42,0.44,0.42,0.44,0.44,7503200
2018-09-24,0.41,0.41,0.4,0.4,0.4,2654400
2018-09-25,0.4,0.41,0.4,0.41,0.41,955900
2018-09-26,0.39,0.39,0.38,0.38,0.38,1100000
2018-09-27,0.38,0.38,0.35,0.38,0.38,4320200
2018-09-28,0.36,0.37,0.35,0.35,0.35,3495700
2018-10-01,0.37,0.37,0.37,0.37,0.37,3094800
2018-10-02,0.35,0.35,0.34,0.34,0.34,2250800
2018-10-03,0.34,0.34,0.32,0.32,0.32,633000
2018-10-04,0.28,0.29,0.28,0.29,0.29,610000
2018-10-05,0.28,0.28,0.26,0.27,0.27,9306400
2018-10-08,0.27,0.27,0.25,0.25,0.25,7328400
2018-10-09,0.25,0.26,0.23,0.23,0.23,3738600
2018-10-10,0.24,0.25,0.23,0.24,0.24,2653000
2018-10-11,0.2,0.22,0.19,0.22,0.22,3853000
2018-10-12,0.22,0.22,0.21,0.21,0.21,2776800
2018-10-16,0.2,0.2,0.2,0.2,0.2,1514000
2018-10-17,0.21,0.21,0.2,0.2,0.2,2686200
2018-10-18,0.19,0.19,0.18,0.18,0.18,2793900
2018-10-19,0.18,0.18,0.17,0.17,0.17,2050900
2018-10-22,0.17,0.17,0.17,0.17,0.17,2941000
2018-10-24,0.16,0.18,0.14,0.14,0.14,4938200
2018-10-25,0.14,0.19,0.14,0.19,0.19,7742000
2018-10-26,0.18,0.18,0.16,0.16,0.16,291800
2018-10-29,0.14,0.14,0.13,0.13,0.13,3080200
2018-10-30,0.14,0.16,0.14,0.15,0.15,3964000
2018-10-31,0.15,0.17,0.14,0.17,0.17,4930300
2018-11-01,0.17,0.17,0.15,0.16,0.16,5585100
2018-11-02,0.17,0.2,0.17,0.19,0.19,11418700
2018-11-05,0.19,0.19,0.17,0.17,0.17,1905600
2018-11-06,0.2,0.2,0.19,0.2,0.2,149000
2018-11-07,0.19,0.21,0.19,0.21,0.21,2184000
2018-11-08,0.22,0.22,0.2,0.2,0.2,3529200
2018-11-09,0.2,0.21,0.2,0.21,0.21,2619000
2018-11-12,0.21,0.21,0.19,0.19,0.19,104000
2018-11-13,0.17,0.22,0.17,0.22,0.22,2576900
2018-11-14,0.23,0.25,0.23,0.24,0.24,5699500
2018-11-15,0.23,0.23,0.22,0.22,0.22,1057400
2018-11-16,0.22,0.22,0.21,0.21,0.21,2832600
2018-11-19,0.21,0.24,0.21,0.22,0.22,2128700
2018-11-20,0.21,0.22,0.2,0.2,0.2,4903400
2018-11-21,0.19,0.22,0.18,0.22,0.22,1766200
2018-11-22,0.22,0.23,0.22,0.22,0.22,2301200
2018-11-23,0.22,0.23,0.21,0.23,0.23,1183200
2018-11-26,0.24,0.26,0.23,0.25,0.25,4493300
2018-11-27,0.25,0.26,0.21,0.21,0.21,1705100
2018-11-28,0.21,0.24,0.21,0.24,0.24,1103200
2018-11-29,0.25,0.25,0.21,0.21,0.21,3709300
2018-11-30,0.22,0.23,0.22,0.22,0.22,2371200
2018-12-03,0.23,0.23,0.21,0.21,0.21,1908000
2018-12-04,0.21,0.23,0.21,0.22,0.22,918800
2018-12-06,0.19,0.2,0.19,0.19,0.19,1364600
2018-12-07,0.19,0.19,0.18,0.18,0.18,934800
2018-12-11,0.17,0.17,0.17,0.17,0.17,881800
2018-12-12,0.18,0.18,0.18,0.18,0.18,699800
2018-12-13,0.16,0.16,0.12,0.12,0.12,1272000
2018-12-14,0.12,0.13,0.12,0.12,0.12,3106100
2018-12-17,0.12,0.12,0.11,0.11,0.11,1131900
2018-12-18,0.11,0.11,0.08,0.09,0.09,2453600
2018-12-19,0.1,0.11,0.09,0.11,0.11,1890000
2018-12-20,0.11,0.12,0.1,0.12,0.12,1890000
2018-12-21,0.11,0.12,0.11,0.12,0.12,3608800
2018-12-24,0.12,0.12,0.09,0.09,0.09,4455600
2018-12-25,0.07,0.09,0.07,0.09,0.09,4650000
2018-12-26,0.09,0.09,0.09,0.09,0.09,400000
2018-12-27,0.1,0.12,0.09,0.1,0.1,10646200
2018-12-28,0.1,0.11,0.09,0.11,0.11,2709400
2019-01-02,0.1,0.1,0.09,0.09,0.09,3203000
