Date,Open,High,Low,Close,Adj Close,Volume
2012-03-30,361.9,361.9,361.8,361.8,361.8,2
2012-04-03,350,350,350,350,350,1
2012-04-26,342,342,342,342,342,1
2012-04-30,347.99,353,347.99,353,353,2
2012-05-02,353,353,353,353,353,1
2012-06-07,330,330,328,328,328,4
2012-06-15,330,330,330,330,330,1
2012-06-22,321.01,321.01,321.01,321.01,321.01,1
2012-06-25,318,318,313,313,313,8
2012-06-26,311,311,311,311,311,1
2012-06-28,312.49,312.49,312.49,312.49,312.49,1
2012-06-29,314.5,315,314.5,315,315,102
2012-07-02,319,319,318,318,318,109
2012-07-03,321,321,320,320,320,2
2012-07-04,324,324,324,324,324,1
2012-07-05,322,322,319,319,319,5
2012-07-06,318.01,318.01,314,317.5,317.5,9
2012-07-09,317,317,315,316,316,5
2012-07-10,316,316,315,315,315,2
2012-07-11,318,318,318,318,318,1
2012-07-12,317.05,317.05,315,315,315,5
2012-07-13,314.5,314.5,314.5,314.5,314.5,1
2012-07-16,321,322,321,322,322,2
2012-07-17,322.4,323,322.4,323,323,3
2012-07-18,322,324,322,324,324,5
2012-07-19,324.99,326,324.99,326,326,102
2012-07-20,321,321,321,321,321,1
2012-07-24,317,317,317,317,317,1
2012-07-25,313,313,312.1,312.1,312.1,2
2012-07-26,315.01,315.01,315.01,315.01,315.01,1
2012-07-30,318,321,318,321,321,5
2012-08-06,322,323.9,322,323.9,323.9,5
2012-08-07,324.8,330.15,324.8,330.15,330.15,49
2012-08-08,333,337.24,333,336,336,63
2012-08-09,335,335,333,333,333,3
2012-08-10,330.1,336,330,334.5,334.5,7
2012-08-14,336.5,341,336.5,341,341,7
2012-08-15,342,343,342,343,343,2
2012-08-16,340,340,338.5,338.5,338.5,8
2012-08-21,340,340,338,338,338,3
2012-08-22,334.5,334.5,332,332,332,5
2012-08-23,334,334,334,334,334,1
2012-08-24,331,331,331,331,331,1
2012-08-28,329,329,328.8,328.8,328.8,2
2012-08-30,326.8,330,326.8,330,330,5
2012-09-03,331,331,331,331,331,1
2012-09-06,331,331,331,331,331,1
2012-09-07,333,333,333,333,333,1
2012-09-11,330,330,330,330,330,1
2012-09-12,330,330,330,330,330,1
2012-09-13,326.33,326.33,326.33,326.33,326.33,1
2012-09-14,334,341,334,340,340,14
2012-09-17,343.7,349,343,349,349,13
2012-09-18,350,351,350,350,350,3
2012-09-19,353,359,353,359,359,9
2012-09-20,360,360,360,360,360,1
2012-09-21,355,355,355,355,355,4
2012-09-24,350,350,350,350,350,2
2012-09-26,350,350,350,350,350,5
