Date,Open,High,Low,Close,Adj Close,Volume
2014-03-05,426,426,426,426,426,1
2014-03-18,424.78,426,424.78,426,426,11
2014-03-19,422,422,422,422,422,60
2014-03-28,424.96,425.07,424.96,425.07,425.07,45
2014-03-31,418,418,418,418,418,25
2014-04-23,443.02,452.07,443.02,452.07,452.07,50
2014-05-19,427,427,427,427,427,2
2014-05-30,419.9,419.9,419.9,419.9,419.9,1
2014-07-02,454.8,454.8,454.8,454.8,454.8,1
2014-08-01,430,430,430,430,430,1
2014-08-04,430,430,430,430,430,20
2014-08-05,437.52,437.52,437.52,437.52,437.52,20
2014-08-19,437.88,437.88,437.88,437.88,437.88,1
2014-09-02,442,442,442,442,442,20
2014-09-05,448,448,448,448,448,70
2014-09-08,465.33,465.33,465.33,465.33,465.33,43
2014-09-09,467.5,467.5,467.5,467.5,467.5,1
2014-09-16,456,456,456,456,456,20
2014-09-17,462.5,462.5,462.5,462.5,462.5,1
2014-09-19,454,454,454,454,454,20
2014-09-23,460.9,460.9,460.9,460.9,460.9,65
2014-09-24,451.2,451.2,445,445,445,10
2014-09-26,450,450,450,450,450,43
2014-09-29,448,448,448,448,448,1
2014-10-01,458,458,458,458,458,80
2014-10-02,454,454,454,454,454,30
2014-10-03,445.49,445.49,445.49,445.49,445.49,163
2014-10-07,440.11,440.11,438,438,438,73
2014-10-09,440,440,440,440,440,25
2014-10-13,434.21,434.21,434.21,434.21,434.21,1
2014-10-16,436,436,436,436,436,1
2014-10-17,430,430,428.25,428.8,428.8,70
2014-10-20,438,438,429,429,429,4
2014-10-21,426.66,426.66,426.66,426.66,426.66,25
2014-10-22,427.29,429.79,427,429.79,429.79,4
2014-10-27,427.7,427.71,427.69,427.71,427.71,3
2014-10-29,429,436,429,436,436,2
2014-10-30,438,438,438,438,438,21
2014-10-31,443.99,446,443.99,446,446,50
2014-11-03,452,452,452,452,452,20
2014-11-04,449.66,449.67,449.66,449.67,449.67,2
2014-11-05,450,450,450,450,450,20
2014-11-06,445.53,445.53,442,442,442,2
2014-11-10,439.84,439.84,439.83,439.83,439.83,2
2014-11-11,440.01,440.01,440,440,440,2
2014-11-13,444,444,444,444,444,1
2014-11-14,446,446,446,446,446,7
2014-11-17,447.88,449.99,447.87,448,448,25
2014-11-18,452,452,452,452,452,1
2014-11-19,450.5,450.5,450.5,450.5,450.5,21
2014-11-21,445,448,445,448,448,3
2014-11-24,453.39,453.39,453.39,453.39,453.39,1
2014-11-25,448.01,453,448,453,453,25
2014-11-26,453,459,453,456,456,25
2014-11-27,462,464.99,460,460,460,3
2014-11-28,466,471.99,466,470,470,5
2014-12-01,470,471.4,467,468,468,4
2014-12-03,471,471,469,469,469,26
2014-12-04,471,471,471,471,471,2
2014-12-08,472,479.99,470,470,470,11
2014-12-09,468,468,465,465,465,74
2014-12-11,458,460,453,456,456,59
2014-12-12,464.99,464.99,460,460,460,22
2014-12-15,458,458,427,453,453,63
2014-12-16,450,450,450,450,450,1
2014-12-22,460.99,460.99,460.99,460.99,460.99,1
