Date,Open,High,Low,Close,Adj Close,Volume
1991-08-22,3.2644,3.6965,3.2164,3.2644,3.2644,42202792
1991-08-23,3.2644,3.2644,2.9524,2.9524,2.9524,11011050
1991-08-26,2.7124,2.8084,2.6644,2.6644,2.6644,14764720
1991-08-27,2.6644,2.8324,2.5443,2.6163,2.6163,18672540
1991-08-28,2.5923,2.6644,2.3643,2.4003,2.4003,7584410
1991-08-29,2.4483,2.5923,2.4243,2.5683,2.5683,13523210
1991-08-30,2.5683,2.5923,2.4963,2.5203,2.5203,3874480
1991-09-02,2.5683,2.5683,2.4003,2.4963,2.4963,2616320
1991-09-03,2.4963,2.5923,2.4963,2.5683,2.5683,3491190
1991-09-04,2.5923,2.7124,2.5923,2.7124,2.7124,6559540
1991-09-05,2.7604,2.7604,2.5443,2.5683,2.5683,2737130
1991-09-06,2.5683,2.5923,2.5203,2.5683,2.5683,1343560
1991-09-09,2.5443,2.6163,2.4963,2.5443,2.5443,1570620
1991-09-10,2.4963,2.5443,2.4723,2.5443,2.5443,1197750
1991-09-11,2.4963,2.5203,2.4483,2.4723,2.4723,1037350
1991-09-12,2.4003,2.4723,2.4003,2.4723,2.4723,814470
1991-09-13,2.4723,2.4723,2.4003,2.4003,2.4003,1054020
1991-09-16,2.3523,2.4723,2.3523,2.4003,2.4003,358280
1991-09-17,2.3763,2.4003,2.3763,2.3763,2.3763,191630
1991-09-18,2.3763,2.4003,2.3283,2.4003,2.4003,801970
1991-09-19,2.3523,2.4723,2.3043,2.4723,2.4723,1670600
1991-09-20,2.5203,2.6163,2.4483,2.4963,2.4963,5188890
1991-09-23,2.5683,2.5923,2.4963,2.4963,2.4963,4468150
1991-09-24,2.5443,2.5683,2.3523,2.4243,2.4243,6040870
1991-09-25,2.4243,2.4483,2.3643,2.3763,2.3763,872790
1991-09-26,2.3763,2.4243,2.3523,2.3883,2.3883,610330
1991-09-27,2.4243,2.4243,2.3883,2.4003,2.4003,679070
1991-09-30,2.3403,2.3403,2.2563,2.3163,2.3163,504080
1991-10-01,2.3043,2.3043,2.2203,2.2563,2.2563,454100
1991-10-02,2.2563,2.2563,2.1843,2.1843,2.1843,377020
1991-10-03,2.0643,2.1843,2.0163,2.0643,2.0643,624910
1991-10-04,2.1123,2.2683,2.1123,2.2683,2.2683,866540
1991-10-07,2.3883,2.3883,2.2323,2.3283,2.3283,1370640
1991-10-08,2.1603,2.2923,2.1603,2.2083,2.2083,624910
1991-10-09,2.1003,2.2083,2.1003,2.1723,2.1723,470760
1991-10-10,2.1843,2.2563,2.1603,2.2563,2.2563,697810
1991-10-11,2.2083,2.2563,2.1843,2.2563,2.2563,572830
1991-10-16,2.2563,2.4003,2.1603,2.2323,2.2323,2551740
1991-10-17,2.3043,2.3043,2.0403,2.1843,2.1843,79150
1991-10-18,2.1603,2.1843,2.1603,2.1843,2.1843,52070
1991-10-21,2.1603,2.2563,2.1603,2.2203,2.2203,302030
1991-10-22,2.1603,2.1603,2.1123,2.1243,2.1243,689480
1991-10-24,2.1603,2.1603,2.1123,2.1123,2.1123,160390
1991-10-25,2.1003,2.1363,2.1003,2.1123,2.1123,304120
1991-10-28,2.1123,2.1363,2.0763,2.1123,2.1123,308280
1991-10-29,2.0883,2.1603,2.0883,2.1243,2.1243,195800
1991-10-30,2.1243,2.1723,2.1243,2.1723,2.1723,633240
1991-10-31,2.2083,2.2083,2.1603,2.1723,2.1723,327040
1991-11-01,2.1723,2.1723,2.1363,2.1363,2.1363,31240
1991-11-04,2.1603,2.1963,2.1603,2.1603,2.1603,374950
1991-11-05,2.1603,2.1843,2.1243,2.1603,2.1603,510340
1991-11-06,2.1363,2.1603,2.1363,2.1603,2.1603,95810
1991-11-07,2.1483,2.1723,2.1363,2.1723,2.1723,302030
1991-11-08,2.2083,2.3283,2.2083,2.3043,2.3043,1826840
1991-11-11,2.3763,2.4003,2.2683,2.2923,2.2923,704060
1991-11-12,2.1843,2.2323,2.1843,2.2083,2.2083,302030
1991-11-13,2.2083,2.3043,2.2083,2.2803,2.2803,1339400
1991-11-14,2.2323,2.3763,2.2323,2.3643,2.3643,3986970
1991-11-15,2.3883,2.4963,2.3523,2.4963,2.4963,6038780
1991-11-18,2.2803,2.4003,2.2563,2.3523,2.3523,2618390
1991-11-19,2.4483,2.4723,2.3883,2.4483,2.4483,4826440
1991-11-20,2.4483,2.6403,2.4003,2.6163,2.6163,9513320
1991-11-21,2.6644,2.7124,2.5923,2.5923,2.5923,8586360
1991-11-22,2.4963,2.7124,2.4963,2.7124,2.7124,4182770
1991-11-25,2.5443,2.8564,2.5443,2.8564,2.8564,4807690
1991-11-26,2.9044,2.9764,2.7844,2.8324,2.8324,7044900
1991-11-27,2.8324,2.9044,2.7364,2.8324,2.8324,5049330
1991-11-28,2.8564,2.8804,2.6163,2.6644,2.6644,3239140
1991-11-29,2.6644,2.8324,2.5923,2.8324,2.8324,2080960
1991-12-02,2.9044,2.9044,2.7364,2.8324,2.8324,2512160
1991-12-03,2.7844,2.7844,2.6163,2.6883,2.6883,2849620
1991-12-04,2.6403,2.7844,2.6403,2.7844,2.7844,1064430
1991-12-06,2.8324,2.8804,2.7844,2.8324,2.8324,1860170
1991-12-09,2.8804,2.8804,2.7844,2.7844,2.7844,454100
1991-12-11,2.7604,3.0484,2.7604,3.0004,3.0004,3697420
1991-12-12,3.0244,3.0244,2.8564,2.9764,2.9764,6390820
1991-12-13,3.0004,3.0004,2.8564,2.8804,2.8804,1312320
1991-12-16,2.9044,2.9044,2.7364,2.7844,2.7844,522840
1991-12-17,2.7364,2.8564,2.7364,2.7604,2.7604,1301910
1991-12-18,2.7364,2.7844,2.7364,2.7364,2.7364,166630
1991-12-19,2.7604,2.7604,2.6883,2.6883,2.6883,770720
1991-12-20,2.5923,2.6883,2.5443,2.6163,2.6163,452010
1991-12-23,2.6163,2.6163,2.5443,2.6163,2.6163,104140
1991-12-24,2.6403,2.6644,2.5923,2.6163,2.6163,404100
1991-12-25,2.6403,2.6883,2.6403,2.6883,2.6883,339530
1991-12-26,2.6883,2.7604,2.6883,2.7124,2.7124,851970
1991-12-27,2.7364,2.7364,2.6883,2.7124,2.7124,154140
1991-12-30,2.7364,2.7364,2.6403,2.7364,2.7364,168720
1992-01-02,2.6883,2.7844,2.6403,2.7844,2.7844,216630
1992-01-03,2.7844,2.7844,2.6883,2.7844,2.7844,389520
1992-01-06,2.7364,2.7844,2.6883,2.7844,2.7844,535340
1992-01-07,2.7124,2.7844,2.6883,2.6883,2.6883,135390
1992-01-08,2.6883,2.7124,2.6644,2.7124,2.7124,177040
1992-01-09,2.7124,2.7364,2.6883,2.6883,2.6883,837380
1992-01-10,2.7604,2.7604,2.6163,2.6403,2.6403,89560
1992-01-13,2.5923,2.6883,2.5443,2.6883,2.6883,118720
1992-01-14,2.7364,2.7604,2.6644,2.7364,2.7364,264540
1992-01-15,2.7844,2.8804,2.7604,2.8084,2.8084,3762000
1992-01-16,2.8564,2.9044,2.7844,2.8804,2.8804,2074720
