Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,0.23,0.24,0.21,0.21,0.21,3032300
2018-01-11,0.21,0.25,0.21,0.24,0.24,13669300
2018-01-12,0.23,0.25,0.23,0.25,0.25,5965800
2018-01-15,0.24,0.25,0.23,0.25,0.25,3545800
2018-01-16,0.25,0.29,0.24,0.28,0.28,13104900
2018-01-17,0.29,0.31,0.24,0.27,0.27,29721600
2018-01-18,0.27,0.28,0.27,0.27,0.27,3545000
2018-01-19,0.27,0.28,0.26,0.28,0.28,9758400
2018-01-22,0.28,0.32,0.28,0.32,0.32,18882100
2018-01-23,0.32,0.34,0.31,0.31,0.31,21767500
2018-01-24,0.32,0.33,0.32,0.33,0.33,8285000
2018-01-25,0.33,0.33,0.3,0.31,0.31,6932000
2018-01-26,0.3,0.33,0.27,0.33,0.33,17398800
2018-01-29,0.34,0.36,0.32,0.36,0.36,23626500
2018-01-30,0.37,0.39,0.35,0.37,0.37,39598000
2018-01-31,0.37,0.44,0.37,0.44,0.44,3933500
2018-02-01,0.46,0.46,0.42,0.44,0.44,8012000
2018-02-02,0.42,0.43,0.4,0.41,0.41,23756400
2018-02-05,0.35,0.45,0.35,0.45,0.45,25035900
2018-02-06,0.41,0.47,0.4,0.45,0.45,18515200
2018-02-07,0.46,0.5,0.35,0.35,0.35,42422800
2018-02-08,0.33,0.34,0.27,0.34,0.34,50792000
2018-02-09,0.3,0.36,0.29,0.35,0.35,19229800
2018-02-12,0.36,0.37,0.32,0.33,0.33,20399900
2018-02-13,0.33,0.36,0.32,0.32,0.32,9205900
2018-02-14,0.32,0.32,0.19,0.19,0.19,54504600
2018-02-15,0.18,0.23,0.18,0.22,0.22,39455700
2018-02-16,0.23,0.24,0.22,0.23,0.23,23258600
2018-02-19,0.24,0.27,0.24,0.27,0.27,36441700
2018-02-20,0.26,0.3,0.26,0.27,0.27,41649900
2018-02-21,0.28,0.32,0.28,0.29,0.29,19516800
2018-02-22,0.29,0.3,0.24,0.24,0.24,53780000
2018-02-23,0.26,0.31,0.26,0.31,0.31,41365200
2018-02-26,0.34,0.36,0.31,0.36,0.36,30173500
2018-02-27,0.37,0.38,0.34,0.34,0.34,23593300
2018-02-28,0.34,0.39,0.34,0.39,0.39,22161800
2018-03-02,0.39,0.43,0.39,0.4,0.4,53631200
2018-03-05,0.39,0.42,0.37,0.4,0.4,45098700
2018-03-06,0.41,0.43,0.34,0.35,0.35,28368500
2018-03-07,0.35,0.35,0.29,0.3,0.3,22737100
2018-03-08,0.31,0.33,0.3,0.32,0.32,14137300
2018-03-09,0.32,0.33,0.29,0.3,0.3,35330100
2018-03-12,0.31,0.31,0.21,0.25,0.25,57846900
2018-03-13,0.26,0.36,0.26,0.36,0.36,46843100
2018-03-14,0.37,0.4,0.35,0.36,0.36,36666800
2018-03-15,0.36,0.39,0.31,0.39,0.39,17704700
2018-03-16,0.4,0.43,0.35,0.37,0.37,63019300
2018-03-19,0.36,0.39,0.32,0.32,0.32,17370800
2018-03-20,0.31,0.38,0.3,0.38,0.38,21729400
2018-03-21,0.39,0.4,0.34,0.34,0.34,45105000
2018-03-22,0.35,0.37,0.34,0.35,0.35,12200900
2018-03-23,0.32,0.36,0.32,0.34,0.34,15654600
2018-03-26,0.35,0.38,0.34,0.37,0.37,16015700
2018-03-27,0.39,0.4,0.33,0.33,0.33,29413800
2018-03-28,0.34,0.35,0.32,0.34,0.34,21161200
2018-03-29,0.34,0.35,0.32,0.34,0.34,15151900
2018-03-30,0.34,0.35,0.3,0.31,0.31,16936900
2018-04-02,0.32,0.35,0.32,0.32,0.32,15333400
2018-04-03,0.31,0.33,0.31,0.31,0.31,13811600
2018-04-04,0.32,0.33,0.24,0.24,0.24,23055900
2018-04-05,0.26,0.28,0.25,0.28,0.28,20527400
2018-04-09,0.28,0.32,0.28,0.32,0.32,25354200
2018-04-10,0.32,0.32,0.29,0.31,0.31,17116000
2018-04-11,0.31,0.32,0.31,0.31,0.31,10650100
2018-04-12,0.3,0.3,0.27,0.28,0.28,11157600
2018-04-17,0.26,0.27,0.25,0.25,0.25,13570200
2018-04-18,0.26,0.3,0.26,0.3,0.3,21894700
2018-04-19,0.29,0.3,0.28,0.29,0.29,11134400
2018-04-20,0.28,0.28,0.25,0.26,0.26,11013000
2018-04-23,0.24,0.29,0.24,0.28,0.28,26306000
2018-04-24,0.29,0.31,0.28,0.31,0.31,27750000
2018-04-25,0.3,0.34,0.3,0.34,0.34,38077700
2018-04-26,0.36,0.36,0.3,0.3,0.3,50706200
2018-04-27,0.32,0.37,0.31,0.35,0.35,63190300
2018-04-30,0.35,0.36,0.32,0.33,0.33,21705600
2018-05-02,0.33,0.38,0.32,0.38,0.38,32509100
2018-05-03,0.37,0.41,0.36,0.36,0.36,72290200
2018-05-04,0.34,0.34,0.32,0.32,0.32,39289900
2018-05-07,0.31,0.33,0.29,0.29,0.29,27285200
2018-05-08,0.3,0.3,0.2,0.2,0.2,83521400
2018-05-09,0.11,0.12,0.09,0.11,0.11,73549100
2018-05-10,0.11,0.12,0.08,0.08,0.08,37156700
2018-05-11,0.09,0.1,0.08,0.09,0.09,12712900
2018-05-14,0.09,0.1,0.08,0.09,0.09,5363800
2018-05-15,0.09,0.09,0.08,0.08,0.08,8500300
2018-05-16,0.09,0.1,0.08,0.09,0.09,10184400
2018-05-17,0.09,0.11,0.07,0.07,0.07,12332200
2018-05-18,0.07,0.07,0.05,0.05,0.05,12604300
2018-05-21,0.06,0.07,0.06,0.07,0.07,4309200
2018-05-22,0.07,0.07,0.06,0.06,0.06,3436300
2018-05-23,0.06,0.07,0.06,0.06,0.06,2566300
2018-05-24,0.06,0.07,0.05,0.05,0.05,3898900
2018-05-25,0.06,0.07,0.05,0.05,0.05,2013000
2018-05-28,0.05,0.06,0.05,0.06,0.06,2884900
2018-05-30,0.05,0.05,0.04,0.05,0.05,3558300
2018-05-31,0.04,0.04,0.02,0.03,0.03,18841500
2018-06-01,0.03,0.03,0.02,0.02,0.02,5895800
2018-06-04,0.03,0.03,0.02,0.02,0.02,11186000
2018-06-05,0.02,0.03,0.02,0.03,0.03,2681100
2018-06-06,0.03,0.03,0.02,0.03,0.03,2543300
2018-06-07,0.02,0.03,0.02,0.02,0.02,5821000
2018-06-08,0.02,0.02,0.01,0.02,0.02,2427000
2018-06-11,0.02,0.03,0.02,0.03,0.03,3516200
2018-06-12,0.03,0.03,0.01,0.02,0.02,2954200
2018-06-13,0.02,0.02,0.02,0.02,0.02,281200
2018-06-14,0.01,0.02,0.01,0.02,0.02,1411400
2018-06-15,0.01,0.02,0.01,0.01,0.01,9689200
2018-06-18,0.01,0.02,0.01,0.01,0.01,3548200
2018-06-19,0.01,0.02,0.01,0.02,0.02,1700300
2018-06-20,0.01,0.02,0.01,0.02,0.02,51500
2018-06-21,0.02,0.02,0.01,0.01,0.01,48000
2018-06-22,0.01,0.02,0.01,0.01,0.01,4148000
2018-06-25,0.01,0.02,0.01,0.01,0.01,3000100
2018-06-26,0.01,0.01,0.01,0.01,0.01,4955600
2018-06-27,0.01,0.01,0.01,0.01,0.01,3044400
2018-06-29,0.01,0.01,0.01,0.01,0.01,2500
2018-07-17,0.01,0.01,0.01,0.01,0.01,1000000
2018-07-25,0.01,0.01,0.01,0.01,0.01,26687200
2018-07-26,0.01,0.01,0.01,0.01,0.01,13329400
2018-07-31,0.01,0.01,0.01,0.01,0.01,47071900
2018-08-01,0.01,0.02,0.01,0.02,0.02,26010800
2018-08-02,0.02,0.02,0.01,0.01,0.01,18879400
