Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,0.14,0.14,0.14,0.14,0.14,430000
2018-02-05,0.13,0.13,0.13,0.13,0.13,1893300
2018-02-06,0.12,0.12,0.12,0.12,0.12,357000
2018-02-07,0.14,0.14,0.14,0.14,0.14,406700
2018-02-08,0.13,0.13,0.13,0.13,0.13,299700
2018-02-09,0.12,0.12,0.11,0.12,0.12,126500
2018-02-12,0.11,0.11,0.11,0.11,0.11,10000
2018-02-16,0.1,0.11,0.1,0.1,0.1,951000
2018-02-19,0.1,0.11,0.1,0.11,0.11,535400
2018-02-20,0.1,0.1,0.1,0.1,0.1,1109600
2018-02-21,0.1,0.1,0.08,0.08,0.08,259600
2018-02-22,0.08,0.08,0.06,0.06,0.06,1251100
2018-02-23,0.07,0.07,0.07,0.07,0.07,500100
2018-02-27,0.08,0.08,0.08,0.08,0.08,740000
2018-03-02,0.05,0.05,0.05,0.05,0.05,200
2018-03-05,0.07,0.07,0.06,0.06,0.06,23000
2018-03-06,0.06,0.06,0.06,0.06,0.06,700
2018-03-07,0.05,0.05,0.04,0.04,0.04,2700
2018-03-08,0.05,0.05,0.05,0.05,0.05,23000
2018-03-09,0.05,0.05,0.05,0.05,0.05,300
2018-03-12,0.05,0.06,0.05,0.06,0.06,150400
2018-03-13,0.05,0.05,0.05,0.05,0.05,3000
2018-03-14,0.05,0.05,0.05,0.05,0.05,503000
2018-03-16,0.05,0.05,0.05,0.05,0.05,1400
2018-03-20,0.04,0.04,0.04,0.04,0.04,1326000
2018-03-21,0.03,0.03,0.03,0.03,0.03,500
2018-03-23,0.03,0.03,0.02,0.03,0.03,880500
2018-03-26,0.03,0.03,0.03,0.03,0.03,1000
2018-03-27,0.02,0.03,0.02,0.02,0.02,2743400
2018-03-28,0.02,0.02,0.02,0.02,0.02,3649900
2018-03-29,0.02,0.02,0.02,0.02,0.02,237500
2018-03-30,0.02,0.02,0.02,0.02,0.02,250000
2018-04-02,0.02,0.02,0.02,0.02,0.02,115800
2018-04-03,0.02,0.02,0.02,0.02,0.02,2110700
2018-04-04,0.02,0.02,0.02,0.02,0.02,20300
2018-04-05,0.01,0.02,0.01,0.02,0.02,61400
2018-04-09,0.02,0.02,0.02,0.02,0.02,56600
2018-04-10,0.02,0.02,0.02,0.02,0.02,13200
2018-04-11,0.02,0.02,0.02,0.02,0.02,100
2018-04-12,0.02,0.02,0.02,0.02,0.02,554100
2018-04-17,0.02,0.02,0.02,0.02,0.02,100
2018-04-18,0.02,0.02,0.01,0.02,0.02,671200
2018-04-19,0.02,0.02,0.02,0.02,0.02,300100
2018-04-20,0.02,0.02,0.01,0.02,0.02,51200
2018-04-23,0.01,0.02,0.01,0.02,0.02,329900
2018-04-24,0.01,0.02,0.01,0.02,0.02,50100
2018-04-25,0.01,0.02,0.01,0.01,0.01,132300
2018-04-26,0.02,0.02,0.02,0.02,0.02,100
2018-04-27,0.01,0.02,0.01,0.02,0.02,50100
2018-05-03,0.02,0.02,0.02,0.02,0.02,7808000
2018-05-04,0.02,0.02,0.02,0.02,0.02,114300
2018-05-07,0.02,0.02,0.02,0.02,0.02,2470000
2018-05-08,0.01,0.02,0.01,0.02,0.02,95200
2018-05-10,0.01,0.02,0.01,0.01,0.01,3185000
