Date,Open,High,Low,Close,Adj Close,Volume
2015-05-21,1.02,1.02,1,1,1,3000
2015-05-22,0.98,0.98,0.98,0.98,0.98,5700
2015-05-25,0.98,1.02,0.98,1.02,1.02,8700
2015-05-26,1.05,1.05,1.05,1.05,1.05,17600
2015-05-27,1.06,1.06,1.06,1.06,1.06,150000
2015-05-28,1.05,1.05,1.04,1.04,1.04,87600
2015-06-02,1.03,1.03,1.03,1.03,1.03,100
2015-06-04,1,1,1,1,1,100
2015-06-05,0.99,0.99,0.99,0.99,0.99,100200
2015-06-08,0.97,0.97,0.97,0.97,0.97,400
2015-06-12,0.97,0.97,0.97,0.97,0.97,309600
2015-06-15,0.98,0.98,0.98,0.98,0.98,193200
2015-06-18,0.97,0.99,0.97,0.99,0.99,725800
2015-06-19,0.99,0.99,0.99,0.99,0.99,262800
2015-06-22,1.01,1.01,1.01,1.01,1.01,453000
2015-06-23,1,1,1,1,1,595200
2015-06-25,1,1,1,1,1,500
2015-06-26,1.01,1.04,1.01,1.04,1.04,1116100
2015-06-29,1.06,1.09,1.06,1.08,1.08,431200
2015-06-30,1.06,1.06,1.06,1.06,1.06,513600
2015-07-02,1.05,1.05,1.05,1.05,1.05,321600
2015-07-03,1.06,1.06,1.06,1.06,1.06,29800
2015-07-08,1.06,1.06,1.06,1.06,1.06,600000
2015-07-09,1.08,1.14,1.08,1.13,1.13,1758300
2015-07-10,1.11,1.13,1.09,1.12,1.12,121000
2015-07-13,1.12,1.12,1.05,1.05,1.05,11300
2015-07-14,1.01,1.03,1.01,1.03,1.03,126900
2015-07-15,1.04,1.04,1.04,1.04,1.04,10900
2015-07-16,1.05,1.08,1.05,1.08,1.08,453000
2015-07-17,1.05,1.05,1.04,1.04,1.04,220000
2015-07-20,1.05,1.05,1.05,1.05,1.05,117600
2015-07-21,1.07,1.11,1.07,1.11,1.11,602200
2015-07-22,1.11,1.11,1.09,1.09,1.09,9400
2015-07-23,1.08,1.09,1.08,1.09,1.09,566300
2015-07-24,1.11,1.11,1.1,1.1,1.1,43000
2015-07-27,1.11,1.12,1.11,1.12,1.12,164900
2015-07-28,1.14,1.14,1.14,1.14,1.14,206400
2015-07-29,1.13,1.14,1.13,1.14,1.14,403200
2015-07-31,1.09,1.09,1.09,1.09,1.09,233600
2015-08-03,1.07,1.07,1.06,1.06,1.06,107200
2015-08-04,1.08,1.09,1.08,1.08,1.08,428000
2015-08-05,1.07,1.07,1.07,1.07,1.07,104700
2015-08-07,1.05,1.05,1.05,1.05,1.05,109600
2015-08-10,1.06,1.06,1.06,1.06,1.06,228600
2015-08-11,1.06,1.07,1.06,1.07,1.07,230800
2015-08-13,1.12,1.13,1.12,1.13,1.13,849200
2015-08-14,1.09,1.1,1.09,1.09,1.09,1315600
2015-08-17,1.03,1.06,1.03,1.06,1.06,148600
2015-08-18,1.1,1.13,1.1,1.12,1.12,1089500
2015-08-19,1.11,1.11,1.11,1.11,1.11,1043000
2015-08-20,1.09,1.09,1.08,1.09,1.09,837800
2015-08-21,1.12,1.14,1.11,1.14,1.14,1553000
2015-08-24,1.18,1.28,1.18,1.26,1.26,2008000
2015-08-25,1.26,1.32,1.25,1.31,1.31,707800
2015-08-26,1.25,1.26,1.25,1.26,1.26,529800
2015-08-27,1.21,1.22,1.17,1.17,1.17,841800
2015-08-28,1.14,1.23,1.14,1.23,1.23,2000000
2015-08-31,1.17,1.18,1.17,1.18,1.18,572000
2015-09-01,1.16,1.16,1.13,1.16,1.16,527600
2015-09-02,1.19,1.19,1.18,1.18,1.18,1172000
2015-09-03,1.17,1.17,1.17,1.17,1.17,148600
