Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,0.49,0.5,0.48,0.49,0.49,453400
2013-09-20,0.48,0.48,0.48,0.48,0.48,20000
2013-09-23,0.42,0.43,0.42,0.43,0.43,114200
2013-09-24,0.41,0.41,0.4,0.4,0.4,10500
2013-09-25,0.37,0.39,0.37,0.39,0.39,141000
2013-09-27,0.41,0.41,0.41,0.41,0.41,30000
2013-09-30,0.33,0.33,0.33,0.33,0.33,20000
2013-10-03,0.34,0.34,0.34,0.34,0.34,170000
2013-10-08,0.29,0.29,0.29,0.29,0.29,2000
2013-10-09,0.31,0.31,0.31,0.31,0.31,1000
2013-10-10,0.34,0.34,0.34,0.34,0.34,43000
2013-10-11,0.35,0.35,0.34,0.34,0.34,143000
2013-10-16,0.34,0.34,0.34,0.34,0.34,100000
2013-10-18,0.34,0.34,0.34,0.34,0.34,30000
2013-10-21,0.33,0.33,0.33,0.33,0.33,30000
2013-10-22,0.31,0.31,0.31,0.31,0.31,100000
2013-10-25,0.32,0.32,0.32,0.32,0.32,100000
2013-10-29,0.29,0.29,0.29,0.29,0.29,540000
2013-10-30,0.28,0.28,0.27,0.27,0.27,700000
2013-10-31,0.24,0.27,0.24,0.27,0.27,40100
2013-11-04,0.21,0.21,0.21,0.21,0.21,200100
2013-11-05,0.21,0.21,0.21,0.21,0.21,200000
2013-11-06,0.23,0.23,0.23,0.23,0.23,1000
2013-11-07,0.23,0.23,0.23,0.23,0.23,5000
2013-11-11,0.2,0.2,0.2,0.2,0.2,50500
2013-11-12,0.22,0.22,0.21,0.21,0.21,84100
2013-11-14,0.2,0.2,0.2,0.2,0.2,200
2013-11-18,0.19,0.19,0.18,0.18,0.18,380000
2013-11-19,0.18,0.18,0.18,0.18,0.18,300
2013-11-20,0.18,0.19,0.18,0.19,0.19,200100
2013-11-21,0.16,0.16,0.16,0.16,0.16,100
2013-11-22,0.16,0.16,0.16,0.16,0.16,49500
2013-11-25,0.16,0.16,0.15,0.15,0.15,114400
2013-11-27,0.16,0.18,0.16,0.18,0.18,201000
2013-11-29,0.16,0.16,0.16,0.16,0.16,100
2013-12-02,0.16,0.16,0.16,0.16,0.16,500000
2013-12-03,0.17,0.17,0.17,0.17,0.17,50000
2013-12-06,0.15,0.15,0.15,0.15,0.15,50000
2013-12-09,0.15,0.15,0.15,0.15,0.15,50000
2013-12-13,0.12,0.12,0.12,0.12,0.12,1050000
2013-12-18,0.11,0.11,0.11,0.11,0.11,50000
2013-12-20,0.09,0.1,0.09,0.1,0.1,10400
2013-12-23,0.1,0.1,0.1,0.1,0.1,800
2013-12-26,0.09,0.09,0.09,0.09,0.09,1200
2014-01-02,0.07,0.07,0.07,0.07,0.07,130000
2014-01-03,0.06,0.06,0.06,0.06,0.06,50000
2014-01-09,0.06,0.06,0.06,0.06,0.06,6000
2014-01-10,0.06,0.06,0.06,0.06,0.06,46600
2014-01-13,0.06,0.06,0.06,0.06,0.06,30000
2014-01-15,0.09,0.09,0.09,0.09,0.09,57000
2014-01-17,0.1,0.1,0.1,0.1,0.1,57000
2014-01-22,0.08,0.08,0.08,0.08,0.08,71100
2014-01-23,0.08,0.09,0.08,0.09,0.09,400000
2014-01-31,0.07,0.07,0.07,0.07,0.07,11000
2014-02-05,0.06,0.06,0.06,0.06,0.06,1200
2014-02-06,0.06,0.06,0.06,0.06,0.06,11000
2014-02-12,0.07,0.07,0.07,0.07,0.07,54000
2014-03-04,0.08,0.08,0.08,0.08,0.08,2000
2014-03-05,0.08,0.08,0.08,0.08,0.08,1000
2014-03-06,0.08,0.08,0.08,0.08,0.08,100000
2014-03-10,0.08,0.08,0.08,0.08,0.08,1000
2014-03-11,0.09,0.09,0.09,0.09,0.09,46600
2014-03-13,0.08,0.08,0.08,0.08,0.08,20000
2014-03-14,0.07,0.07,0.07,0.07,0.07,20000
2014-03-19,0.07,0.07,0.07,0.07,0.07,300000
2014-03-20,0.06,0.06,0.06,0.06,0.06,2300000
2014-04-02,0.03,0.03,0.03,0.03,0.03,10000
2014-04-03,0.04,0.04,0.04,0.04,0.04,1000000
2014-04-04,0.04,0.04,0.04,0.04,0.04,800000
2014-04-22,0.02,0.02,0.02,0.02,0.02,800000
