Date,Open,High,Low,Close,Adj Close,Volume
1988-01-06,3.1637,3.1637,3.1637,3.1637,3.1637,18361
1988-01-07,3.1637,3.1637,3.1637,3.1637,3.1637,18361
1988-01-18,3.2073,3.2073,3.2073,3.2073,3.2073,36727
1988-02-22,3.2508,3.2944,3.2508,3.2944,3.2944,55092
1988-03-16,3.2944,3.2944,3.2726,3.2944,3.2944,82636
1988-03-18,3.3162,3.3162,3.3162,3.3162,3.3162,36727
1988-03-22,3.3379,3.3379,3.3379,3.3379,3.3379,73457
1988-03-23,3.3379,3.3379,3.3379,3.3379,3.3379,9178
1988-05-10,3.6647,3.6647,3.6647,3.6647,3.6647,27544
1988-05-11,3.7953,3.7953,3.7953,3.7953,3.7953,9178
1988-05-13,3.9043,3.9478,3.9043,3.9478,3.9478,82636
1988-05-16,4.0349,4.0349,4.0349,4.0349,4.0349,18361
1988-06-14,4.427,4.427,4.427,4.427,4.427,36727
1988-06-15,4.5141,4.5141,4.5141,4.5141,4.5141,9178
1988-06-16,4.6012,4.6012,4.6012,4.6012,4.6012,82636
1988-06-22,4.7102,4.7102,4.7102,4.7102,4.7102,18361
1988-06-23,4.6666,4.6666,4.6666,4.6666,4.6666,36727
1988-06-24,5.124,5.124,5.124,5.124,5.124,36727
1988-06-28,5.124,5.124,5.124,5.124,5.124,64275
1988-06-29,5.124,5.124,5.124,5.124,5.124,9178
1988-06-30,5.2111,5.2982,5.2111,5.2982,5.2982,18361
1988-07-04,5.3854,5.3854,5.3854,5.3854,5.3854,9178
1988-07-06,5.4725,5.4725,5.4725,5.4725,5.4725,36727
1988-07-07,5.6032,5.6032,5.6032,5.6032,5.6032,9178
1988-07-08,5.7339,5.7339,5.7339,5.7339,5.7339,9178
1988-07-13,5.6358,5.6358,5.6358,5.6358,5.6358,36727
1988-07-20,5.6685,5.6685,5.6685,5.6685,5.6685,55092
1988-07-21,5.6685,5.6685,5.6685,5.6685,5.6685,45909
1988-07-26,5.7012,5.8319,5.7012,5.8319,5.8319,73457
1988-07-27,5.9626,5.9626,5.9626,5.9626,5.9626,18361
1988-07-28,5.8972,5.8972,5.8972,5.8972,5.8972,45909
1988-08-01,5.8319,5.8319,5.8319,5.8319,5.8319,9178
1988-08-09,6.1259,6.3873,6.1259,6.3873,6.3873,55092
1988-08-11,6.518,6.91,6.518,6.91,6.91,82636
1988-08-15,7.0081,7.0407,7.0081,7.0081,7.0081,27544
1988-08-16,6.8774,6.8774,6.8774,6.8774,6.8774,18361
1988-08-17,7.0081,7.0081,7.0081,7.0081,7.0081,36727
1988-08-18,7.1387,7.3348,7.1387,7.3348,7.3348,55092
1988-08-19,7.4328,8.0535,7.4328,8.0535,8.0535,45909
1988-08-22,8.0535,8.0535,7.9882,7.9882,7.9882,36727
1988-09-02,7.9882,7.9882,7.7268,7.7268,7.7268,64275
1988-09-08,7.8575,7.8575,7.8575,7.8575,7.8575,9178
1988-09-09,7.9882,7.9882,7.9882,7.9882,7.9882,9178
1988-09-12,8.0535,8.1189,8.0535,8.1189,8.1189,27544
1988-09-13,8.0535,8.0535,8.0535,8.0535,8.0535,9178
1988-09-14,7.9229,7.9229,7.9229,7.9229,7.9229,18361
1988-09-15,7.9229,8.0535,7.9229,7.9882,7.9882,128550
1988-09-16,7.9229,7.9229,7.9229,7.9229,7.9229,27544
1988-09-19,7.8902,7.8902,7.8902,7.8902,7.8902,36727
1988-09-22,7.8902,7.8902,7.8902,7.8902,7.8902,18361
1988-09-28,8.0209,8.0209,8.0209,8.0209,8.0209,9178
1988-09-29,8.1516,8.3149,8.1516,8.3149,8.3149,55092
1988-09-30,8.4456,8.4456,8.4456,8.4456,8.4456,18361
1988-10-03,8.4456,8.8377,8.4456,8.8377,8.8377,82636
1988-10-04,9.0119,9.1426,9.0119,9.099,9.099,64275
1988-10-05,9.2733,9.2733,9.2733,9.2733,9.2733,9178
1988-10-06,9.2733,9.3604,9.2733,9.2733,9.2733,82636
1988-10-17,9.1426,9.1426,9.1426,9.1426,9.1426,9178
1988-10-20,8.9683,8.9683,8.7941,8.7941,8.7941,82636
1988-10-21,8.7941,8.7941,8.7941,8.7941,8.7941,27544
1988-11-03,8.7941,8.7941,8.7941,8.7941,8.7941,18361
1988-11-10,8.4892,8.4892,8.3585,8.3585,8.3585,45909
1988-11-11,8.3585,8.3585,8.3585,8.3585,8.3585,936591
1988-11-17,8.5327,8.5327,8.5327,8.5327,8.5327,9178
1988-11-18,8.5327,8.5327,8.5327,8.5327,8.5327,9178
1988-11-21,8.5327,8.5763,8.5327,8.5763,8.5763,45909
1988-11-28,8.402,8.402,8.2278,8.2278,8.2278,18361
1988-11-29,8.1407,8.1407,8.1407,8.1407,8.1407,9178
1988-11-30,8.1407,8.1407,8.1407,8.1407,8.1407,36727
1988-12-01,8.1407,8.2387,8.1407,8.2387,8.2387,27544
1989-01-19,8.1516,8.1516,8.1516,8.1516,8.1516,55092
1989-01-20,8.1516,8.1516,8.1516,8.1516,8.1516,73457
1989-01-31,8.1516,8.1516,8.1516,8.1516,8.1516,36727
1989-02-15,8.2822,8.2822,8.2822,8.2822,8.2822,73457
1989-02-16,8.4565,8.4565,8.4565,8.4565,8.4565,18361
1989-02-24,8.3258,8.3258,8.3258,8.3258,8.3258,9178
1989-02-27,8.1951,8.1951,8.1951,8.1951,8.1951,9178
1989-02-28,8.1951,8.1951,8.1951,8.1951,8.1951,18361
1989-03-01,8.1951,8.1951,8.1951,8.1951,8.1951,18361
1989-03-07,8.1951,8.1951,8.1951,8.1951,8.1951,9178
1989-03-10,8.0209,8.0209,8.0209,8.0209,8.0209,18361
1989-03-31,7.8902,7.8902,7.8902,7.8902,7.8902,9178
1989-04-10,7.8902,7.8902,7.8902,7.8902,7.8902,9178
1989-06-01,8.6743,8.6743,8.6743,8.6743,8.6743,27544
1989-06-08,8.8486,9.502,8.8486,9.502,9.502,36727
1989-06-09,9.6762,9.894,9.6762,9.894,9.894,36727
1989-06-12,10.0683,10.0683,10.0683,10.0683,10.0683,9178
1989-06-14,10.591,10.7653,10.591,10.7653,10.7653,27544
1989-06-15,10.7653,10.9395,10.7653,10.9395,10.9395,27544
1989-06-16,10.9395,10.9395,10.9395,10.9395,10.9395,9178
1989-06-20,10.9395,11.1573,10.8851,10.8851,10.8851,128550
1989-07-04,11.9306,11.9306,11.9306,11.9306,11.9306,9178
1989-07-12,12.1484,12.3662,12.1484,12.3662,12.3662,27544
1989-07-13,12.5296,12.8018,12.5296,12.8018,12.8018,36727
1989-07-14,13.0196,13.5097,13.0196,13.4552,13.4552,55092
1989-07-19,14.7621,14.7621,14.7621,14.7621,14.7621,36727
1989-07-20,14.9799,15.1977,14.9799,15.1977,15.1977,27544
1989-07-21,15.1977,15.4155,15.1977,15.4155,15.4155,36727
1989-07-24,15.4155,15.4155,15.4155,15.4155,15.4155,9178
1989-08-17,15.4155,15.4155,15.4155,15.4155,15.4155,9178
1989-08-18,15.4155,15.4155,15.4155,15.4155,15.4155,64275
1989-08-21,15.4155,15.4155,15.4155,15.4155,15.4155,55092
1989-08-23,15.47,15.47,15.47,15.47,15.47,18361
1989-08-28,15.5789,15.5789,15.5789,15.5789,15.5789,9178
1989-08-29,15.5789,15.5789,15.5789,15.5789,15.5789,18361
1989-08-30,15.5789,15.5789,15.5789,15.5789,15.5789,36727
1989-09-05,15.47,15.47,15.47,15.47,15.47,45909
1989-09-25,15.6878,15.6878,15.6878,15.6878,15.6878,18361
1989-10-03,15.6878,15.6878,15.6878,15.6878,15.6878,7160
1989-10-16,15.47,15.47,15.47,15.47,15.47,9178
1989-10-27,15.5244,15.5244,15.5244,15.5244,15.5244,18361
1989-10-31,17.0491,17.0491,17.0491,17.0491,17.0491,9178
1989-11-01,17.4575,17.4575,17.4575,17.4575,17.4575,18361
1989-11-02,17.7026,18.0293,17.7026,18.0293,18.0293,27544
1989-11-03,18.2743,18.9277,18.2743,18.9277,18.9277,45909
1989-11-06,19.0911,19.0911,19.0911,19.0911,19.0911,18361
1989-11-07,19.0911,19.2545,19.0911,19.0911,19.0911,55092
1989-11-08,19.0911,19.0911,19.0911,19.0911,19.0911,9178
1989-11-10,19.0911,19.0911,19.0911,19.0911,19.0911,18361
1989-11-13,19.0911,19.0911,19.0911,19.0911,19.0911,36727
1989-11-14,19.0911,19.0911,19.0911,19.0911,19.0911,165277
1989-11-21,19.4178,19.4178,19.4178,19.4178,19.4178,9178
1989-11-22,19.4178,19.4178,19.4178,19.4178,19.4178,18361
1989-11-23,19.4178,19.4178,19.4178,19.4178,19.4178,36727
1989-11-29,21.2964,21.2964,21.2964,21.2964,21.2964,9178
1989-12-06,21.2964,21.6231,21.2964,21.6231,21.6231,18361
1989-12-12,21.9499,21.9499,21.9499,21.9499,21.9499,9178
1989-12-21,24.128,24.128,24.128,24.128,24.128,9178
1989-12-26,24.5636,24.9992,24.5636,24.9992,24.9992,18361
1990-01-18,27.3951,27.3951,27.3951,27.3951,27.3951,9178
1990-01-24,30.0579,30.0579,30.0579,30.0579,30.0579,1833
1990-01-25,32.9983,32.9983,32.9983,32.9983,32.9983,5508
1990-01-26,33.8695,34.7408,33.8695,34.7408,34.7408,9178
1990-01-29,35.3942,38.0079,35.3942,38.0079,38.0079,27544
1990-01-30,38.8792,41.7107,38.8792,41.7107,41.7107,22036
1990-01-31,41.7107,45.8491,41.7107,44.7601,44.7601,56929
1990-02-01,44.7601,45.6313,42.582,42.582,42.582,22036
1990-02-02,41.7107,41.7107,38.4436,38.4436,38.4436,16524
