Date,Open,High,Low,Close,Adj Close,Volume
2018-06-12,0.82,0.99,0.74,0.9,0.9,108554200
2018-06-13,0.88,0.92,0.75,0.76,0.76,51449100
2018-06-14,0.75,0.79,0.72,0.75,0.75,17714300
2018-06-15,0.76,0.78,0.71,0.72,0.72,10481600
2018-06-18,0.72,0.72,0.67,0.67,0.67,4057700
2018-06-19,0.65,0.7,0.65,0.65,0.65,4201900
2018-06-20,0.66,0.69,0.66,0.66,0.66,2704000
2018-06-21,0.67,0.7,0.59,0.59,0.59,6679600
2018-06-22,0.6,0.6,0.51,0.52,0.52,3362500
2018-06-25,0.52,0.53,0.47,0.48,0.48,2852600
2018-06-26,0.47,0.51,0.47,0.51,0.51,1595700
2018-06-27,0.51,0.52,0.49,0.5,0.5,667900
2018-06-28,0.5,0.5,0.47,0.48,0.48,626300
2018-06-29,0.48,0.48,0.45,0.47,0.47,1067300
2018-07-02,0.45,0.5,0.45,0.5,0.5,210100
2018-07-03,0.47,0.53,0.47,0.53,0.53,292600
2018-07-04,0.53,0.53,0.48,0.48,0.48,1750300
2018-07-05,0.49,0.5,0.46,0.46,0.46,598400
2018-07-06,0.45,0.47,0.44,0.44,0.44,1804200
2018-07-09,0.46,0.46,0.43,0.46,0.46,243500
2018-07-10,0.44,0.47,0.43,0.45,0.45,373400
2018-07-11,0.45,0.5,0.44,0.5,0.5,1515700
2018-07-12,0.48,0.5,0.46,0.49,0.49,595200
2018-07-13,0.49,0.54,0.47,0.52,0.52,2195500
2018-07-16,0.51,0.51,0.49,0.49,0.49,235000
2018-07-17,0.49,0.5,0.48,0.48,0.48,203200
2018-07-18,0.48,0.5,0.47,0.49,0.49,303900
2018-07-19,0.47,0.49,0.47,0.48,0.48,76500
2018-07-20,0.47,0.5,0.47,0.49,0.49,539500
2018-07-23,0.49,0.49,0.48,0.49,0.49,149800
2018-07-24,0.48,0.49,0.48,0.49,0.49,168000
2018-07-25,0.48,0.5,0.47,0.48,0.48,974200
2018-07-26,0.48,0.61,0.48,0.58,0.58,7208500
2018-07-31,0.59,0.61,0.55,0.55,0.55,1456800
2018-08-01,0.54,0.59,0.54,0.57,0.57,1055900
2018-08-02,0.57,0.57,0.54,0.55,0.55,481000
2018-08-03,0.57,0.61,0.55,0.59,0.59,2556100
2018-08-06,0.59,0.64,0.59,0.62,0.62,2387300
2018-08-07,0.66,0.8,0.65,0.74,0.74,38035800
2018-08-08,0.73,0.76,0.69,0.71,0.71,4704700
2018-08-09,0.7,0.71,0.66,0.7,0.7,2202200
2018-08-10,0.71,0.73,0.65,0.65,0.65,6596300
2018-08-14,0.65,0.68,0.62,0.66,0.66,1461000
2018-08-15,0.67,0.73,0.65,0.65,0.65,2865100
2018-08-16,0.67,0.75,0.67,0.75,0.75,9917900
2018-08-17,0.76,0.8,0.74,0.74,0.74,7918200
2018-08-20,0.74,0.74,0.69,0.72,0.72,3166400
2018-08-21,0.72,0.72,0.69,0.7,0.7,1305000
2018-08-22,0.71,0.73,0.7,0.7,0.7,2072500
2018-08-23,0.7,0.71,0.69,0.7,0.7,707900
2018-08-24,0.71,0.76,0.7,0.71,0.71,4216300
2018-08-27,0.7,0.73,0.7,0.7,0.7,2294400
2018-08-28,0.71,0.71,0.69,0.69,0.69,1373700
2018-08-29,0.69,0.71,0.69,0.69,0.69,418800
2018-08-30,0.7,0.7,0.69,0.69,0.69,150600
2018-08-31,0.69,0.7,0.68,0.7,0.7,707800
2018-09-03,0.7,0.71,0.69,0.69,0.69,256500
2018-09-04,0.69,0.73,0.69,0.71,0.71,1973900
2018-09-05,0.7,0.71,0.67,0.67,0.67,585400
2018-09-06,0.66,0.69,0.66,0.66,0.66,952100
2018-09-07,0.66,0.69,0.66,0.67,0.67,234000
2018-09-10,0.7,0.71,0.68,0.68,0.68,286300
2018-09-11,0.69,0.7,0.67,0.68,0.68,168500
2018-09-12,0.68,0.69,0.67,0.68,0.68,47700
2018-09-13,0.69,0.7,0.67,0.68,0.68,149000
2018-09-14,0.68,0.7,0.67,0.67,0.67,138900
2018-09-17,0.67,0.72,0.66,0.68,0.68,1051400
2018-09-18,0.68,0.69,0.66,0.67,0.67,429300
2018-09-19,0.69,0.69,0.67,0.67,0.67,212300
2018-09-20,0.69,0.72,0.67,0.67,0.67,1513600
2018-09-21,0.68,0.69,0.67,0.67,0.67,188000
2018-09-24,0.68,0.69,0.66,0.66,0.66,185200
2018-09-25,0.66,0.68,0.63,0.64,0.64,2179200
2018-09-26,0.64,0.65,0.64,0.64,0.64,158900
2018-09-27,0.64,0.68,0.64,0.65,0.65,485700
2018-09-28,0.64,0.68,0.64,0.65,0.65,1036700
2018-10-01,0.65,0.65,0.6,0.61,0.61,270400
2018-10-02,0.63,0.67,0.61,0.61,0.61,3671200
2018-10-03,0.62,0.65,0.62,0.62,0.62,1961800
