Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,0.76,0.76,0.69,0.69,0.69,1902700
2013-05-28,0.7,0.72,0.7,0.72,0.72,381100
2013-05-29,0.68,0.69,0.68,0.69,0.69,150000
2013-05-30,0.65,0.71,0.64,0.71,0.71,1942000
2013-05-31,0.72,0.73,0.65,0.65,0.65,470500
2013-06-03,0.64,0.64,0.61,0.61,0.61,950000
2013-06-04,0.61,0.62,0.61,0.62,0.62,151000
2013-06-05,0.58,0.59,0.58,0.59,0.59,404600
2013-06-06,0.48,0.49,0.46,0.46,0.46,445000
2013-06-07,0.45,0.56,0.45,0.53,0.53,371900
2013-06-10,0.55,0.55,0.5,0.51,0.51,1642700
2013-06-11,0.49,0.49,0.38,0.39,0.39,2040000
2013-06-12,0.38,0.39,0.32,0.39,0.39,3307900
2013-06-13,0.34,0.46,0.31,0.43,0.43,2623400
2013-06-14,0.47,0.47,0.43,0.44,0.44,637100
2013-06-17,0.46,0.5,0.43,0.46,0.46,3294300
2013-06-18,0.48,0.48,0.42,0.42,0.42,4188900
2013-06-19,0.43,0.43,0.39,0.39,0.39,900100
2013-06-20,0.36,0.36,0.3,0.3,0.3,1245000
2013-06-21,0.25,0.32,0.22,0.31,0.31,5766000
2013-06-24,0.32,0.34,0.31,0.32,0.32,2461000
2013-06-25,0.32,0.32,0.3,0.32,0.32,650100
2013-06-26,0.38,0.45,0.38,0.45,0.45,1052100
2013-06-27,0.47,0.49,0.45,0.47,0.47,358500
2013-06-28,0.46,0.46,0.4,0.41,0.41,564700
2013-07-02,0.39,0.43,0.39,0.43,0.43,593200
2013-07-03,0.42,0.42,0.32,0.33,0.33,3055000
2013-07-04,0.35,0.35,0.32,0.32,0.32,1225000
2013-07-05,0.34,0.34,0.31,0.31,0.31,562400
2013-07-08,0.31,0.31,0.29,0.3,0.3,207300
2013-07-09,0.3,0.31,0.3,0.31,0.31,500000
2013-07-10,0.3,0.3,0.25,0.25,0.25,625100
2013-07-11,0.26,0.35,0.26,0.35,0.35,1679600
2013-07-12,0.36,0.44,0.36,0.39,0.39,2228300
2013-07-15,0.4,0.41,0.36,0.36,0.36,907600
2013-07-16,0.38,0.38,0.36,0.38,0.38,120100
2013-07-17,0.4,0.41,0.39,0.4,0.4,316300
2013-07-18,0.4,0.42,0.39,0.39,0.39,802500
2013-07-19,0.39,0.39,0.35,0.35,0.35,699100
2013-07-23,0.38,0.4,0.37,0.4,0.4,614000
2013-07-24,0.4,0.41,0.38,0.4,0.4,150000
2013-07-25,0.4,0.4,0.33,0.33,0.33,873400
2013-07-26,0.34,0.37,0.34,0.36,0.36,728800
2013-07-29,0.36,0.36,0.31,0.31,0.31,1025500
2013-07-30,0.29,0.3,0.27,0.28,0.28,639300
2013-07-31,0.25,0.25,0.19,0.2,0.2,4277100
2013-08-01,0.23,0.24,0.21,0.21,0.21,1848900
2013-08-02,0.22,0.23,0.17,0.17,0.17,1301500
2013-08-05,0.16,0.17,0.16,0.16,0.16,2115000
2013-08-06,0.15,0.2,0.15,0.19,0.19,2362000
2013-08-07,0.17,0.18,0.16,0.16,0.16,5840300
2013-08-08,0.18,0.19,0.16,0.17,0.17,5877400
2013-08-09,0.17,0.17,0.16,0.16,0.16,352000
2013-08-13,0.17,0.19,0.17,0.18,0.18,793800
2013-08-14,0.18,0.18,0.16,0.17,0.17,1720200
2013-08-15,0.17,0.19,0.17,0.18,0.18,2078700
2013-08-16,0.17,0.19,0.16,0.18,0.18,709000
2013-08-19,0.17,0.17,0.16,0.16,0.16,2790000
2013-08-20,0.15,0.15,0.12,0.12,0.12,1046200
2013-08-21,0.12,0.15,0.12,0.15,0.15,1806600
2013-08-22,0.13,0.14,0.12,0.12,0.12,1197000
2013-08-23,0.14,0.14,0.11,0.11,0.11,1078400
2013-08-26,0.12,0.12,0.11,0.11,0.11,346200
2013-08-27,0.1,0.1,0.07,0.07,0.07,1405000
2013-08-28,0.06,0.06,0.04,0.04,0.04,13108500
2013-08-29,0.04,0.05,0.04,0.05,0.05,8427300
2013-08-30,0.05,0.06,0.05,0.06,0.06,10374900
2013-09-02,0.06,0.1,0.06,0.1,0.1,5399900
2013-09-03,0.09,0.14,0.09,0.11,0.11,9359000
2013-09-04,0.1,0.1,0.09,0.1,0.1,4895000
2013-09-05,0.1,0.12,0.1,0.12,0.12,1972000
2013-09-06,0.13,0.13,0.12,0.12,0.12,676500
2013-09-09,0.12,0.12,0.11,0.11,0.11,1193600
2013-09-10,0.12,0.14,0.12,0.12,0.12,1275000
2013-09-11,0.13,0.13,0.11,0.12,0.12,2602000
2013-09-12,0.12,0.12,0.1,0.11,0.11,1724800
2013-09-13,0.11,0.11,0.11,0.11,0.11,2354900
2013-09-16,0.12,0.19,0.12,0.19,0.19,7451500
2013-09-17,0.19,0.21,0.17,0.21,0.21,5356800
2013-09-18,0.19,0.21,0.18,0.2,0.2,5152200
2013-09-19,0.46,0.46,0.24,0.27,0.27,16879600
2013-09-20,0.27,0.27,0.21,0.22,0.22,13745500
2013-09-23,0.21,0.21,0.16,0.18,0.18,20897400
2013-09-24,0.16,0.22,0.16,0.21,0.21,20392800
2013-09-25,0.21,0.21,0.19,0.21,0.21,4950100
2013-09-26,0.2,0.2,0.19,0.2,0.2,5872200
2013-09-27,0.2,0.21,0.19,0.19,0.19,2465800
2013-09-30,0.19,0.19,0.13,0.13,0.13,6803000
2013-10-01,0.14,0.16,0.13,0.14,0.14,8312800
2013-10-02,0.16,0.19,0.15,0.18,0.18,15156900
2013-10-03,0.16,0.18,0.16,0.16,0.16,11436800
2013-10-04,0.16,0.16,0.16,0.16,0.16,1330100
2013-10-07,0.17,0.18,0.16,0.18,0.18,4930800
2013-10-08,0.19,0.19,0.17,0.17,0.17,2330400
2013-10-09,0.18,0.2,0.18,0.2,0.2,3232700
2013-10-10,0.2,0.21,0.18,0.18,0.18,5097000
2013-10-11,0.2,0.23,0.2,0.22,0.22,8255700
2013-10-14,0.2,0.2,0.18,0.19,0.19,5229400
2013-10-15,0.19,0.21,0.19,0.21,0.21,5686400
2013-10-16,0.19,0.21,0.19,0.2,0.2,2250100
2013-10-17,0.22,0.22,0.2,0.21,0.21,4676500
2013-10-18,0.21,0.21,0.2,0.21,0.21,2440400
2013-10-21,0.2,0.21,0.15,0.15,0.15,8609500
2013-10-22,0.15,0.16,0.13,0.14,0.14,6028600
2013-10-24,0.14,0.17,0.13,0.17,0.17,10954900
2013-10-25,0.17,0.18,0.17,0.18,0.18,4771500
2013-10-28,0.17,0.17,0.16,0.16,0.16,2620200
2013-10-29,0.16,0.17,0.16,0.17,0.17,1913900
2013-10-30,0.16,0.16,0.15,0.15,0.15,2607700
2013-10-31,0.15,0.16,0.15,0.16,0.16,867300
2013-11-01,0.16,0.18,0.15,0.16,0.16,5919900
2013-11-04,0.15,0.17,0.12,0.15,0.15,8437800
2013-11-05,0.15,0.16,0.12,0.14,0.14,11879100
2013-11-06,0.14,0.14,0.13,0.14,0.14,2951400
2013-11-07,0.14,0.15,0.13,0.13,0.13,2215300
2013-11-08,0.13,0.13,0.11,0.12,0.12,6986700
2013-11-11,0.11,0.11,0.07,0.1,0.1,6896100
2013-11-12,0.1,0.1,0.09,0.09,0.09,666700
2013-11-13,0.08,0.08,0.07,0.07,0.07,1799600
2013-11-14,0.08,0.08,0.07,0.07,0.07,2754200
2013-11-15,0.07,0.07,0.05,0.06,0.06,4338800
2013-11-18,0.06,0.06,0.04,0.04,0.04,1907000
2013-11-19,0.03,0.03,0.02,0.02,0.02,4319300
2013-11-20,0.01,0.02,0.01,0.02,0.02,112200
2013-11-21,0.01,0.02,0.01,0.01,0.01,4444200
2013-11-22,0.01,0.01,0.01,0.01,0.01,1349700
2013-11-25,0.01,0.01,0.01,0.01,0.01,2408100
2013-11-26,0.01,0.01,0.01,0.01,0.01,3826100
2013-11-27,0.01,0.01,0.01,0.01,0.01,7559000
