Date,Open,High,Low,Close,Adj Close,Volume
2012-09-25,1.22,1.22,1.22,1.22,1.22,40000
2012-09-26,1.24,1.24,1.24,1.24,1.24,40000
2012-09-27,1.32,1.33,1.32,1.33,1.33,140000
2012-10-05,1.16,1.16,1.16,1.16,1.16,200
2012-10-09,1.24,1.24,1.13,1.13,1.13,600
2012-10-11,1.1,1.1,1.1,1.1,1.1,200
2012-10-15,1.2,1.2,1.2,1.2,1.2,200
2012-10-16,1.16,1.17,1.16,1.17,1.17,200000
2012-10-26,0.99,0.99,0.99,0.99,0.99,60000
2012-10-29,0.98,0.99,0.98,0.99,0.99,166000
2012-10-30,0.97,0.97,0.94,0.94,0.94,110400
2012-11-01,1.06,1.06,1.06,1.06,1.06,78100
2012-11-02,1.02,1.02,0.99,0.99,0.99,346100
2012-11-05,0.98,0.98,0.98,0.98,0.98,50000
2012-11-07,0.9,0.9,0.82,0.87,0.87,553000
2012-11-08,0.82,0.82,0.8,0.82,0.82,100100
2012-11-09,0.81,0.85,0.81,0.84,0.84,180100
2012-11-12,0.86,0.88,0.86,0.88,0.88,100000
2012-11-13,0.88,0.88,0.87,0.88,0.88,181000
2012-11-14,0.83,0.84,0.83,0.84,0.84,104000
2012-11-15,0.79,0.8,0.79,0.8,0.8,109000
2012-11-16,0.85,0.87,0.85,0.87,0.87,1200
2012-11-19,0.84,0.84,0.78,0.78,0.78,241500
2012-11-20,0.78,0.78,0.78,0.78,0.78,11500
2012-11-26,0.77,0.82,0.77,0.82,0.82,254000
2012-11-27,0.82,0.83,0.82,0.82,0.82,931200
2012-11-29,0.79,0.84,0.79,0.84,0.84,1098100
2012-11-30,0.84,0.85,0.84,0.85,0.85,744000
2012-12-03,0.83,0.89,0.83,0.89,0.89,1048100
2012-12-04,0.84,0.86,0.83,0.84,0.84,280000
2012-12-06,0.85,0.85,0.79,0.81,0.81,684100
2012-12-07,0.75,0.75,0.66,0.67,0.67,689000
2012-12-11,0.68,0.68,0.52,0.52,0.52,1700000
2012-12-12,0.58,0.65,0.58,0.65,0.65,3839600
2012-12-13,0.62,0.69,0.62,0.62,0.62,1964700
2012-12-14,0.62,0.62,0.62,0.62,0.62,20500
2012-12-17,0.65,0.67,0.65,0.67,0.67,1400
2012-12-19,0.6,0.65,0.6,0.65,0.65,300300
2012-12-24,0.63,0.63,0.62,0.62,0.62,241600
2012-12-26,0.58,0.58,0.58,0.58,0.58,722200
2013-01-03,0.83,0.84,0.83,0.84,0.84,138000
2013-01-08,1.03,1.09,1.03,1.09,1.09,592400
2013-01-09,1.08,1.08,0.99,1.07,1.07,1515200
2013-01-10,1.05,1.06,1.05,1.06,1.06,120000
