Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,1,1,0.43,0.43,0.43,200
2015-09-07,0.65,0.65,0.65,0.65,0.65,200000
2015-09-10,0.69,0.69,0.69,0.69,0.69,200000
2015-09-24,0.74,0.74,0.74,0.74,0.74,7000
2015-09-28,0.68,0.68,0.68,0.68,0.68,5000
2015-10-05,0.68,0.68,0.68,0.68,0.68,1500
2015-10-06,0.69,0.69,0.67,0.67,0.67,5000
2015-10-07,0.68,0.68,0.68,0.68,0.68,7500
2015-10-15,0.71,0.71,0.71,0.71,0.71,1400000
2015-10-16,0.71,0.71,0.7,0.7,0.7,14000
2015-10-19,0.69,0.71,0.69,0.71,0.71,2000
2015-10-20,0.69,0.69,0.69,0.69,0.69,2000
2015-10-26,0.7,0.7,0.7,0.7,0.7,14000
2015-10-28,0.69,0.69,0.68,0.68,0.68,29000
2015-10-29,0.66,0.66,0.65,0.65,0.65,14000
2015-10-30,0.65,0.65,0.65,0.65,0.65,28000
2015-11-04,0.68,0.68,0.67,0.67,0.67,399800
2015-11-06,0.64,0.64,0.63,0.63,0.63,620200
2015-11-09,0.65,0.65,0.65,0.65,0.65,1500
2015-11-11,0.65,0.65,0.65,0.65,0.65,1199800
2015-11-12,0.65,0.65,0.65,0.65,0.65,527600
2015-11-16,0.63,0.63,0.63,0.63,0.63,3000
2015-11-18,0.61,0.61,0.61,0.61,0.61,599400
2015-11-19,0.65,0.71,0.65,0.69,0.69,1262400
2015-11-23,0.72,0.72,0.71,0.71,0.71,1098200
2015-11-25,0.65,0.65,0.64,0.64,0.64,1070400
2015-11-26,0.66,0.66,0.65,0.66,0.66,1340800
2015-11-30,0.59,0.59,0.59,0.59,0.59,655800
2015-12-01,0.58,0.58,0.57,0.57,0.57,561000
2015-12-02,0.57,0.59,0.52,0.54,0.54,2715200
2015-12-03,0.54,0.54,0.48,0.49,0.49,1282000
2015-12-04,0.51,0.52,0.51,0.52,0.52,1001200
2015-12-08,0.43,0.45,0.41,0.42,0.42,2316400
2015-12-09,0.43,0.43,0.43,0.43,0.43,467200
2015-12-11,0.45,0.48,0.45,0.46,0.46,485200
2015-12-14,0.45,0.45,0.44,0.44,0.44,550400
2015-12-15,0.47,0.47,0.47,0.47,0.47,996200
2015-12-16,0.48,0.48,0.48,0.48,0.48,472000
2015-12-17,0.53,0.53,0.51,0.51,0.51,485000
2015-12-21,0.47,0.47,0.47,0.47,0.47,533600
2015-12-22,0.47,0.48,0.47,0.47,0.47,2155400
2015-12-24,0,0.49,0.48,0.48,0.48,1089400
2015-12-25,0.48,0.48,0.47,0.47,0.47,563600
2015-12-28,0.46,0.46,0.46,0.46,0.46,861800
2015-12-29,0.46,0.46,0.46,0.46,0.46,532000
2016-01-04,0.47,0.48,0.47,0.47,0.47,1636800
2016-01-05,0.5,0.51,0.5,0.51,0.51,1040000
2016-01-06,0.51,0.51,0.5,0.5,0.5,542600
2016-01-08,0.46,0.49,0.46,0.48,0.48,2369600
2016-01-11,0.49,0.53,0.49,0.53,0.53,1015400
2016-01-12,0.53,0.53,0.5,0.52,0.52,2008600
2016-01-14,0.52,0.52,0.52,0.52,0.52,500000
2016-01-15,0.53,0.59,0.53,0.53,0.53,2003600
2016-01-18,0.47,0.49,0.44,0.46,0.46,3948900
2016-01-19,0.47,0.49,0.47,0.49,0.49,943600
2016-01-20,0.46,0.47,0.46,0.47,0.47,1035000
2016-01-21,0.44,0.45,0.43,0.44,0.44,991400
2016-01-25,0.45,0.45,0.44,0.44,0.44,504000
2016-01-27,0.42,0.44,0.42,0.44,0.44,549200
2016-02-01,0.41,0.43,0.41,0.41,0.41,912900
2016-02-02,0.4,0.4,0.4,0.4,0.4,243000
2016-02-09,0.37,0.37,0.36,0.36,0.36,240000
2016-02-19,0.28,0.28,0.28,0.28,0.28,15000
2016-02-25,0.24,0.24,0.24,0.24,0.24,217200
2016-02-26,0.25,0.25,0.24,0.24,0.24,244000
