Date,Open,High,Low,Close,Adj Close,Volume
2016-03-23,17.39,17.39,17.39,17.39,17.39,300
2016-04-28,20,20,20,20,20,4
2016-05-03,20.88,20.88,20.88,20.88,20.88,600
2016-05-04,20.53,20.53,20.53,20.53,20.53,100
2016-05-16,20.79,20.79,20.79,20.79,20.79,100
2016-05-17,20.9,20.9,20.9,20.9,20.9,160
2016-05-26,20.43,20.43,20.31,20.31,20.31,4
2016-05-27,19.91,20.01,19.71,19.71,19.71,8
2016-05-30,20.31,20.31,20.31,20.31,20.31,101
2016-05-31,20.81,20.81,20.61,20.61,20.61,2
2016-06-02,21.21,21.21,21.21,21.21,21.21,262
2016-06-03,21.64,21.64,21.64,21.64,21.64,200
2016-06-06,22.01,22.01,21.81,21.81,21.81,305
2016-06-07,22.06,22.06,22.06,22.06,22.06,100
2016-06-08,21.61,21.61,21.61,21.61,21.61,201
2016-06-09,21.3,21.3,21.3,21.3,21.3,1
2016-06-10,21.7,21.7,21.7,21.7,21.7,301
2016-06-13,21.69,21.69,21.69,21.69,21.69,100
2016-06-16,22,22,21.9,21.9,21.9,702
2016-06-17,21.5,21.5,21.4,21.4,21.4,152
2016-06-20,22.41,22.41,22.41,22.41,22.41,250
2016-06-21,23.22,23.22,23.22,23.22,23.22,200
2016-06-23,22.1,22.1,22.1,22.1,22.1,1
2016-06-24,22.35,22.35,22.35,22.35,22.35,100
2016-06-27,22.31,22.91,22.31,22.91,22.91,102
2016-06-28,23.28,23.28,23.28,23.28,23.28,100
2016-06-29,22.43,22.43,22.43,22.43,22.43,6
2016-06-30,23.81,23.81,23.8,23.8,23.8,7
2016-07-04,23.91,23.91,23.91,23.91,23.91,1
2016-07-07,23.6,23.7,23.6,23.7,23.7,12
2016-07-08,24.02,24.02,24.02,24.02,24.02,200
2016-07-12,24.7,25.13,24.7,25.13,25.13,13
2016-07-13,24.21,24.95,24.21,24.95,24.95,502
2016-07-14,24.86,24.86,24.86,24.86,24.86,245
2016-07-15,24.31,24.31,24.3,24.3,24.3,254
2016-07-20,25.52,25.52,25.52,25.52,25.52,300
2016-07-21,24.2,24.2,24.2,24.2,24.2,100
2016-07-22,24.38,24.38,24.38,24.38,24.38,100
2016-07-25,24.77,24.77,24.77,24.77,24.77,400
2016-07-26,24.94,24.94,24.94,24.94,24.94,100
2016-07-28,24.74,24.74,24.74,24.74,24.74,100
2016-07-29,24.95,24.95,24.95,24.95,24.95,300
2016-08-01,24.81,24.81,24.81,24.81,24.81,300
2016-08-02,25,25,25,25,25,200
2016-08-03,25.16,25.16,25.16,25.16,25.16,100
2016-08-04,24.7,24.7,24.7,24.7,24.7,300
2016-08-05,24.8,24.8,24.8,24.8,24.8,200
2016-08-08,24.97,24.97,24.97,24.97,24.97,300
2016-08-09,24.75,24.75,24.75,24.75,24.75,200
2016-08-10,24.92,24.92,24.92,24.92,24.92,600
2016-08-15,24.99,24.99,24.99,24.99,24.99,100
2016-08-17,24.08,24.08,24.08,24.08,24.08,300
2016-08-18,24.47,24.47,24.47,24.47,24.47,100
2016-08-23,24.27,24.27,24.27,24.27,24.27,7
2016-08-31,24.17,24.17,24.17,24.17,24.17,10
2016-09-01,24.4,24.4,24.3,24.3,24.3,117
2016-09-07,24.17,24.17,24.17,24.17,24.17,101
2016-09-08,22.8,22.8,22.8,22.8,22.8,202
2016-09-12,21.4,21.4,21.4,21.4,21.4,1
2016-09-13,22.01,22.01,22.01,22.01,22.01,200
2016-09-14,22.1,22.1,22.1,22.1,22.1,101
2016-09-15,22.2,22.2,22.2,22.2,22.2,100
2016-09-26,22.56,22.56,22.56,22.56,22.56,300
2016-09-27,23.2,23.2,23.2,23.2,23.2,4
