Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,24.3,24.3,24.3,24.3,24.3,5
2018-01-22,24.19,24.21,24.19,24.21,24.21,5
2018-01-24,24.18,24.18,24.18,24.18,24.18,1
2018-01-26,24.12,24.12,24,24,24,103
2018-01-30,23.79,23.79,23.79,23.79,23.79,1
2018-02-06,23.17,23.17,23.17,23.17,23.17,1
2018-02-07,23.45,23.45,23.45,23.45,23.45,100
2018-02-13,23.11,23.11,23.11,23.11,23.11,2
2018-03-27,22.3,22.3,22.3,22.3,22.3,1000
2018-03-30,22.12,22.12,22.12,22.12,22.12,11
2018-05-24,24.17,24.17,24.17,24.17,24.17,401
2018-06-19,24.16,24.16,24.16,24.16,24.16,1
2018-06-20,24,24,24,24,24,300
2018-06-29,23.47,23.47,23.47,23.47,23.47,200
2018-07-03,24.45,24.45,24.45,24.45,24.45,200
2018-07-04,24.85,24.85,24.85,24.85,24.85,200
2018-07-10,25.42,25.42,25.42,25.42,25.42,3
2018-07-18,23.76,23.76,23.76,23.76,23.76,500
2018-07-23,24.01,24.01,24.01,24.01,24.01,2
2018-07-24,23.14,23.14,23.14,23.14,23.14,700
2018-07-25,23.3,23.3,23.3,23.3,23.3,600
2018-07-26,23.58,23.58,23.58,23.58,23.58,200
2018-07-31,24.23,24.23,24.23,24.23,24.23,100
2018-08-01,23.8,23.8,23.8,23.8,23.8,300
2018-08-02,23.84,23.84,23.84,23.84,23.84,100
2018-08-03,23.69,23.69,23.69,23.69,23.69,9
2018-08-08,23.61,23.71,23.61,23.71,23.71,106
2018-08-09,23.91,23.91,23.91,23.91,23.91,1
2018-08-14,23.71,23.71,23.71,23.71,23.71,1
2018-08-16,23.6,23.6,23.6,23.6,23.6,301
2018-08-21,23.98,23.98,23.98,23.98,23.98,300
2018-08-27,24.2,24.2,24.2,24.2,24.2,200
2018-08-28,24,24,24,24,24,101
2018-08-30,24.3,24.3,24.3,24.3,24.3,5
2018-08-31,24.15,24.15,24.15,24.15,24.15,1
2018-09-05,23.98,23.98,23.98,23.98,23.98,2
2018-09-06,23.99,23.99,23.98,23.98,23.98,4
2018-09-10,24.17,24.17,24.17,24.17,24.17,200
2018-09-11,24,24,24,24,24,109
2018-09-14,24.48,24.68,24.48,24.68,24.68,507
2018-09-18,24.89,24.89,24.59,24.59,24.59,103
2018-09-19,24.89,24.89,24.89,24.89,24.89,105
2018-09-20,24.79,24.79,24.79,24.79,24.79,103
2018-09-21,24.81,24.81,24.81,24.81,24.81,251
2018-09-24,24.45,24.45,24.21,24.21,24.21,207
2018-09-25,24.59,24.59,24.19,24.19,24.19,4
2018-09-26,24.59,24.59,24.19,24.19,24.19,4
2018-09-27,24.29,24.29,24.29,24.29,24.29,550
2018-09-28,24.12,24.12,24.12,24.12,24.12,1268
2018-10-01,24.19,24.2,24.19,24.2,24.2,12
2018-10-02,24,24,24,24,24,9
2018-10-03,23.9,23.9,23.9,23.9,23.9,10
2018-10-04,23.87,23.87,23,23.6,23.6,233
2018-10-08,23.6,23.6,23.6,23.6,23.6,101
2018-10-09,23.59,23.59,22.94,23.01,23.01,192
2018-10-10,23.48,23.5,23.21,23.5,23.5,95
2018-10-11,23.25,23.25,23,23,23,108
2018-10-12,23.44,23.44,23.44,23.44,23.44,200
2018-10-16,22.9,22.9,22.9,22.9,22.9,4
2018-10-17,22.9,22.9,22.8,22.8,22.8,25
2018-10-18,22.9,22.9,22.59,22.59,22.59,7
2018-10-19,22.2,22.5,22.07,22.5,22.5,63
2018-10-22,22.35,22.35,22.21,22.21,22.21,5
2018-10-24,21.85,21.87,21.8,21.8,21.8,719
2018-10-25,21.49,22.15,21.49,22.05,22.05,150
2018-10-26,22.29,22.29,22.29,22.29,22.29,400
2018-10-29,22,22,22,22,22,2
2018-10-31,22,22,22,22,22,301
2018-11-01,22.28,22.28,22.28,22.28,22.28,116
2018-11-02,22.5,22.5,22.4,22.5,22.5,321
2018-11-05,22.25,22.35,22.25,22.35,22.35,304
2018-11-06,22.15,22.15,21.8,22,22,131
2018-11-07,21.87,21.87,21.87,21.87,21.87,109
2018-11-08,22.15,22.15,21.98,21.98,21.98,105
2018-11-09,21.85,21.85,21.85,21.85,21.85,1
2018-11-12,21.6,21.6,21.58,21.59,21.59,6
2018-11-13,21.55,21.55,21.45,21.45,21.45,10
2018-11-14,21.27,21.27,20.72,20.72,20.72,118
2018-11-15,20.36,20.36,19.9,20.14,20.14,40
2018-11-16,19.95,20.05,19.9,19.9,19.9,114
2018-11-19,19.95,19.95,19.95,19.95,19.95,202
2018-11-20,19.76,19.76,19.26,19.3,19.3,17
2018-11-21,19.04,19.95,19.04,19.95,19.95,421
2018-11-22,20,20,19.74,19.74,19.74,9
2018-11-23,19.7,19.74,19.7,19.74,19.74,10
2018-11-27,20.15,20.15,20.15,20.15,20.15,100
2018-11-28,20.14,20.14,20.14,20.14,20.14,503
2018-11-29,20.14,20.14,20.14,20.14,20.14,503
2018-11-30,20.3,20.3,20.3,20.3,20.3,1
2018-12-03,20.54,20.54,20.14,20.14,20.14,117
2018-12-04,20.54,20.54,20.14,20.14,20.14,117
2018-12-06,20.03,20.03,20.03,20.03,20.03,1
2018-12-07,20.1,20.1,20.1,20.1,20.1,2
2018-12-11,19.7,19.7,19.6,19.6,19.6,4
2018-12-12,18.85,18.85,18.73,18.73,18.73,448
2018-12-13,18.44,18.44,17.85,17.85,17.85,1146
2018-12-14,18.3,19,18.3,19,19,250
2018-12-17,18.92,18.92,18.91,18.91,18.91,2
2018-12-18,18.82,19.1,18.82,19.1,19.1,106
2018-12-20,18.86,18.86,18.86,18.86,18.86,1
2018-12-21,18.65,18.65,18.6,18.6,18.6,24
2018-12-24,18.32,18.32,18.32,18.32,18.32,11
2018-12-25,17.8,17.8,17.6,17.8,17.8,410
2018-12-26,17.81,17.81,17.5,17.5,17.5,227
2018-12-27,17.96,18,17.96,18,18,2052
