Date,Open,High,Low,Close,Adj Close,Volume
2017-01-24,0.35,0.35,0.35,0.35,0.35,100
2017-01-25,0.33,0.33,0.31,0.31,0.31,10100
2017-01-26,0.29,0.29,0.29,0.29,0.29,100
2017-01-27,0.3,0.3,0.29,0.29,0.29,13900
2017-02-16,0.33,0.34,0.31,0.31,0.31,430100
2017-02-20,0.31,0.34,0.31,0.34,0.34,1210000
2017-02-21,0.34,0.34,0.32,0.32,0.32,20100
2017-02-23,0.31,0.31,0.31,0.31,0.31,496300
2017-02-24,0.31,0.33,0.31,0.33,0.33,516300
2017-03-08,0.29,0.29,0.29,0.29,0.29,499800
2017-03-10,0.29,0.29,0.29,0.29,0.29,499800
2017-03-13,0.28,0.28,0.28,0.28,0.28,503300
2017-03-14,0.29,0.29,0.29,0.29,0.29,1200100
2017-03-15,0.29,0.29,0.29,0.29,0.29,1703400
2017-03-24,0.26,0.26,0.26,0.26,0.26,225100
2017-03-28,0.26,0.26,0.26,0.26,0.26,225100
2017-04-05,0.32,0.32,0.29,0.29,0.29,40000
2017-04-10,0.3,0.3,0.3,0.3,0.3,302000
2017-04-17,0.29,0.29,0.29,0.29,0.29,370000
2017-04-24,0.24,0.24,0.24,0.24,0.24,150000
2017-04-25,0.22,0.22,0.22,0.22,0.22,150000
2017-05-05,0.27,0.27,0.27,0.27,0.27,50000
2017-05-08,0.28,0.28,0.28,0.28,0.28,50000
2017-05-15,0.24,0.24,0.24,0.24,0.24,7000
2017-05-16,0.25,0.25,0.25,0.25,0.25,7000
2017-05-23,0.31,0.31,0.31,0.31,0.31,10000
2017-05-24,0.25,0.25,0.24,0.24,0.24,200
2017-05-25,0.25,0.25,0.25,0.25,0.25,10000
2017-06-02,0.31,0.31,0.29,0.29,0.29,2010000
2017-06-05,0.28,0.28,0.28,0.28,0.28,1200000
2017-06-06,0.31,0.31,0.31,0.31,0.31,100000
2017-06-12,0.31,0.31,0.31,0.31,0.31,100000
2017-06-13,0.33,0.33,0.33,0.33,0.33,50000
2017-06-14,0.34,0.34,0.34,0.34,0.34,50000
2017-07-12,0.2,0.2,0.2,0.2,0.2,100000
2017-07-13,0.21,0.21,0.21,0.21,0.21,100000
2017-07-20,0.26,0.26,0.26,0.26,0.26,200
2017-07-21,0.28,0.32,0.27,0.32,0.32,116100
2017-07-24,0.27,0.27,0.26,0.27,0.27,129000
2017-07-25,0.31,0.31,0.3,0.3,0.3,71500
2017-07-27,0.29,0.29,0.28,0.28,0.28,7000
2017-07-31,0.26,0.26,0.22,0.22,0.22,13000
2017-08-01,0.3,0.32,0.3,0.32,0.32,84500
2017-08-02,0.32,0.34,0.32,0.34,0.34,60000
2017-08-03,0.42,0.42,0.38,0.38,0.38,9000
2017-08-04,0.37,0.39,0.36,0.36,0.36,42500
2017-08-07,0.34,0.36,0.31,0.32,0.32,34100
2017-08-08,0.32,0.32,0.27,0.32,0.32,29500
2017-08-09,0.31,0.31,0.28,0.28,0.28,18500
2017-08-10,0.22,0.28,0.19,0.23,0.23,1697600
2017-08-11,0.21,0.24,0.21,0.24,0.24,1689600
2017-08-15,0.17,0.21,0.17,0.21,0.21,1963400
2017-08-16,0.24,0.24,0.24,0.24,0.24,15000
2017-08-17,0.21,0.24,0.2,0.24,0.24,99700
2017-08-18,0.24,0.27,0.24,0.27,0.27,18200
2017-08-21,0.24,0.3,0.21,0.28,0.28,79600
2017-08-22,0.25,0.27,0.23,0.25,0.25,63500
2017-08-23,0.27,0.29,0.27,0.29,0.29,36000
