Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,15.3,15.5,15,15,15,62
2012-06-19,15.1,15.1,15.1,15.1,15.1,2
2012-06-20,15.1,15.1,15.1,15.1,15.1,27
2012-06-22,14.4,14.4,14.4,14.4,14.4,9
2012-06-25,14.41,14.41,14.4,14.4,14.4,16
2012-06-26,14.01,14.01,14,14,14,13
2012-06-27,14.1,14.1,14.1,14.1,14.1,1
2012-06-28,14.1,14.1,14.1,14.1,14.1,10
2012-06-29,14.25,14.3,14.25,14.25,14.25,15
2012-07-02,14.4,14.4,14.3,14.3,14.3,3
2012-07-03,14.6,14.7,14.6,14.6,14.6,20
2012-07-04,14.9,14.9,14.7,14.8,14.8,26
2012-07-05,14.7,14.7,14.7,14.7,14.7,5
2012-07-09,14.5,14.5,14.5,14.5,14.5,3
2012-07-10,14.4,14.55,14.4,14.55,14.55,3
2012-07-13,14.5,14.55,14.5,14.55,14.55,3
2012-07-16,14.9,14.9,14.9,14.9,14.9,3
2012-07-17,15.3,15.3,15,15,15,9
2012-07-18,15.2,15.5,15.2,15.3,15.3,14
2012-07-19,15.1,15.1,15.1,15.1,15.1,3
2012-07-23,14.6,14.6,14.3,14.4,14.4,21
2012-07-24,14.4,14.4,14.4,14.4,14.4,10
2012-07-25,14.4,14.4,14.4,14.4,14.4,1
2012-07-26,14.3,14.3,14.3,14.3,14.3,5
2012-07-27,14.4,14.4,14.4,14.4,14.4,2
2012-07-31,14.3,14.35,14.3,14.35,14.35,8
2012-08-01,14.6,14.9,14.4,14.4,14.4,7
2012-08-03,14.3,14.3,14.3,14.3,14.3,3
2012-08-06,14.5,14.5,14.35,14.44,14.44,46
2012-08-07,14.7,14.75,14.69,14.72,14.72,30
2012-08-08,14.8,14.9,14.6,14.6,14.6,40
2012-08-09,14.6,14.68,14.58,14.58,14.58,43
2012-08-14,14.35,14.35,14.35,14.35,14.35,14
2012-08-15,14.36,14.36,14.3,14.3,14.3,2
2012-08-16,14.35,14.4,14.35,14.4,14.4,3
2012-08-17,14.5,14.65,14.5,14.6,14.6,18
2012-08-20,14.7,14.8,14.7,14.8,14.8,19
2012-08-21,14.8,14.89,14.8,14.89,14.89,13
2012-08-22,14.8,14.8,14.7,14.7,14.7,14
2012-08-23,14.7,14.7,14.7,14.7,14.7,2
2012-08-27,14.78,14.78,14.78,14.78,14.78,7
2012-08-28,14.78,14.78,14.78,14.78,14.78,2
2012-08-29,14.55,14.78,14.43,14.43,14.43,13
2012-08-30,14.37,14.37,14.37,14.37,14.37,18
2012-08-31,14.37,14.37,14.37,14.37,14.37,3
2012-09-04,14.4,14.4,14.4,14.4,14.4,2
2012-09-05,14.5,14.55,14.5,14.5,14.5,11
2012-09-06,14.6,14.7,14.6,14.7,14.7,6
2012-09-07,14.85,14.88,14.8,14.8,14.8,13
2012-09-10,14.85,14.85,14.85,14.85,14.85,1
2012-09-11,15.09,15.09,15.09,15.09,15.09,1
2012-09-13,15.15,15.4,15.15,15.2,15.2,78
2012-09-14,15.6,16.5,15.6,16.5,16.5,141
2012-09-17,16.55,16.8,16.4,16.65,16.65,77
2012-09-18,16.5,16.5,16.1,16.2,16.2,62
2012-09-19,16.3,16.3,16.1,16.2,16.2,114
2012-09-20,16,16,15.6,15.7,15.7,21
2012-09-21,16,16,15.9,15.9,15.9,18
2012-09-24,15.7,15.7,15.7,15.7,15.7,1
2012-09-26,15.5,15.5,15.3,15.3,15.3,30
2012-09-27,15.3,15.3,15.3,15.3,15.3,101
