Date,Open,High,Low,Close,Adj Close,Volume
2016-06-17,1.05,1.06,1.04,1.05,1.05,677400
2016-06-20,1.04,1.05,1.04,1.05,1.05,1138600
2016-06-21,1.04,1.04,1.02,1.02,1.02,1311500
2016-06-22,1.02,1.04,1.02,1.04,1.04,859000
2016-06-23,1.03,1.05,1.03,1.05,1.05,1485700
2016-06-24,1.06,1.08,1.05,1.05,1.05,1714000
2016-06-27,1.03,1.05,1.03,1.04,1.04,2148200
2016-06-28,1.03,1.04,1.01,1.01,1.01,1047300
2016-06-29,0.93,0.93,0.9,0.91,0.91,5271100
2016-06-30,0.89,0.92,0.89,0.9,0.9,4052100
2016-07-04,0.9,0.92,0.9,0.91,0.91,2601100
2016-07-05,0.9,0.93,0.9,0.93,0.93,2157800
2016-07-06,0.91,0.94,0.91,0.94,0.94,2269400
2016-07-07,0.92,0.95,0.92,0.95,0.95,1026000
2016-07-08,0.92,0.93,0.92,0.93,0.93,392400
2016-07-11,0.93,0.95,0.93,0.94,0.94,2292000
2016-07-12,0.92,0.93,0.9,0.9,0.9,2527300
2016-07-13,0.88,0.88,0.8,0.8,0.8,5495100
2016-07-14,0.79,0.79,0.77,0.78,0.78,1423300
2016-07-15,0.78,0.8,0.78,0.78,0.78,2397900
2016-07-20,0.78,0.78,0.77,0.78,0.78,472000
2016-07-21,0.76,0.8,0.76,0.8,0.8,2916500
2016-07-22,0.8,0.8,0.78,0.78,0.78,903400
2016-07-25,0.76,0.78,0.76,0.78,0.78,181300
2016-07-26,0.75,0.79,0.75,0.79,0.79,1294000
2016-07-27,0.75,0.77,0.75,0.75,0.75,1554200
2016-07-28,0.74,0.76,0.72,0.72,0.72,2419500
2016-07-29,0.73,0.74,0.7,0.7,0.7,653400
2016-08-01,0.68,0.75,0.67,0.75,0.75,2658600
2016-08-02,0.74,0.74,0.71,0.73,0.73,1656100
2016-08-03,0.75,0.75,0.74,0.75,0.75,50000
2016-08-04,0.73,0.74,0.73,0.74,0.74,109000
2016-08-05,0.73,0.74,0.7,0.7,0.7,459000
2016-08-08,0.65,0.67,0.64,0.64,0.64,6675900
2016-08-09,0.65,0.66,0.64,0.66,0.66,3453400
2016-08-10,0.64,0.67,0.64,0.66,0.66,3260400
2016-08-11,0.66,0.67,0.66,0.67,0.67,362400
2016-08-15,0.66,0.67,0.64,0.64,0.64,1385000
2016-08-16,0.65,0.74,0.65,0.73,0.73,3598400
2016-08-17,0.73,0.8,0.73,0.77,0.77,4254900
2016-08-18,0.78,0.79,0.72,0.73,0.73,2250500
2016-08-19,0.72,0.76,0.72,0.75,0.75,3436800
2016-08-22,0.74,0.74,0.72,0.74,0.74,1451300
2016-08-23,0.73,0.73,0.72,0.72,0.72,747400
2016-08-24,0.69,0.7,0.65,0.69,0.69,2934900
2016-08-25,0.69,0.7,0.69,0.7,0.7,60000
2016-08-26,0.7,0.7,0.7,0.7,0.7,449200
2016-08-29,0.7,0.72,0.7,0.71,0.71,908600
2016-08-30,0.7,0.72,0.7,0.72,0.72,1594900
2016-08-31,0.72,0.72,0.68,0.68,0.68,1214800
2016-09-01,0.69,0.71,0.69,0.7,0.7,2158400
2016-09-02,0.69,0.71,0.68,0.71,0.71,1492200
2016-09-05,0.7,0.76,0.69,0.74,0.74,3757900
2016-09-06,0.75,0.76,0.73,0.75,0.75,2557000
2016-09-07,0.73,0.8,0.71,0.8,0.8,6494400
2016-09-08,0.8,0.95,0.8,0.95,0.95,8256700
2016-09-09,0.92,0.94,0.88,0.88,0.88,5291100
2016-09-12,0.9,0.92,0.89,0.91,0.91,1865500
2016-09-13,0.89,0.89,0.84,0.84,0.84,4236700
2016-09-14,0.87,0.88,0.82,0.84,0.84,1899400
2016-09-15,0.83,0.83,0.79,0.79,0.79,1268600
2016-09-16,0.79,0.79,0.75,0.78,0.78,1361600
2016-09-19,0.74,0.75,0.73,0.74,0.74,1182800
2016-09-20,0.75,0.79,0.75,0.77,0.77,3318000
2016-09-21,0.75,0.75,0.74,0.75,0.75,716000
2016-09-22,0.73,0.74,0.7,0.7,0.7,2069300
2016-09-23,0.7,0.74,0.7,0.74,0.74,2253700
2016-09-26,0.74,0.74,0.72,0.73,0.73,3764900
2016-09-27,0.71,0.73,0.71,0.72,0.72,1477400
2016-09-28,0.72,0.76,0.72,0.74,0.74,2505700
2016-09-29,0.72,0.73,0.72,0.73,0.73,1932500
2016-09-30,0.74,0.75,0.73,0.75,0.75,1603400
2016-10-03,0.73,0.73,0.73,0.73,0.73,616800
2016-10-04,0.72,0.72,0.71,0.71,0.71,2728200
2016-10-05,0.71,0.72,0.69,0.71,0.71,2709300
2016-10-06,0.7,0.7,0.69,0.7,0.7,1317700
2016-10-07,0.7,0.73,0.69,0.72,0.72,2602200
2016-10-10,0.82,0.86,0.78,0.82,0.82,3216000
2016-10-11,0.82,0.93,0.82,0.91,0.91,6249100
2016-10-12,0.93,1.05,0.92,0.92,0.92,7083900
2016-10-13,0.97,0.97,0.89,0.91,0.91,2921200
2016-10-14,0.73,0.73,0.68,0.71,0.71,2950200
2016-10-17,0.71,0.73,0.69,0.73,0.73,1745400
2016-10-18,0.72,0.72,0.67,0.67,0.67,1811000
2016-10-19,0.66,0.66,0.58,0.58,0.58,3075300
2016-10-20,0.56,0.58,0.55,0.56,0.56,1705600
2016-10-21,0.54,0.55,0.54,0.54,0.54,1843900
2016-10-25,0.54,0.54,0.53,0.53,0.53,618300
2016-10-26,0.53,0.54,0.51,0.53,0.53,1043200
2016-10-27,0.52,0.54,0.52,0.52,0.52,1672600
2016-10-28,0.52,0.52,0.52,0.52,0.52,1141300
2016-10-31,0.52,0.52,0.5,0.51,0.51,1515200
2016-11-01,0.46,0.48,0.42,0.42,0.42,3756100
2016-11-02,0.43,0.48,0.43,0.44,0.44,4623200
2016-11-03,0.44,0.44,0.37,0.41,0.41,3848900
2016-11-04,0.4,0.41,0.37,0.39,0.39,4322700
2016-11-07,0.37,0.39,0.36,0.38,0.38,2462500
2016-11-08,0.38,0.38,0.35,0.36,0.36,4217700
2016-11-09,0.38,0.45,0.31,0.33,0.33,6811200
2016-11-10,0.31,0.33,0.29,0.3,0.3,5170100
2016-11-11,0.3,0.36,0.3,0.34,0.34,4096400
2016-11-14,0.35,0.36,0.31,0.34,0.34,1241800
2016-11-15,0.31,0.33,0.29,0.31,0.31,4718100
2016-11-16,0.3,0.3,0.26,0.26,0.26,2557500
2016-11-17,0.25,0.29,0.25,0.28,0.28,8513300
2016-11-18,0.27,0.29,0.26,0.26,0.26,2983200
2016-11-21,0.27,0.32,0.26,0.32,0.32,2810000
2016-11-22,0.31,0.33,0.29,0.33,0.33,3732200
2016-11-23,0.32,0.34,0.3,0.32,0.32,3516300
2016-11-24,0.31,0.38,0.31,0.34,0.34,3474500
2016-11-25,0.33,0.35,0.3,0.31,0.31,6196600
2016-11-28,0.29,0.31,0.29,0.3,0.3,997300
2016-11-29,0.28,0.29,0.21,0.21,0.21,2607700
2016-11-30,0.21,0.22,0.14,0.14,0.14,3618300
2016-12-01,0.13,0.16,0.12,0.14,0.14,4268500
2016-12-02,0.12,0.17,0.12,0.13,0.13,6140800
2016-12-06,0.13,0.17,0.13,0.16,0.16,5040200
2016-12-07,0.13,0.19,0.11,0.14,0.14,9024300
2016-12-08,0.13,0.14,0.13,0.13,0.13,4347400
2016-12-09,0.12,0.14,0.12,0.14,0.14,1135400
2016-12-13,0.11,0.12,0.11,0.11,0.11,1349400
2016-12-14,0.12,0.14,0.11,0.13,0.13,4759400
2016-12-15,0.13,0.13,0.11,0.13,0.13,6959200
2016-12-16,0.09,0.1,0.09,0.1,0.1,554800
2016-12-19,0.08,0.08,0.07,0.07,0.07,908200
2016-12-20,0.05,0.07,0.05,0.06,0.06,626200
2016-12-21,0.05,0.06,0.05,0.05,0.05,318800
2016-12-22,0.04,0.05,0.04,0.05,0.05,162000
2016-12-23,0.06,0.06,0.04,0.04,0.04,634400
