Date,Open,High,Low,Close,Adj Close,Volume
2016-11-09,0.31,0.33,0.27,0.33,0.33,7017000
2016-11-10,0.33,0.34,0.32,0.34,0.34,1973800
2016-11-11,0.32,0.32,0.32,0.32,0.32,202800
2016-11-14,0.3,0.32,0.3,0.3,0.3,4235400
2016-11-15,0.33,0.33,0.31,0.32,0.32,6024400
2016-11-16,0.34,0.34,0.34,0.34,0.34,1463200
2016-11-17,0.33,0.33,0.32,0.33,0.33,537000
2016-11-18,0.33,0.33,0.32,0.33,0.33,2737800
2016-11-21,0.32,0.32,0.29,0.3,0.3,822800
2016-11-22,0.3,0.31,0.29,0.29,0.29,6709500
2016-11-23,0.29,0.3,0.28,0.28,0.28,7144600
2016-11-24,0.28,0.28,0.26,0.27,0.27,2537200
2016-11-25,0.28,0.29,0.28,0.28,0.28,3083600
2016-11-28,0.28,0.28,0.28,0.28,0.28,800000
2016-11-29,0.28,0.33,0.28,0.33,0.33,6205800
2016-11-30,0.31,0.37,0.31,0.36,0.36,7659200
2016-12-01,0.37,0.37,0.35,0.37,0.37,7241000
2016-12-02,0.35,0.35,0.34,0.35,0.35,838200
2016-12-06,0.34,0.34,0.32,0.33,0.33,2201000
2016-12-07,0.36,0.37,0.31,0.33,0.33,8706500
2016-12-08,0.34,0.34,0.33,0.33,0.33,5181200
2016-12-09,0.33,0.33,0.32,0.32,0.32,3832600
2016-12-13,0.33,0.33,0.33,0.33,0.33,222200
2016-12-14,0.31,0.31,0.3,0.3,0.3,3132200
2016-12-15,0.3,0.3,0.3,0.3,0.3,5073200
2016-12-16,0.31,0.32,0.31,0.31,0.31,3245800
2016-12-19,0.32,0.34,0.32,0.33,0.33,4999900
2016-12-20,0.32,0.32,0.32,0.32,0.32,202800
2016-12-21,0.31,0.31,0.31,0.31,0.31,1483400
2016-12-22,0.29,0.29,0.29,0.29,0.29,100000
2016-12-23,0.28,0.3,0.28,0.29,0.29,2028700
2016-12-26,0.3,0.3,0.3,0.3,0.3,100
2016-12-27,0.3,0.31,0.3,0.3,0.3,223200
2016-12-28,0.3,0.3,0.3,0.3,0.3,202800
2016-12-29,0.3,0.31,0.29,0.31,0.31,2311800
2016-12-30,0.31,0.31,0.3,0.31,0.31,1137400
2017-01-04,0.3,0.32,0.3,0.32,0.32,9253600
2017-01-05,0.32,0.32,0.27,0.29,0.29,8668800
2017-01-06,0.29,0.29,0.28,0.28,0.28,1857100
2017-01-10,0.27,0.27,0.26,0.26,0.26,1910000
2017-01-11,0.26,0.27,0.26,0.26,0.26,5743800
2017-01-12,0.25,0.25,0.24,0.24,0.24,6022000
2017-01-13,0.23,0.24,0.23,0.23,0.23,8380100
2017-01-16,0.23,0.23,0.21,0.21,0.21,2038400
2017-01-17,0.21,0.24,0.21,0.21,0.21,5511500
2017-01-18,0.22,0.24,0.22,0.23,0.23,2417100
2017-01-19,0.22,0.22,0.2,0.2,0.2,2909700
2017-01-20,0.2,0.2,0.2,0.2,0.2,725000
2017-01-23,0.21,0.21,0.21,0.21,0.21,5706100
2017-01-24,0.21,0.21,0.19,0.2,0.2,3607600
2017-01-25,0.19,0.19,0.19,0.19,0.19,100000
2017-01-26,0.19,0.19,0.19,0.19,0.19,50000
2017-01-27,0.18,0.18,0.17,0.17,0.17,2329400
2017-01-30,0.18,0.18,0.18,0.18,0.18,7371000
2017-01-31,0.17,0.17,0.17,0.17,0.17,4484300
2017-02-01,0.17,0.18,0.17,0.18,0.18,1716000
2017-02-02,0.18,0.2,0.18,0.2,0.2,1005600
2017-02-03,0.2,0.21,0.2,0.2,0.2,8264600
2017-02-06,0.2,0.2,0.2,0.2,0.2,8000
2017-02-07,0.2,0.2,0.2,0.2,0.2,1145000
2017-02-08,0.19,0.22,0.19,0.22,0.22,7441100
2017-02-09,0.22,0.22,0.2,0.21,0.21,12374600
2017-02-10,0.22,0.24,0.22,0.24,0.24,2076200
2017-02-14,0.23,0.23,0.2,0.2,0.2,4035000
2017-02-15,0.21,0.22,0.21,0.21,0.21,2865400
2017-02-16,0.21,0.22,0.21,0.22,0.22,4519900
2017-02-17,0.21,0.21,0.21,0.21,0.21,2394600
