Date,Open,High,Low,Close,Adj Close,Volume
2016-08-08,0.25,0.25,0.25,0.25,0.25,100
2016-08-09,0.25,0.29,0.25,0.29,0.29,3857300
2016-08-10,0.28,0.28,0.26,0.26,0.26,884700
2016-08-11,0.26,0.27,0.26,0.26,0.26,722600
2016-08-15,0.26,0.28,0.25,0.25,0.25,444000
2016-08-16,0.26,0.26,0.23,0.24,0.24,1056000
2016-08-17,0.23,0.24,0.23,0.23,0.23,755500
2016-08-18,0.24,0.25,0.24,0.24,0.24,1285600
2016-08-19,0.25,0.26,0.24,0.24,0.24,1127300
2016-08-22,0.24,0.24,0.24,0.24,0.24,179300
2016-08-23,0.24,0.24,0.23,0.23,0.23,915000
2016-08-24,0.23,0.24,0.23,0.23,0.23,866300
2016-08-25,0.23,0.23,0.23,0.23,0.23,476700
2016-08-26,0.23,0.23,0.23,0.23,0.23,2000
2016-08-29,0.22,0.23,0.21,0.21,0.21,463200
2016-08-30,0.21,0.21,0.2,0.2,0.2,235300
2016-08-31,0.2,0.21,0.2,0.2,0.2,1207100
2016-09-01,0.21,0.21,0.2,0.2,0.2,1157600
2016-09-02,0.2,0.2,0.19,0.19,0.19,1011400
2016-09-05,0.17,0.17,0.16,0.17,0.17,3894400
2016-09-06,0.17,0.17,0.16,0.16,0.16,117200
2016-09-07,0.16,0.16,0.16,0.16,0.16,100000
2016-09-08,0.16,0.16,0.13,0.13,0.13,1344600
2016-09-09,0.12,0.12,0.11,0.11,0.11,3690200
2016-09-12,0.1,0.1,0.1,0.1,0.1,202200
2016-09-13,0.1,0.11,0.1,0.11,0.11,1701400
2016-09-14,0.11,0.11,0.11,0.11,0.11,131000
2016-09-15,0.11,0.11,0.11,0.11,0.11,554600
2016-09-16,0.12,0.12,0.11,0.11,0.11,20000
2016-09-19,0.12,0.13,0.12,0.12,0.12,789500
2016-09-20,0.12,0.12,0.12,0.12,0.12,500
2016-09-21,0.12,0.12,0.12,0.12,0.12,435800
2016-09-22,0.13,0.13,0.12,0.12,0.12,966800
2016-09-23,0.13,0.13,0.12,0.12,0.12,966700
2016-09-27,0.12,0.12,0.12,0.12,0.12,200000
2016-09-28,0.12,0.12,0.11,0.11,0.11,249800
2016-09-29,0.12,0.12,0.11,0.11,0.11,5400
2016-09-30,0.11,0.11,0.1,0.1,0.1,31600
2016-10-03,0.12,0.12,0.11,0.11,0.11,912200
2016-10-04,0.12,0.14,0.12,0.14,0.14,1462600
2016-10-05,0.13,0.13,0.13,0.13,0.13,1065800
2016-10-06,0.13,0.16,0.13,0.15,0.15,1209200
2016-10-07,0.15,0.16,0.14,0.14,0.14,1413900
2016-10-10,0.11,0.12,0.1,0.11,0.11,6789000
2016-10-11,0.11,0.12,0.1,0.11,0.11,2044400
2016-10-12,0.09,0.11,0.05,0.11,0.11,962300
2016-10-13,0.06,0.07,0.05,0.06,0.06,4870200
2016-10-14,0.07,0.09,0.07,0.09,0.09,436600
2016-10-17,0.09,0.1,0.09,0.1,0.1,706800
2016-10-18,0.1,0.12,0.1,0.12,0.12,858800
2016-10-19,0.12,0.12,0.12,0.12,0.12,82000
2016-10-20,0.12,0.12,0.11,0.11,0.11,972300
2016-10-21,0.12,0.15,0.12,0.15,0.15,781800
2016-10-25,0.15,0.15,0.14,0.14,0.14,881600
2016-10-26,0.13,0.13,0.12,0.12,0.12,75000
2016-10-27,0.12,0.13,0.12,0.12,0.12,1539300
2016-10-28,0.12,0.12,0.12,0.12,0.12,445000
2016-10-31,0.12,0.12,0.11,0.11,0.11,726900
2016-11-01,0.13,0.13,0.12,0.12,0.12,1135900
2016-11-02,0.12,0.12,0.11,0.11,0.11,878200
2016-11-03,0.12,0.16,0.12,0.15,0.15,5726600
2016-11-04,0.15,0.19,0.15,0.18,0.18,4936000
2016-11-07,0.2,0.26,0.2,0.22,0.22,14161600
