Date,Open,High,Low,Close,Adj Close,Volume
2017-08-25,0.34,0.34,0.34,0.34,0.34,608400
2017-08-28,0.34,0.37,0.34,0.37,0.37,2125200
2017-08-29,0.35,0.36,0.35,0.35,0.35,14153600
2017-08-30,0.37,0.41,0.33,0.33,0.33,24677300
2017-08-31,0.34,0.35,0.34,0.34,0.34,6615700
2017-09-01,0.35,0.35,0.34,0.34,0.34,982400
2017-09-04,0.35,0.35,0.34,0.34,0.34,1040400
2017-09-05,0.34,0.37,0.32,0.32,0.32,13760600
2017-09-06,0.34,0.34,0.32,0.34,0.34,6308700
2017-09-07,0.34,0.45,0.34,0.43,0.43,5841200
2017-09-08,0.43,0.43,0.41,0.42,0.42,1103800
2017-09-11,0.43,0.45,0.4,0.45,0.45,4136100
2017-09-12,0.47,0.48,0.42,0.42,0.42,7137000
2017-09-13,0.44,0.45,0.41,0.44,0.44,3906400
2017-09-14,0.42,0.43,0.42,0.42,0.42,2167600
2017-09-15,0.43,0.43,0.4,0.41,0.41,1320600
2017-09-18,0.42,0.42,0.39,0.39,0.39,803900
2017-09-19,0.39,0.39,0.3,0.3,0.3,5988800
2017-09-20,0.3,0.31,0.3,0.3,0.3,2312800
2017-09-21,0.31,0.34,0.31,0.32,0.32,3669300
2017-09-22,0.32,0.33,0.31,0.33,0.33,9128900
2017-09-25,0.33,0.35,0.32,0.33,0.33,2333600
2017-09-26,0.33,0.33,0.3,0.3,0.3,2525200
2017-09-27,0.3,0.3,0.29,0.29,0.29,2830000
2017-09-28,0.3,0.3,0.24,0.25,0.25,3905900
2017-09-29,0.25,0.27,0.25,0.27,0.27,2202000
2017-10-02,0.27,0.27,0.26,0.26,0.26,621800
2017-10-03,0.26,0.26,0.26,0.26,0.26,614500
2017-10-04,0.24,0.24,0.24,0.24,0.24,1053200
2017-10-05,0.24,0.27,0.24,0.24,0.24,3484900
2017-10-06,0.26,0.26,0.24,0.24,0.24,2687300
2017-10-09,0.25,0.25,0.23,0.23,0.23,3293600
2017-10-10,0.24,0.24,0.23,0.23,0.23,4255200
2017-10-11,0.24,0.31,0.24,0.31,0.31,5072800
2017-10-12,0.28,0.28,0.27,0.27,0.27,1877200
2017-10-16,0.28,0.3,0.28,0.28,0.28,4913500
2017-10-17,0.28,0.28,0.25,0.25,0.25,9026000
2017-10-18,0.25,0.25,0.23,0.23,0.23,2100600
2017-10-19,0.23,0.23,0.21,0.21,0.21,691000
2017-10-20,0.21,0.22,0.19,0.19,0.19,1761300
2017-10-24,0.19,0.2,0.18,0.2,0.2,1210200
2017-10-25,0.21,0.24,0.21,0.22,0.22,4877100
2017-10-27,0.21,0.23,0.2,0.2,0.2,3953800
2017-10-30,0.21,0.22,0.21,0.21,0.21,2693200
2017-10-31,0.22,0.23,0.22,0.22,0.22,1934800
2017-11-02,0.21,0.21,0.2,0.2,0.2,202800
2017-11-03,0.19,0.19,0.19,0.19,0.19,90000
2017-11-06,0.18,0.18,0.18,0.18,0.18,302800
2017-11-07,0.21,0.23,0.21,0.22,0.22,1764900
2017-11-08,0.22,0.22,0.2,0.2,0.2,2396200
2017-11-09,0.21,0.21,0.2,0.2,0.2,597800
2017-11-10,0.2,0.21,0.18,0.18,0.18,3365400
2017-11-13,0.19,0.2,0.17,0.18,0.18,2969600
2017-11-14,0.17,0.17,0.15,0.16,0.16,893500
2017-11-15,0.15,0.17,0.15,0.16,0.16,705600
2017-11-16,0.15,0.15,0.14,0.14,0.14,1003700
2017-11-17,0.13,0.14,0.12,0.12,0.12,3131200
2017-11-20,0.12,0.12,0.12,0.12,0.12,4003500
2017-11-21,0.12,0.12,0.09,0.09,0.09,7586300
2017-11-22,0.1,0.1,0.09,0.09,0.09,6490600
2017-11-23,0.09,0.09,0.08,0.08,0.08,1884600
2017-11-24,0.08,0.08,0.07,0.07,0.07,147100
2017-11-27,0.07,0.11,0.07,0.11,0.11,5919900
2017-11-28,0.11,0.12,0.11,0.12,0.12,3278200
2017-11-29,0.13,0.13,0.1,0.1,0.1,1926900
2017-11-30,0.11,0.11,0.08,0.08,0.08,1987400
2017-12-01,0.08,0.08,0.07,0.07,0.07,4229600
2017-12-04,0.07,0.07,0.07,0.07,0.07,800500
2017-12-06,0.07,0.07,0.05,0.05,0.05,1950000
2017-12-07,0.06,0.06,0.05,0.05,0.05,63000
2017-12-08,0.04,0.04,0.04,0.04,0.04,940000
2017-12-12,0.03,0.04,0.03,0.04,0.04,1643700
2017-12-14,0.03,0.04,0.02,0.02,0.02,2450300
2017-12-15,0.02,0.02,0.02,0.02,0.02,8000
2017-12-20,0.01,0.01,0.01,0.01,0.01,176000
2017-12-26,0.02,0.02,0.02,0.02,0.02,350000
2017-12-28,0.02,0.02,0.02,0.02,0.02,3300
2018-01-08,0.02,0.03,0.02,0.02,0.02,73100
2018-01-09,0.02,0.02,0.02,0.02,0.02,200200
2018-01-10,0.02,0.02,0.02,0.02,0.02,25000
2018-01-11,0.02,0.02,0.02,0.02,0.02,5000
2018-01-15,0.02,0.02,0.02,0.02,0.02,458500
2018-01-16,0.03,0.03,0.02,0.02,0.02,3991500
2018-01-18,0.02,0.02,0.02,0.02,0.02,1600
2018-01-19,0.02,0.02,0.02,0.02,0.02,160000
2018-01-25,0.01,0.01,0.01,0.01,0.01,472900
2018-01-26,0.01,0.01,0.01,0.01,0.01,1900000
2018-01-29,0.01,0.01,0.01,0.01,0.01,42500
2018-02-02,0.01,0.01,0.01,0.01,0.01,445000
2018-02-06,0.01,0.01,0.01,0.01,0.01,2350000
2018-02-07,0.01,0.01,0.01,0.01,0.01,120000
