Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,0.17,0.18,0.17,0.17,0.17,5736700
2018-11-02,0.18,0.18,0.16,0.17,0.17,5365900
2018-11-05,0.17,0.17,0.16,0.16,0.16,5640000
2018-11-06,0.16,0.16,0.15,0.15,0.15,1469700
2018-11-07,0.15,0.15,0.14,0.15,0.15,5718000
2018-11-08,0.15,0.15,0.15,0.15,0.15,5717600
2018-11-09,0.15,0.15,0.14,0.14,0.14,1436800
2018-11-12,0.14,0.14,0.12,0.12,0.12,1441300
2018-11-13,0.11,0.11,0.11,0.11,0.11,4700
2018-11-14,0.11,0.11,0.1,0.1,0.1,5203800
2018-11-16,0.08,0.08,0.08,0.08,0.08,2297700
2018-11-22,0.07,0.07,0.06,0.06,0.06,170000
2018-12-04,0.05,0.05,0.05,0.05,0.05,200000
2018-12-06,0.03,0.03,0.03,0.03,0.03,99500
2018-12-07,0.05,0.05,0.05,0.05,0.05,100
2018-12-14,0.05,0.05,0.05,0.05,0.05,100
2018-12-28,0.01,0.02,0.01,0.02,0.02,600
2019-01-02,0.02,0.02,0.02,0.02,0.02,96000
2019-01-07,0.02,0.02,0.02,0.02,0.02,201000
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
