Date,Open,High,Low,Close,Adj Close,Volume
2014-08-19,3.5,3.54,2.92,2.98,2.98,250963100
2014-08-20,2.96,3.1,2.9,2.92,2.92,54923200
2014-08-21,2.96,3.34,2.92,3.26,3.26,137601400
2014-08-22,3.24,3.34,3.12,3.14,3.14,80538800
2014-08-25,3.16,3.4,3.14,3.2,3.2,68388400
2014-08-26,3.26,3.46,3.18,3.24,3.24,131825500
2014-08-27,3.24,3.3,3.16,3.16,3.16,28894600
2014-08-28,3.22,3.26,3.16,3.16,3.16,14751000
2014-08-29,3.14,3.2,3.14,3.14,3.14,7321200
2014-09-01,3.14,3.14,3.04,3.04,3.04,2759900
2014-09-02,3.04,3.04,2.92,3,3,2733400
2014-09-03,3.02,3.04,2.98,2.98,2.98,2463000
2014-09-04,2.98,3.04,2.98,3,3,1746500
2014-09-05,3.02,3.02,2.96,3,3,2009800
2014-09-08,3.02,3.02,2.96,2.98,2.98,2576800
2014-09-09,2.98,3.2,2.98,3.12,3.12,13070200
2014-09-10,3.1,3.16,3.06,3.1,3.1,3834300
2014-09-11,3.08,3.08,3,3.02,3.02,4169700
2014-09-12,3.06,3.06,3,3,3,1148000
2014-09-15,3.04,3.04,2.98,3,3,1734500
2014-09-16,2.98,3.08,2.98,3,3,2265800
2014-09-17,3,3.02,2.92,3.02,3.02,2245500
2014-09-18,3,3.14,3,3.12,3.12,7537000
2014-09-19,3.16,3.26,3.08,3.2,3.2,16346400
2014-09-22,3.2,3.2,3.1,3.18,3.18,4428900
2014-09-23,3.2,3.2,3.12,3.14,3.14,2266600
2014-09-24,3.1,3.16,3.1,3.14,3.14,1318800
2014-09-25,3.08,3.14,3.04,3.1,3.1,3923400
2014-09-26,3.06,3.1,3.06,3.1,3.1,1561100
2014-09-29,3.08,3.12,3.06,3.08,3.08,1232200
2014-09-30,3.06,3.2,3.06,3.08,3.08,2061000
2014-10-01,3.1,3.14,3.08,3.12,3.12,955300
2014-10-02,3.12,3.16,3.08,3.08,3.08,1903000
2014-10-03,3.1,3.2,3.08,3.14,3.14,4511700
2014-10-06,3.18,3.2,3.08,3.1,3.1,3774900
2014-10-07,3.1,3.14,3.08,3.1,3.1,1711200
2014-10-08,3.1,3.24,3.08,3.24,3.24,10670900
2014-10-09,3.24,3.26,3.18,3.26,3.26,6756700
2014-10-10,3.2,3.28,3.16,3.22,3.22,7034300
2014-10-13,3.22,3.26,3.12,3.16,3.16,7045600
2014-10-14,3.2,3.48,3.16,3.22,3.22,108532300
2014-10-15,3.24,3.28,3.16,3.16,3.16,14585300
2014-10-16,3.16,3.2,3.02,3.02,3.02,11625200
2014-10-17,3.08,3.08,2.96,3,3,9428200
2014-10-20,3,3,2.8,2.82,2.82,4377700
2014-10-21,2.8,2.8,2.72,2.74,2.74,2120500
2014-10-22,2.74,2.78,2.72,2.78,2.78,1256200
2014-10-24,2.78,2.82,2.74,2.8,2.8,1631700
2014-10-27,2.82,2.86,2.8,2.84,2.84,1315900
2014-10-28,2.88,2.96,2.86,2.92,2.92,2047200
2014-10-29,2.94,3.02,2.94,3,3,2147900
2014-10-30,3,3.02,2.96,2.98,2.98,1043300
2014-10-31,2.96,2.98,2.92,2.94,2.94,1360200
2014-11-03,2.94,2.94,2.86,2.94,2.94,1749400
2014-11-04,2.86,2.92,2.84,2.86,2.86,586100
2014-11-05,2.86,2.94,2.86,2.9,2.9,1395300
2014-11-06,2.88,2.9,2.86,2.88,2.88,780900
2014-11-07,2.88,2.9,2.84,2.84,2.84,684600
2014-11-10,2.86,2.96,2.86,2.92,2.92,1262600
2014-11-11,2.9,2.9,2.8,2.88,2.88,1462200
2014-11-12,2.82,2.88,2.78,2.8,2.8,1136500
2014-11-13,2.8,2.8,2.72,2.76,2.76,719500
2014-11-14,2.72,2.8,2.72,2.78,2.78,313100
2014-11-17,2.78,2.86,2.78,2.78,2.78,1438700
2014-11-18,2.8,2.82,2.74,2.78,2.78,1059100
2014-11-19,2.82,2.84,2.74,2.76,2.76,200900
2014-11-20,2.76,2.88,2.76,2.82,2.82,1649700
2014-11-21,2.84,2.84,2.76,2.82,2.82,599800
2014-11-24,2.84,2.98,2.82,2.92,2.92,4037800
2014-11-25,2.92,2.92,2.88,2.9,2.9,1087900
2014-11-26,2.92,2.92,2.82,2.86,2.86,811000
2014-11-27,2.86,2.94,2.82,2.9,2.9,1059900
2014-11-28,2.9,3,2.84,2.9,2.9,2362000
2014-12-01,2.9,2.92,2.88,2.9,2.9,1337800
2014-12-02,2.9,3.1,2.9,2.96,2.96,11090200
2014-12-03,3,3.2,2.98,3.04,3.04,41674000
2014-12-04,3.06,3.18,2.98,2.98,2.98,24384200
2014-12-08,3.04,3.04,2.84,2.84,2.84,5495800
2014-12-09,2.88,3.02,2.84,2.84,2.84,7587700
2014-12-11,2.84,2.86,2.72,2.74,2.74,3249300
2014-12-12,2.76,2.8,2.7,2.7,2.7,1797400
2014-12-15,2.7,2.7,2.24,2.32,2.32,3007300
2014-12-16,2.36,2.64,2.32,2.54,2.54,2700200
2014-12-17,2.6,2.72,2.58,2.6,2.6,3564000
2014-12-18,2.64,2.7,2.6,2.62,2.62,1392800
2014-12-19,2.74,3,2.66,2.9,2.9,23386100
2014-12-22,2.88,3.12,2.82,3.08,3.08,32055100
2014-12-23,3.06,3.06,2.82,2.84,2.84,10104300
2014-12-24,2.88,2.9,2.7,2.72,2.72,7006200
2014-12-25,2.74,2.84,2.68,2.7,2.7,3712800
2014-12-26,2.68,2.76,2.68,2.72,2.72,893600
2014-12-29,2.7,2.76,2.68,2.68,2.68,797100
2014-12-30,2.7,2.7,2.66,2.68,2.68,587100
2015-01-05,2.72,2.92,2.72,2.86,2.86,10562200
2015-01-06,2.82,2.84,2.78,2.82,2.82,3377600
2015-01-07,2.82,2.88,2.78,2.78,2.78,2611700
2015-01-08,2.82,2.94,2.8,2.82,2.82,9796700
2015-01-09,2.82,2.84,2.78,2.8,2.8,1554000
2015-01-12,2.8,2.84,2.78,2.8,2.8,1321600
2015-01-13,2.8,2.84,2.8,2.8,2.8,782000
2015-01-14,2.84,2.96,2.8,2.82,2.82,11493600
2015-01-15,2.86,2.86,2.82,2.82,2.82,1475800
2015-01-16,2.84,2.86,2.82,2.82,2.82,2414800
2015-01-19,2.82,2.94,2.82,2.92,2.92,4013200
2015-01-20,2.96,2.96,2.86,2.86,2.86,2609400
2015-01-21,2.9,2.9,2.86,2.86,2.86,1309500
2015-01-22,2.86,2.9,2.86,2.9,2.9,1997000
2015-01-23,2.92,2.92,2.78,2.8,2.8,3747300
2015-01-26,2.84,2.88,2.82,2.84,2.84,999400
2015-01-27,2.86,2.86,2.82,2.82,2.82,908000
2015-01-28,2.82,3.02,2.8,2.92,2.92,13969600
2015-01-29,2.94,3.02,2.92,3,3,11948500
2015-01-30,3.08,3.12,2.94,2.94,2.94,13737900
2015-02-02,2.96,3.02,2.9,2.96,2.96,4337100
2015-02-03,2.96,3.08,2.96,3,3,7767800
2015-02-04,3.02,3.06,3.02,3.02,3.02,2867000
2015-02-05,3.06,3.08,3.02,3.02,3.02,4691500
2015-02-06,3.04,3.24,3.02,3.16,3.16,45253400
2015-02-09,3.18,3.58,3.16,3.36,3.36,77637700
2015-02-10,3.4,3.5,3.16,3.22,3.22,30416200
2015-02-11,3.3,3.44,3.24,3.3,3.3,17104500
2015-02-12,3.34,3.42,3.3,3.4,3.4,11369900
2015-02-13,3.52,4.38,3.52,4.14,4.14,103902000
2015-02-16,4.1,5.35,4.02,5.35,5.35,76123700
2015-02-17,5.15,5.5,4.6,5.25,5.25,29360100
2015-02-18,5.45,6.1,5.1,5.95,5.95,34673700
2015-02-19,5.85,5.9,5.4,5.65,5.65,10926800
2015-02-20,5.65,6.4,5.55,6.25,6.25,24511600
2015-02-23,6.25,8,6.25,7.75,7.75,24080500
2015-02-24,7.2,7.55,6.45,7.2,7.2,18575800
2015-02-25,6.95,7.2,6.8,6.9,6.9,4871200
2015-02-26,7.05,7.05,5.7,6.1,6.1,15567800
2015-02-27,6.1,6.45,6,6.1,6.1,3404900
2015-03-02,5.7,6.1,5.4,6.05,6.05,6192700
2015-03-03,6.1,6.65,6.05,6.3,6.3,8225900
2015-03-05,6.2,7,6.2,6.9,6.9,7595900
2015-03-06,7.2,7.6,7.15,7.6,7.6,9280400
2015-03-09,7.6,7.9,7.4,7.9,7.9,5313200
2015-03-10,8.2,8.4,5.55,7.9,7.9,11131600
2015-03-11,7.85,8.3,7.45,8.3,8.3,5563400
2015-03-12,8.45,8.45,8.15,8.2,8.2,1935400
2015-03-13,8.1,8.3,7.5,7.9,7.9,2064700
