Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,0.52,0.52,0.52,0.52,0.52,1146600
2016-11-23,0.52,0.56,0.52,0.55,0.55,9720400
2016-11-24,0.56,0.57,0.55,0.55,0.55,3248600
2016-11-25,0.55,0.58,0.54,0.58,0.58,6650900
2016-11-28,0.59,0.64,0.59,0.63,0.63,12788600
2016-11-29,0.63,0.63,0.61,0.61,0.61,4312400
2016-11-30,0.61,0.62,0.6,0.6,0.6,2166100
2016-12-01,0.6,0.6,0.56,0.56,0.56,7092000
2016-12-02,0.54,0.55,0.54,0.54,0.54,1692600
2016-12-06,0.53,0.59,0.53,0.59,0.59,12356600
2016-12-07,0.56,0.57,0.56,0.56,0.56,3208400
2016-12-08,0.56,0.59,0.56,0.56,0.56,8604600
2016-12-09,0.57,0.57,0.56,0.56,0.56,3583600
2016-12-13,0.54,0.54,0.54,0.54,0.54,1246800
2016-12-14,0.54,0.54,0.54,0.54,0.54,809000
2016-12-15,0.53,0.54,0.53,0.54,0.54,742200
2016-12-16,0.53,0.54,0.53,0.53,0.53,3880800
2016-12-19,0.53,0.53,0.51,0.51,0.51,1802200
2016-12-21,0.49,0.49,0.49,0.49,0.49,50000
2016-12-22,0.48,0.48,0.48,0.48,0.48,222200
2016-12-23,0.46,0.49,0.46,0.47,0.47,3519600
2016-12-26,0.47,0.48,0.47,0.48,0.48,4665400
2016-12-27,0.48,0.5,0.48,0.5,0.5,6270600
2016-12-28,0.51,0.64,0.5,0.62,0.62,44088700
2016-12-29,0.62,0.69,0.62,0.65,0.65,22679900
2016-12-30,0.67,0.68,0.61,0.63,0.63,7030700
2017-01-04,0.63,0.67,0.6,0.65,0.65,11954200
2017-01-05,0.66,0.81,0.64,0.81,0.81,29340900
2017-01-06,0.79,0.93,0.76,0.92,0.92,20957600
2017-01-09,0.93,0.93,0.85,0.89,0.89,10498100
2017-01-10,0.89,0.99,0.89,0.93,0.93,22520500
2017-01-11,0.97,1.17,0.96,1.14,1.14,16424400
2017-01-12,1.19,1.22,1.08,1.1,1.1,2960600
2017-01-13,1.13,1.18,1.08,1.12,1.12,1667200
2017-01-16,1.11,1.2,1.1,1.15,1.15,1318100
2017-01-17,1.17,1.17,1.11,1.11,1.11,1041900
2017-01-18,1.14,1.16,1.08,1.08,1.08,1312800
2017-01-19,1.08,1.08,1.01,1.02,1.02,1968100
2017-01-20,1.08,1.11,1.08,1.1,1.1,2281300
2017-01-23,1.11,1.11,1.08,1.08,1.08,116600
2017-01-24,1.08,1.1,1.06,1.06,1.06,437900
2017-01-25,1.09,1.11,1.09,1.11,1.11,223200
2017-01-26,1.07,1.08,1.05,1.05,1.05,60000
2017-01-27,1.07,1.07,1.05,1.07,1.07,26100
2017-01-30,1.07,1.11,1.07,1.09,1.09,163400
2017-01-31,1.04,1.04,1.04,1.04,1.04,10000
2017-02-01,1.05,1.05,0.99,0.99,0.99,352800
