Date,Open,High,Low,Close,Adj Close,Volume
2012-03-19,0.81,0.85,0.81,0.81,0.81,3349600
2012-03-20,0.81,0.96,0.81,0.96,0.96,18416900
2012-03-21,0.99,1.04,0.98,1.04,1.04,17067200
2012-03-22,1.04,1.08,0.95,0.95,0.95,4444500
2012-03-23,0.96,1.06,0.93,1.03,1.03,14538300
2012-03-26,1.05,1.08,0.97,0.98,0.98,6482000
2012-03-27,1.04,1.08,1.02,1.06,1.06,15623600
2012-03-28,1.04,1.07,1.03,1.06,1.06,6374300
2012-03-29,1.03,1.43,1.03,1.38,1.38,65907400
2012-03-30,1.4,1.44,1.25,1.3,1.3,16440000
2012-04-02,1.31,1.44,1.3,1.33,1.33,17564000
2012-04-03,1.36,1.45,1.33,1.37,1.37,20378100
2012-04-04,1.37,1.38,1.27,1.27,1.27,6934600
2012-04-05,1.25,1.25,1.1,1.12,1.12,7184200
2012-04-10,1.1,1.11,0.91,1.01,1.01,1112900
2012-04-11,0.94,1.25,0.94,1,1,1808100
2012-04-12,1.05,1.19,1.04,1.18,1.18,1372500
2012-04-17,1.2,1.2,1.04,1.12,1.12,1318400
2012-04-18,1.16,1.19,1.12,1.12,1.12,3230900
2012-04-19,1.14,1.24,1.13,1.18,1.18,5875700
2012-04-20,1.16,1.2,1.12,1.12,1.12,3793500
2012-04-23,1.13,1.15,1.08,1.08,1.08,1800700
2012-04-24,1.11,1.14,1.11,1.11,1.11,3710000
2012-04-25,1.12,1.12,1.08,1.08,1.08,1745600
2012-04-26,1.08,1.11,1.05,1.05,1.05,2100800
2012-04-27,1.07,1.07,1.02,1.04,1.04,887800
2012-04-30,1.1,1.17,1.06,1.11,1.11,6730600
2012-05-02,1.13,1.13,1.08,1.09,1.09,2140700
2012-05-03,1.07,1.08,1.04,1.04,1.04,1538000
2012-05-04,1.05,1.07,1.02,1.02,1.02,1466100
2012-05-08,1.02,1.02,0.94,0.95,0.95,887200
2012-05-09,0.95,0.95,0.85,0.85,0.85,1646800
2012-05-10,0.86,0.86,0.75,0.77,0.77,1992200
2012-05-11,0.78,0.78,0.75,0.77,0.77,359800
2012-05-14,0.78,0.78,0.56,0.58,0.58,5863300
2012-05-15,0.6,0.65,0.59,0.65,0.65,6371000
2012-05-16,0.64,0.64,0.55,0.59,0.59,11116900
2012-05-17,0.59,0.61,0.57,0.6,0.6,7503700
2012-05-18,0.55,0.58,0.54,0.56,0.56,11663500
2012-05-21,0.56,0.56,0.53,0.54,0.54,6139800
2012-05-22,0.57,0.58,0.55,0.55,0.55,6730200
2012-05-23,0.54,0.54,0.49,0.49,0.49,8133700
2012-05-24,0.49,0.54,0.49,0.53,0.53,11601800
2012-05-25,0.53,0.58,0.52,0.56,0.56,4877100
2012-05-28,0.57,0.57,0.54,0.55,0.55,2655900
2012-05-29,0.56,0.61,0.56,0.58,0.58,9867600
2012-05-30,0.56,0.57,0.55,0.55,0.55,4385200
2012-05-31,0.53,0.56,0.53,0.55,0.55,4458100
2012-06-01,0.53,0.54,0.49,0.49,0.49,4306600
2012-06-05,0.51,0.51,0.45,0.45,0.45,4730500
2012-06-06,0.46,0.5,0.46,0.49,0.49,4003600
2012-06-07,0.51,0.53,0.48,0.48,0.48,5413900
2012-06-08,0.47,0.5,0.47,0.49,0.49,1601100
2012-06-11,0.53,0.58,0.53,0.56,0.56,8129400
2012-06-12,0.55,0.56,0.52,0.56,0.56,10989000
2012-06-13,0.56,0.6,0.56,0.56,0.56,8012900
2012-06-14,0.57,0.6,0.56,0.56,0.56,3760800
2012-06-15,0.58,0.59,0.57,0.58,0.58,3005500
2012-06-18,0.62,0.65,0.6,0.6,0.6,6252400
2012-06-19,0.6,0.66,0.6,0.64,0.64,15514100
2012-06-20,0.66,0.66,0.62,0.62,0.62,5202900
2012-06-21,0.61,0.62,0.59,0.59,0.59,5474300
2012-06-22,0.58,0.59,0.57,0.59,0.59,4302400
2012-06-25,0.59,0.59,0.56,0.57,0.57,2024900
2012-06-26,0.57,0.57,0.53,0.53,0.53,5136900
2012-06-27,0.56,0.58,0.56,0.57,0.57,5593700
2012-06-28,0.59,0.59,0.54,0.54,0.54,7519500
2012-06-29,0.55,0.63,0.55,0.6,0.6,7309800
2012-07-02,0.62,0.62,0.6,0.61,0.61,7782200
2012-07-03,0.62,0.67,0.62,0.62,0.62,9152500
2012-07-04,0.65,0.67,0.59,0.61,0.61,7213600
2012-07-05,0.6,0.62,0.6,0.61,0.61,4720800
2012-07-06,0.61,0.62,0.59,0.62,0.62,6988300
2012-07-09,0.6,0.6,0.58,0.59,0.59,3229000
2012-07-10,0.59,0.62,0.59,0.62,0.62,2220100
2012-07-11,0.63,0.63,0.62,0.62,0.62,2862900
2012-07-12,0.6,0.63,0.58,0.58,0.58,4893600
2012-07-13,0.58,0.63,0.57,0.61,0.61,8668900
2012-07-16,0.62,0.75,0.62,0.74,0.74,37416500
2012-07-17,0.75,0.77,0.7,0.7,0.7,27133700
2012-07-18,0.71,0.79,0.71,0.78,0.78,39608000
2012-07-19,0.78,0.79,0.7,0.7,0.7,23827200
2012-07-20,0.77,0.79,0.73,0.74,0.74,24299600
2012-07-23,0.67,0.72,0.67,0.69,0.69,17513800
2012-07-24,0.69,0.72,0.68,0.69,0.69,14508800
2012-07-25,0.68,0.75,0.68,0.74,0.74,20789500
2012-07-26,0.76,0.76,0.72,0.73,0.73,6926500
2012-07-27,0.78,0.78,0.71,0.73,0.73,4109700
2012-07-30,0.72,0.76,0.72,0.73,0.73,10771900
2012-07-31,0.75,0.86,0.74,0.82,0.82,28073500
2012-08-01,0.81,0.83,0.79,0.82,0.82,13935300
2012-08-03,0.78,0.8,0.76,0.79,0.79,14035500
2012-08-06,0.83,0.85,0.81,0.84,0.84,6782700
2012-08-07,0.84,0.85,0.81,0.82,0.82,8710300
2012-08-08,0.83,0.89,0.83,0.89,0.89,10205600
2012-08-09,0.88,0.92,0.87,0.88,0.88,15879300
2012-08-10,0.87,0.89,0.84,0.88,0.88,10148900
2012-08-14,0.88,0.97,0.88,0.96,0.96,16651900
2012-08-15,0.96,1.01,0.95,1.01,1.01,6480900
2012-08-16,0.99,1.05,0.99,1.04,1.04,11493400
2012-08-17,1.04,1.04,0.94,0.98,0.98,32570800
2012-08-20,0.97,1.03,0.96,1.02,1.02,9167400
2012-08-21,1.03,1.09,1.03,1.08,1.08,3621900
2012-08-22,1.06,1.11,1.06,1.08,1.08,6310700
2012-08-23,1.08,1.13,1.05,1.06,1.06,11430500
2012-08-24,1.03,1.04,1,1.03,1.03,12002700
2012-08-27,1.03,1.09,1.02,1.09,1.09,11044100
2012-08-28,1.06,1.13,1.06,1.06,1.06,11240700
2012-08-29,1.06,1.07,0.9,0.9,0.9,13011300
2012-08-30,0.84,0.86,0.78,0.82,0.82,27707100
2012-08-31,0.83,0.96,0.82,0.95,0.95,12834000
2012-09-03,0.96,1.05,0.96,1.02,1.02,6414500
