Date,Open,High,Low,Close,Adj Close,Volume
2014-03-20,0.69,0.69,0.68,0.68,0.68,200000
2014-03-21,0.68,0.68,0.68,0.68,0.68,200000
2014-03-26,0.63,0.64,0.63,0.63,0.63,600000
2014-04-04,0.67,0.68,0.67,0.67,0.67,1000200
2014-04-17,0.64,0.64,0.64,0.64,0.64,400
2014-04-21,0.62,0.62,0.61,0.61,0.61,20000
2014-04-22,0.62,0.62,0.62,0.62,0.62,100
2014-04-30,0.63,0.63,0.63,0.63,0.63,100
2014-05-30,0.55,0.56,0.55,0.56,0.56,312000
2014-06-02,0.58,0.63,0.58,0.63,0.63,579200
2014-06-03,0.65,0.65,0.65,0.65,0.65,300000
2014-06-04,0.63,0.63,0.62,0.62,0.62,7000
2014-06-05,0.63,0.63,0.63,0.63,0.63,7000
2014-06-06,0.64,0.64,0.62,0.63,0.63,160000
2014-06-09,0.64,0.64,0.63,0.63,0.63,51300
2014-06-10,0.65,0.65,0.63,0.63,0.63,177100
2014-06-11,0.64,0.65,0.64,0.65,0.65,400
2014-06-12,0.65,0.65,0.65,0.65,0.65,127000
2014-06-16,0.65,0.65,0.65,0.65,0.65,6700
2014-06-20,0.59,0.59,0.58,0.58,0.58,40300
2014-06-24,0.59,0.59,0.59,0.59,0.59,21200
2014-06-25,0.59,0.59,0.59,0.59,0.59,1800
2014-06-26,0.59,0.59,0.58,0.58,0.58,3000
2014-06-27,0.57,0.57,0.57,0.57,0.57,3000
2014-07-02,0.59,0.59,0.59,0.59,0.59,1400
2014-07-03,0.61,0.61,0.61,0.61,0.61,20000
2014-07-04,0.62,0.63,0.62,0.62,0.62,307000
2014-07-07,0.63,0.63,0.63,0.63,0.63,1200
2014-07-15,0.61,0.61,0.6,0.6,0.6,286000
2014-07-28,0.58,0.58,0.58,0.58,0.58,48600
2014-07-29,0.58,0.58,0.58,0.58,0.58,32000
2014-07-30,0.57,0.57,0.57,0.57,0.57,8000
2014-07-31,0.57,0.57,0.57,0.57,0.57,8600
2014-08-05,0.52,0.52,0.52,0.52,0.52,2000
2014-08-13,0.5,0.5,0.5,0.5,0.5,50000
2014-08-20,0.52,0.52,0.52,0.52,0.52,48000
2014-08-26,0.54,0.54,0.53,0.53,0.53,301300
2014-08-27,0.55,0.55,0.55,0.55,0.55,300100
2014-08-29,0.52,0.52,0.52,0.52,0.52,500000
2014-09-01,0.53,0.53,0.53,0.53,0.53,1000
2014-09-03,0.53,0.53,0.53,0.53,0.53,500000
2014-09-05,0.55,0.55,0.55,0.55,0.55,500000
2014-09-08,0.63,0.63,0.63,0.63,0.63,200
2014-09-09,0.63,0.63,0.63,0.63,0.63,530600
2014-09-11,0.63,0.63,0.61,0.61,0.61,600
2014-09-19,0.63,0.65,0.63,0.64,0.64,100000
2014-09-22,0.65,0.67,0.65,0.67,0.67,70000
2014-09-23,0.67,0.67,0.67,0.67,0.67,10000
2014-10-06,0.52,0.52,0.52,0.52,0.52,5200
2014-10-09,0.47,0.47,0.47,0.47,0.47,1000
2014-10-10,0.44,0.44,0.44,0.44,0.44,200
2014-10-28,0.37,0.37,0.37,0.37,0.37,1200
2014-10-31,0.4,0.42,0.4,0.42,0.42,56400
2014-11-03,0.43,0.43,0.42,0.42,0.42,771800
2014-11-07,0.38,0.38,0.38,0.38,0.38,147000
2014-12-22,0.19,0.19,0.19,0.19,0.19,100
2015-01-22,0.25,0.25,0.25,0.25,0.25,100
