Date,Open,High,Low,Close,Adj Close,Volume
2014-01-29,31.5,31.5,31,31,31,5
2014-02-03,32,32,31.5,31.5,31.5,2
2014-02-13,31.7,32.5,31.7,32.5,32.5,8
2014-03-05,33.75,33.75,33.75,33.75,33.75,2
2014-03-12,34.25,34.25,34.25,34.25,34.25,2
2014-03-13,35,35.5,35,35.5,35.5,102
2014-03-17,36.26,36.26,36,36,36,2
2014-03-18,35.51,35.51,35.5,35.5,35.5,2
2014-03-20,36,36,36,36,36,1
2014-03-21,36.25,36.98,36.25,36.98,36.98,400
2014-03-24,35.71,35.71,35.71,35.71,35.71,200
2014-03-28,35.66,35.66,35.66,35.66,35.66,100
2014-04-01,36,36,36,36,36,1
2014-04-02,37,37,35.68,36,36,8
2014-04-09,35.75,35.75,35,35,35,22
2014-04-11,35,35,34.65,34.65,34.65,13
2014-04-25,34.26,34.26,34,34,34,11
2014-04-28,34,34,34,34,34,16
2014-05-06,34.26,34.26,34.26,34.26,34.26,1
2014-05-08,33.25,33.25,33.25,33.25,33.25,2
2014-05-12,32.76,32.76,32.76,32.76,32.76,1
2014-05-14,33.5,33.5,33.5,33.5,33.5,7
2014-05-19,34.03,34.03,34.03,34.03,34.03,13
2014-05-23,33.25,33.3,33.25,33.3,33.3,13
2014-05-29,33.17,33.17,33.17,33.17,33.17,3
2014-05-30,34,34,34,34,34,3
2014-06-02,35,36,35,36,36,27
2014-06-03,35.5,35.5,35.5,35.5,35.5,15
2014-06-09,35.94,35.94,35.94,35.94,35.94,5
2014-06-11,35.75,36.01,35.75,36.01,36.01,28
2014-06-12,36,36,36,36,36,5
2014-06-17,35.75,35.75,35.5,35.5,35.5,6
2014-06-18,35,35,35,35,35,1
