Date,Open,High,Low,Close,Adj Close,Volume
2015-06-04,0.12,0.13,0.1,0.11,0.11,367943000
2015-06-05,0.11,0.12,0.1,0.11,0.11,89682500
2015-06-08,0.11,0.12,0.1,0.11,0.11,38287400
2015-06-09,0.11,0.12,0.1,0.11,0.11,55795200
2015-06-10,0.11,0.14,0.1,0.12,0.12,214247900
2015-06-11,0.12,0.14,0.12,0.14,0.14,102029800
2015-06-12,0.14,0.15,0.13,0.14,0.14,136653900
2015-06-15,0.14,0.17,0.14,0.16,0.16,165163100
2015-06-16,0.16,0.17,0.14,0.15,0.15,130673200
2015-06-17,0.15,0.16,0.14,0.15,0.15,26279300
2015-06-18,0.15,0.16,0.15,0.15,0.15,30309900
2015-06-19,0.15,0.15,0.14,0.14,0.14,26866200
2015-06-22,0.15,0.15,0.14,0.14,0.14,14938100
2015-06-23,0.14,0.15,0.14,0.14,0.14,4165900
2015-06-24,0.15,0.17,0.14,0.16,0.16,95126800
2015-06-25,0.16,0.17,0.15,0.15,0.15,31980900
2015-06-26,0.16,0.16,0.14,0.14,0.14,20120300
2015-06-29,0.14,0.14,0.13,0.14,0.14,36927200
2015-06-30,0.14,0.15,0.13,0.14,0.14,18598100
2015-07-02,0.14,0.14,0.13,0.14,0.14,60445100
2015-07-03,0.14,0.14,0.13,0.13,0.13,22590300
2015-07-06,0.13,0.14,0.12,0.13,0.13,20158100
2015-07-07,0.13,0.15,0.13,0.15,0.15,74967500
2015-07-08,0.14,0.15,0.13,0.14,0.14,14625000
2015-07-09,0.16,0.16,0.14,0.15,0.15,145213900
2015-07-10,0.15,0.17,0.14,0.16,0.16,133749600
2015-07-13,0.16,0.16,0.15,0.15,0.15,22374600
2015-07-14,0.15,0.16,0.14,0.15,0.15,63157700
2015-07-15,0.15,0.16,0.14,0.14,0.14,19894100
2015-07-16,0.15,0.15,0.14,0.14,0.14,8074600
2015-07-17,0.15,0.15,0.14,0.14,0.14,8348200
2015-07-20,0.15,0.15,0.14,0.15,0.15,5526800
2015-07-21,0.14,0.14,0.13,0.14,0.14,24780100
2015-07-22,0.14,0.14,0.13,0.14,0.14,9691500
2015-07-23,0.14,0.14,0.13,0.13,0.13,8891100
2015-07-24,0.13,0.14,0.13,0.13,0.13,27456100
2015-07-27,0.14,0.14,0.13,0.13,0.13,22555400
2015-07-28,0.13,0.14,0.13,0.13,0.13,17651500
2015-07-29,0.13,0.14,0.13,0.14,0.14,12837000
2015-07-31,0.14,0.16,0.14,0.15,0.15,117655500
2015-08-03,0.16,0.16,0.15,0.15,0.15,17156400
2015-08-04,0.15,0.15,0.14,0.15,0.15,17366500
2015-08-05,0.16,0.18,0.15,0.16,0.16,140520000
2015-08-06,0.16,0.16,0.15,0.15,0.15,30305900
2015-08-07,0.15,0.16,0.15,0.15,0.15,15894400
2015-08-10,0.15,0.16,0.14,0.15,0.15,67015000
2015-08-11,0.15,0.15,0.14,0.15,0.15,7637200
2015-08-13,0.15,0.15,0.14,0.15,0.15,10418600
2015-08-14,0.14,0.15,0.14,0.15,0.15,17946500
2015-08-17,0.14,0.15,0.14,0.15,0.15,3208000
2015-08-18,0.14,0.14,0.13,0.14,0.14,49146600
2015-08-19,0.14,0.15,0.13,0.14,0.14,19037000
2015-08-20,0.15,0.15,0.14,0.14,0.14,11881800
2015-08-21,0.15,0.15,0.13,0.13,0.13,9610400
2015-08-24,0.13,0.14,0.12,0.12,0.12,37647600
2015-08-25,0.12,0.12,0.1,0.12,0.12,91502400
2015-08-26,0.12,0.13,0.11,0.12,0.12,32374400
