Date,Open,High,Low,Close,Adj Close,Volume
2013-02-21,4.54,4.55,4.53,4.53,4.53,1811800
2013-02-22,4.54,4.56,4.52,4.56,4.56,296700
2013-02-26,4.55,4.55,4.5,4.5,4.5,1529100
2013-02-27,4.52,4.53,4.48,4.49,4.49,556700
2013-02-28,4.49,4.54,4.48,4.53,4.53,222600
2013-03-01,4.54,4.56,4.54,4.54,4.54,650000
2013-03-04,4.55,4.56,4.53,4.55,4.55,1323400
2013-03-05,4.57,4.59,4.57,4.59,4.59,134700
2013-03-06,4.6,4.61,4.6,4.61,4.61,322600
2013-03-07,4.61,4.61,4.6,4.6,4.6,29600
2013-03-08,4.64,4.64,4.63,4.63,4.63,28500
2013-03-11,4.65,4.66,4.64,4.65,4.65,170500
2013-03-12,4.65,4.67,4.64,4.64,4.64,65000
2013-03-13,4.65,4.67,4.65,4.65,4.65,143500
2013-03-14,4.65,4.67,4.65,4.67,4.67,1808200
2013-03-15,4.68,4.72,4.68,4.72,4.72,101700
2013-03-18,4.72,4.72,4.68,4.7,4.7,818200
2013-03-19,4.71,4.72,4.62,4.63,4.63,1375800
2013-03-20,4.64,4.64,4.57,4.59,4.59,195600
2013-03-21,4.58,4.58,4.53,4.53,4.53,213200
2013-03-22,4.53,4.53,4.37,4.4,4.4,443000
2013-03-25,4.44,4.53,4.44,4.53,4.53,127600
2013-03-26,4.5,4.59,4.5,4.59,4.59,256600
2013-03-27,4.61,4.64,4.61,4.62,4.62,148600
2013-03-28,4.68,4.68,4.56,4.58,4.58,104000
2013-03-29,4.6,4.64,4.6,4.61,4.61,185300
2013-04-01,4.61,4.62,4.61,4.62,4.62,84300
2013-04-02,4.67,4.67,4.57,4.6,4.6,90600
2013-04-03,4.65,4.65,4.54,4.54,4.54,35000
2013-04-04,4.54,4.54,4.43,4.5,4.5,39300
2013-04-05,4.48,4.48,4.43,4.44,4.44,215100
2013-04-09,4.43,4.43,4.38,4.41,4.41,33200
2013-04-10,4.37,4.43,4.36,4.43,4.43,15900
