Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,0.85,0.87,0.85,0.87,0.87,92000
2018-06-27,0.85,0.9,0.85,0.9,0.9,1786900
2018-06-28,0.91,1.01,0.91,1.01,1.01,5077500
2018-06-29,1,1.09,0.99,1.09,1.09,2806400
2018-07-02,1.09,1.14,1.06,1.06,1.06,1935900
2018-07-03,1.04,1.04,0.98,0.99,0.99,1739800
2018-07-04,0.97,1.01,0.95,0.98,0.98,1656100
2018-07-05,0.99,1.07,0.99,1.03,1.03,4091800
2018-07-06,1.05,1.05,1.02,1.02,1.02,1198500
2018-07-09,1.01,1.01,0.94,0.95,0.95,3381900
2018-07-10,0.96,0.98,0.96,0.96,0.96,2313000
2018-07-11,0.97,0.99,0.96,0.97,0.97,1022000
2018-07-12,0.95,0.96,0.93,0.94,0.94,1104200
2018-07-13,0.93,0.95,0.93,0.94,0.94,378200
2018-07-16,0.94,0.97,0.94,0.95,0.95,4056600
2018-07-17,0.95,0.98,0.94,0.96,0.96,3345500
2018-07-18,0.94,0.95,0.94,0.95,0.95,1597200
2018-07-19,0.95,0.96,0.91,0.92,0.92,2712300
2018-07-20,0.91,0.92,0.88,0.89,0.89,3579500
2018-07-23,0.88,0.89,0.83,0.86,0.86,3216700
2018-07-24,0.85,0.86,0.82,0.83,0.83,1175000
2018-07-25,0.81,0.83,0.81,0.82,0.82,695900
2018-07-26,0.82,0.83,0.81,0.82,0.82,4414500
2018-07-31,0.79,0.84,0.77,0.84,0.84,3320800
2018-08-01,0.82,0.82,0.8,0.8,0.8,1614100
2018-08-02,0.82,0.82,0.79,0.81,0.81,1582500
2018-08-03,0.81,0.81,0.79,0.79,0.79,1028800
2018-08-06,0.76,0.76,0.7,0.73,0.73,1765600
2018-08-07,0.74,0.75,0.73,0.75,0.75,569800
2018-08-08,0.73,0.73,0.69,0.7,0.7,2753000
2018-08-09,0.69,0.71,0.67,0.68,0.68,6489700
2018-08-10,0.69,0.72,0.68,0.7,0.7,3654000
2018-08-14,0.75,0.9,0.74,0.9,0.9,5425800
2018-08-15,0.89,0.91,0.88,0.91,0.91,3852000
2018-08-16,0.92,0.94,0.92,0.92,0.92,1153300
2018-08-17,0.93,0.93,0.92,0.92,0.92,540400
2018-08-20,0.92,0.95,0.92,0.94,0.94,633000
2018-08-21,0.96,0.96,0.94,0.94,0.94,1128300
2018-08-22,0.94,0.94,0.9,0.91,0.91,1285700
2018-08-23,0.91,0.92,0.91,0.92,0.92,1101700
2018-08-24,0.91,0.92,0.9,0.91,0.91,1623700
2018-08-27,0.9,0.92,0.89,0.89,0.89,504500
2018-08-28,0.89,0.89,0.87,0.89,0.89,758900
2018-08-29,0.9,0.9,0.89,0.9,0.9,1229400
2018-08-30,0.87,0.88,0.87,0.88,0.88,658000
2018-08-31,0.91,0.91,0.89,0.91,0.91,1983200
2018-09-03,0.89,0.89,0.8,0.82,0.82,2337600
2018-09-04,0.8,0.83,0.8,0.83,0.83,2639900
2018-09-05,0.84,0.87,0.83,0.87,0.87,1694200
2018-09-06,0.88,0.88,0.87,0.87,0.87,3156700
2018-09-07,0.88,0.88,0.86,0.88,0.88,824500
2018-09-10,0.88,0.88,0.86,0.86,0.86,507200
2018-09-11,0.86,0.87,0.84,0.87,0.87,1024500
2018-09-12,0.89,0.9,0.89,0.89,0.89,1061800
2018-09-13,0.87,0.87,0.85,0.85,0.85,886600
2018-09-14,0.85,0.87,0.85,0.85,0.85,777400
2018-09-17,0.86,0.86,0.82,0.82,0.82,1280500
2018-09-18,0.85,0.85,0.83,0.83,0.83,1231900
2018-09-19,0.83,0.83,0.83,0.83,0.83,479900
2018-09-20,0.81,0.84,0.81,0.82,0.82,1199900
2018-09-21,0.62,0.68,0.53,0.63,0.63,37596200
2018-09-24,0.65,0.67,0.61,0.64,0.64,25030300
2018-09-25,0.66,0.66,0.54,0.54,0.54,14958800
2018-09-26,0.53,0.57,0.52,0.56,0.56,11310900
2018-09-27,0.55,0.57,0.55,0.57,0.57,4007600
2018-09-28,0.57,0.59,0.55,0.57,0.57,5600800
2018-10-01,0.55,0.57,0.45,0.48,0.48,14004200
2018-10-02,0.49,0.5,0.46,0.48,0.48,8283000
2018-10-03,0.48,0.5,0.45,0.49,0.49,4974300
2018-10-04,0.51,0.53,0.5,0.51,0.51,8199500
2018-10-05,0.5,0.5,0.47,0.49,0.49,4002500
2018-10-08,0.5,0.56,0.49,0.56,0.56,5894600
2018-10-09,0.54,0.59,0.52,0.57,0.57,4373100
2018-10-10,0.55,0.58,0.54,0.54,0.54,10252800
2018-10-11,0.6,0.61,0.57,0.58,0.58,3255600
2018-10-12,0.57,0.58,0.54,0.55,0.55,2738600
2018-10-16,0.55,0.7,0.55,0.65,0.65,6864400
2018-10-17,0.65,0.71,0.64,0.68,0.68,2919300
2018-10-18,0.68,0.69,0.67,0.69,0.69,1550600
2018-10-19,0.7,0.72,0.69,0.7,0.7,1903200
2018-10-22,0.7,0.76,0.7,0.76,0.76,3090000
2018-10-24,0.8,0.88,0.76,0.84,0.84,3184400
2018-10-25,0.86,0.87,0.78,0.8,0.8,3630300
2018-10-26,0.8,0.83,0.78,0.82,0.82,1201800
2018-10-29,0.83,0.83,0.8,0.81,0.81,1053200
2018-10-30,0.81,0.81,0.81,0.81,0.81,567600
2018-10-31,0.79,0.8,0.79,0.79,0.79,437100
2018-11-01,0.77,0.77,0.69,0.69,0.69,4004500
2018-11-02,0.65,0.71,0.65,0.7,0.7,2254200
2018-11-05,0.71,0.71,0.7,0.71,0.71,1081900
2018-11-06,0.71,0.73,0.69,0.73,0.73,262400
2018-11-07,0.72,0.74,0.69,0.69,0.69,744000
2018-11-08,0.69,0.69,0.65,0.67,0.67,964300
2018-11-09,0.73,0.78,0.7,0.7,0.7,2169200
2018-11-12,0.71,0.76,0.69,0.73,0.73,1765600
2018-11-13,0.74,0.74,0.71,0.72,0.72,1904000
2018-11-14,0.67,0.67,0.62,0.67,0.67,2203100
2018-11-15,0.67,0.69,0.67,0.68,0.68,856700
2018-11-16,0.7,0.71,0.7,0.71,0.71,851800
2018-11-19,0.69,0.71,0.69,0.69,0.69,47200
2018-11-20,0.71,0.74,0.71,0.74,0.74,596200
2018-11-21,0.74,0.74,0.7,0.7,0.7,1178100
2018-11-22,0.68,0.68,0.65,0.66,0.66,1780000
2018-11-23,0.66,0.66,0.64,0.64,0.64,1485800
2018-11-26,0.62,0.62,0.57,0.57,0.57,1892900
2018-11-27,0.57,0.57,0.47,0.5,0.5,5521000
2018-11-28,0.49,0.51,0.49,0.49,0.49,2996300
