Date,Open,High,Low,Close,Adj Close,Volume
2013-04-18,1.07,1.09,1.07,1.09,1.09,900000
2013-04-19,1.05,1.05,0.99,1,1,889600
2013-04-22,0.97,1.01,0.97,1.01,1.01,852900
2013-04-23,0.99,1.01,0.96,1.01,1.01,1920000
2013-04-24,1,1.01,1,1.01,1.01,900000
2013-04-25,0.99,0.99,0.97,0.97,0.97,1168000
2013-04-26,0.96,0.98,0.96,0.98,0.98,380000
2013-04-29,0.99,0.99,0.98,0.98,0.98,800000
2013-05-02,0.98,0.98,0.92,0.92,0.92,347600
2013-05-07,0.94,0.94,0.92,0.92,0.92,803000
2013-05-08,0.9,0.9,0.86,0.86,0.86,671000
2013-05-09,0.85,0.88,0.85,0.88,0.88,56000
2013-05-10,0.83,0.85,0.83,0.83,0.83,747400
2013-05-13,0.83,0.88,0.83,0.85,0.85,4191700
2013-05-14,0.83,0.84,0.82,0.82,0.82,1075100
2013-05-15,0.81,0.83,0.79,0.79,0.79,911000
2013-05-16,0.8,0.82,0.8,0.82,0.82,557000
2013-05-17,0.82,0.83,0.81,0.83,0.83,1267700
2013-05-20,0.82,0.82,0.82,0.82,0.82,16600
2013-05-21,0.79,0.81,0.79,0.8,0.8,78000
2013-05-22,0.81,0.81,0.81,0.81,0.81,50000
2013-05-23,0.85,0.94,0.85,0.87,0.87,1654500
2013-05-27,0.86,0.89,0.86,0.87,0.87,29424800
2013-05-28,0.89,0.89,0.84,0.84,0.84,11648800
2013-05-29,0.8,0.83,0.8,0.82,0.82,1108000
2013-05-30,0.82,0.82,0.8,0.8,0.8,11400500
2013-05-31,0.77,0.77,0.71,0.71,0.71,18896100
2013-06-03,0.69,0.71,0.65,0.7,0.7,6524900
2013-06-04,0.73,0.77,0.72,0.74,0.74,1271500
2013-06-05,0.79,0.81,0.74,0.81,0.81,4066300
2013-06-06,0.85,0.94,0.85,0.89,0.89,4520600
2013-06-07,0.92,0.92,0.83,0.86,0.86,4980400
2013-06-10,0.82,0.83,0.79,0.79,0.79,2983000
2013-06-11,0.8,0.93,0.8,0.91,0.91,10751100
2013-06-12,0.93,0.97,0.88,0.93,0.93,6179100
2013-06-13,1.02,1.09,1,1.03,1.03,12400300
2013-06-14,0.97,0.98,0.96,0.97,0.97,5763100
2013-06-17,1.01,1.02,1,1,1,1946400
2013-06-18,1,1.08,0.98,1.08,1.08,6247500
2013-06-19,1.05,1.15,1.05,1.12,1.12,32581900
2013-06-20,1.18,1.22,1.18,1.22,1.22,1929400
2013-06-21,1.21,1.29,1.21,1.25,1.25,14932300
2013-06-24,1.31,1.31,1.2,1.27,1.27,16052400
2013-06-25,1.26,1.32,1.25,1.28,1.28,15191600
2013-06-26,1.27,1.28,1.22,1.23,1.23,109800
2013-06-27,1.17,1.21,1.14,1.17,1.17,3569600
2013-06-28,1.15,1.21,1.14,1.21,1.21,497000
2013-07-02,1.19,1.22,1.19,1.2,1.2,16967100
2013-07-03,1.21,1.26,1.21,1.24,1.24,14967300
2013-07-04,1.26,1.36,1.26,1.36,1.36,2437500
2013-07-05,1.33,1.44,1.33,1.42,1.42,5866400
2013-07-08,1.45,1.56,1.45,1.55,1.55,758300
2013-07-09,1.54,1.57,1.48,1.51,1.51,1650700
2013-07-10,1.51,1.53,1.49,1.53,1.53,1391600
2013-07-11,1.48,1.49,1.42,1.42,1.42,1093800
2013-07-12,1.38,1.4,1.37,1.39,1.39,1159600
2013-07-15,1.38,1.43,1.37,1.37,1.37,1407700
2013-07-16,1.4,1.43,1.39,1.41,1.41,1225600
2013-07-17,1.39,1.43,1.39,1.43,1.43,620300
2013-07-18,1.42,1.42,1.42,1.42,1.42,10500
2013-07-19,1.42,1.42,1.42,1.42,1.42,5000
2013-07-23,1.4,1.4,1.38,1.39,1.39,192500
2013-07-24,1.35,1.35,1.29,1.34,1.34,254000
2013-07-25,1.31,1.38,1.31,1.38,1.38,611200
2013-07-26,1.37,1.41,1.37,1.4,1.4,605800
2013-07-29,1.36,1.4,1.36,1.4,1.4,213000
2013-07-30,1.37,1.44,1.37,1.44,1.44,217000
2013-07-31,1.45,1.47,1.37,1.38,1.38,2082400
2013-08-01,1.36,1.41,1.36,1.41,1.41,1476500
2013-08-02,1.4,1.46,1.39,1.45,1.45,3248400
2013-08-05,1.43,1.44,1.42,1.42,1.42,306700
2013-08-06,1.45,1.45,1.41,1.44,1.44,1527200
2013-08-07,1.45,1.45,1.45,1.45,1.45,31000
