Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,0.53,0.62,0.53,0.57,0.57,8201000
2017-06-07,0.59,0.63,0.57,0.57,0.57,3238600
2017-06-08,0.58,0.58,0.53,0.54,0.54,3624300
2017-06-09,0.55,0.59,0.55,0.56,0.56,2906900
2017-06-12,0.56,0.65,0.56,0.64,0.64,3926100
2017-06-13,0.63,0.64,0.59,0.59,0.59,2660600
2017-06-14,0.63,0.65,0.61,0.62,0.62,1754000
2017-06-15,0.62,0.66,0.6,0.66,0.66,4044900
2017-06-16,0.67,0.68,0.62,0.62,0.62,2477400
2017-06-19,0.64,0.73,0.64,0.71,0.71,4132600
2017-06-20,0.72,0.74,0.69,0.72,0.72,3034200
2017-06-21,0.71,0.75,0.69,0.71,0.71,3651100
2017-06-22,0.72,0.72,0.7,0.7,0.7,1588200
2017-06-23,0.7,0.71,0.7,0.7,0.7,961200
2017-06-26,0.69,0.69,0.56,0.56,0.56,4884400
2017-06-27,0.56,0.57,0.52,0.52,0.52,2432700
2017-06-28,0.54,0.6,0.54,0.58,0.58,1558200
2017-06-29,0.59,0.6,0.55,0.55,0.55,1140700
2017-06-30,0.53,0.53,0.48,0.48,0.48,2377600
2017-07-03,0.52,0.52,0.49,0.49,0.49,1802500
2017-07-04,0.5,0.5,0.48,0.48,0.48,322800
2017-07-05,0.49,0.49,0.48,0.48,0.48,606800
2017-07-06,0.52,0.55,0.51,0.54,0.54,4343500
2017-07-07,0.52,0.53,0.5,0.53,0.53,568500
2017-07-11,0.52,0.52,0.49,0.49,0.49,781200
2017-07-12,0.51,0.55,0.51,0.51,0.51,2990100
2017-07-13,0.53,0.54,0.51,0.53,0.53,1567200
2017-07-14,0.55,0.56,0.53,0.53,0.53,2866000
2017-07-17,0.55,0.55,0.49,0.49,0.49,4461100
2017-07-18,0.49,0.51,0.49,0.5,0.5,4382400
2017-07-19,0.5,0.5,0.49,0.49,0.49,818800
2017-07-20,0.5,0.51,0.49,0.49,0.49,1907200
2017-07-21,0.46,0.46,0.43,0.43,0.43,3175600
2017-07-24,0.43,0.43,0.4,0.41,0.41,1978800
2017-07-25,0.42,0.43,0.42,0.42,0.42,985100
2017-07-26,0.41,0.41,0.4,0.4,0.4,1102100
2017-07-27,0.41,0.41,0.39,0.39,0.39,1054600
2017-07-31,0.4,0.41,0.37,0.37,0.37,3057600
2017-08-01,0.39,0.4,0.39,0.4,0.4,2819600
2017-08-02,0.41,0.43,0.4,0.4,0.4,3517000
