Date,Open,High,Low,Close,Adj Close,Volume
2013-07-04,0.33,0.33,0.33,0.33,0.33,20000
2013-07-08,0.25,0.25,0.24,0.24,0.24,12700
2013-07-09,0.23,0.25,0.23,0.25,0.25,31500
2013-07-11,0.27,0.27,0.27,0.27,0.27,303000
2013-07-12,0.28,0.28,0.28,0.28,0.28,303000
2013-07-15,0.28,0.28,0.28,0.28,0.28,23500
2013-07-16,0.27,0.27,0.27,0.27,0.27,26000
2013-07-23,0.27,0.27,0.27,0.27,0.27,7000
2013-07-25,0.29,0.29,0.29,0.29,0.29,61800
2013-07-26,0.27,0.27,0.27,0.27,0.27,66400
2013-07-30,0.25,0.25,0.25,0.25,0.25,29000
2013-07-31,0.25,0.25,0.25,0.25,0.25,20000
2013-08-01,0.28,0.28,0.28,0.28,0.28,1000000
2013-08-02,0.25,0.25,0.25,0.25,0.25,70000
2013-08-07,0.25,0.25,0.25,0.25,0.25,1000000
2013-08-13,0.24,0.24,0.24,0.24,0.24,200000
2013-08-14,0.23,0.23,0.23,0.23,0.23,200000
2013-08-15,0.22,0.22,0.22,0.22,0.22,200000
2013-08-16,0.21,0.21,0.21,0.21,0.21,540000
2013-08-20,0.17,0.17,0.17,0.17,0.17,100000
2013-08-21,0.16,0.16,0.16,0.16,0.16,100000
2013-08-22,0.15,0.15,0.15,0.15,0.15,230000
2013-08-28,0.11,0.11,0.11,0.11,0.11,50000
2013-08-29,0.11,0.11,0.11,0.11,0.11,8000
2013-08-30,0.1,0.1,0.1,0.1,0.1,58000
2013-09-02,0.11,0.11,0.11,0.11,0.11,397300
2013-09-05,0.11,0.11,0.11,0.11,0.11,517300
2013-09-09,0.12,0.12,0.12,0.12,0.12,210000
2013-09-10,0.14,0.14,0.14,0.14,0.14,77500
2013-09-11,0.15,0.15,0.15,0.15,0.15,120000
2013-09-12,0.15,0.15,0.14,0.14,0.14,1030000
2013-09-13,0.13,0.13,0.13,0.13,0.13,150000
2013-09-18,0.13,0.13,0.13,0.13,0.13,1201500
2013-09-19,0.15,0.16,0.14,0.16,0.16,2476000
2013-09-20,0.16,0.18,0.16,0.17,0.17,197700
2013-09-23,0.16,0.16,0.16,0.16,0.16,12400
2013-09-24,0.15,0.15,0.13,0.14,0.14,268600
2013-09-25,0.14,0.15,0.14,0.15,0.15,207000
2013-09-26,0.15,0.16,0.15,0.16,0.16,1029300
2013-09-27,0.16,0.16,0.16,0.16,0.16,1649900
2013-10-01,0.16,0.16,0.16,0.16,0.16,24000
2013-10-02,0.16,0.16,0.16,0.16,0.16,500000
2013-10-04,0.16,0.16,0.16,0.16,0.16,500000
2013-10-07,0.17,0.17,0.17,0.17,0.17,30000
2013-10-10,0.19,0.19,0.19,0.19,0.19,30000
2013-10-18,0.18,0.18,0.18,0.18,0.18,500100
2013-10-29,0.15,0.15,0.15,0.15,0.15,400000
2013-10-30,0.14,0.14,0.13,0.13,0.13,462000
2013-10-31,0.13,0.14,0.13,0.14,0.14,388000
2013-11-04,0.13,0.13,0.13,0.13,0.13,520000
2013-11-05,0.13,0.13,0.13,0.13,0.13,400000
2013-11-07,0.13,0.13,0.13,0.13,0.13,3200
2013-11-08,0.11,0.11,0.11,0.11,0.11,50000
2013-11-11,0.1,0.1,0.1,0.1,0.1,500000
