Date,Open,High,Low,Close,Adj Close,Volume
2013-10-29,20.1,20.1,20.1,20.1,20.1,1
2013-10-30,20,20,19.3,19.3,19.3,50
2013-10-31,20.09,20.19,20.05,20.19,20.19,45
2013-11-01,19.8,19.81,19.7,19.8,19.8,22
2013-11-04,19.4,19.4,19.2,19.2,19.2,29
2013-11-05,19.5,19.65,19,19.65,19.65,23
2013-11-08,19.1,19.1,18.7,18.7,18.7,186
2013-11-11,18.5,18.5,17.9,18.3,18.3,291
2013-11-12,18.6,19.09,18.5,19.09,19.09,22
2013-11-14,18.7,18.71,18.5,18.5,18.5,97
2013-11-15,18.2,18.2,17.77,17.77,17.77,15
2013-11-18,18.1,18.1,17.7,17.72,17.72,13
2013-11-19,17.5,17.5,17.1,17.1,17.1,14
2013-11-20,17.45,17.45,17,17.17,17.17,8
2013-11-21,17,17,17,17,17,9
2013-11-22,16.8,16.8,16.3,16.3,16.3,49
2013-11-25,16.3,16.8,16.3,16.7,16.7,77
2013-11-26,16.8,16.8,16.7,16.7,16.7,12
2013-11-27,16.3,16.7,16.3,16.7,16.7,22
2013-11-28,16.75,16.85,16.6,16.7,16.7,71
2013-12-02,16.4,16.4,16.2,16.35,16.35,20
2013-12-03,16.45,16.71,16.45,16.65,16.65,25
2013-12-04,16.75,16.75,16.55,16.62,16.62,68
2013-12-06,16.55,16.55,16.21,16.21,16.21,19
2013-12-09,16.32,16.32,16.32,16.32,16.32,1
2013-12-11,16.18,16.2,16.01,16.01,16.01,60
2013-12-12,15.81,15.81,15.65,15.65,15.65,21
2013-12-13,15.7,15.7,15.4,15.6,15.6,148
