Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,0.5,0.51,0.5,0.51,0.51,23000
2016-01-04,0.45,0.45,0.45,0.45,0.45,100600
2016-01-05,0.44,0.45,0.41,0.41,0.41,2976800
2016-01-06,0.39,0.43,0.39,0.42,0.42,762800
2016-01-07,0.4,0.41,0.37,0.37,0.37,805900
2016-01-08,0.39,0.4,0.38,0.38,0.38,1238400
2016-01-11,0.37,0.37,0.33,0.36,0.36,1848500
2016-01-12,0.35,0.38,0.35,0.37,0.37,2687400
2016-01-13,0.37,0.37,0.37,0.37,0.37,675100
2016-01-14,0.36,0.36,0.36,0.36,0.36,2269200
2016-01-15,0.36,0.36,0.34,0.34,0.34,880800
2016-01-18,0.34,0.34,0.34,0.34,0.34,100000
2016-01-19,0.34,0.4,0.34,0.4,0.4,2770500
2016-01-20,0.39,0.42,0.38,0.42,0.42,2531100
2016-01-21,0.42,0.43,0.38,0.38,0.38,2655800
2016-01-22,0.39,0.39,0.38,0.38,0.38,2518700
2016-01-25,0.39,0.39,0.36,0.36,0.36,246000
2016-01-26,0.37,0.37,0.36,0.36,0.36,241100
2016-01-27,0.37,0.37,0.37,0.37,0.37,5000
2016-01-28,0.37,0.37,0.36,0.36,0.36,80000
2016-01-29,0.37,0.4,0.37,0.38,0.38,1050500
2016-02-01,0.37,0.38,0.37,0.38,0.38,764600
2016-02-02,0.36,0.36,0.36,0.36,0.36,687000
2016-02-03,0.35,0.36,0.35,0.36,0.36,1916300
2016-02-04,0.36,0.37,0.36,0.37,0.37,429800
2016-02-05,0.37,0.37,0.36,0.36,0.36,496000
2016-02-08,0.35,0.35,0.34,0.34,0.34,161000
2016-02-09,0.34,0.34,0.34,0.34,0.34,167300
2016-02-10,0.34,0.34,0.33,0.34,0.34,574200
2016-02-11,0.38,0.45,0.38,0.41,0.41,20097600
2016-02-12,0.42,0.42,0.4,0.4,0.4,1148600
2016-02-15,0.41,0.42,0.4,0.41,0.41,1085000
2016-02-16,0.43,0.43,0.41,0.41,0.41,759800
2016-02-17,0.41,0.44,0.38,0.44,0.44,1406400
2016-02-18,0.43,0.43,0.41,0.41,0.41,2552600
2016-02-19,0.41,0.41,0.4,0.4,0.4,1217300
2016-02-23,0.41,0.41,0.4,0.4,0.4,431500
2016-02-24,0.4,0.43,0.4,0.42,0.42,1116200
2016-02-25,0.43,0.44,0.41,0.41,0.41,774500
2016-02-26,0.42,0.43,0.41,0.43,0.43,586000
2016-02-29,0.44,0.48,0.44,0.47,0.47,1632900
2016-03-01,0.47,0.47,0.44,0.44,0.44,4965500
2016-03-02,0.44,0.46,0.43,0.44,0.44,4905600
2016-03-03,0.44,0.44,0.44,0.44,0.44,1210200
2016-03-04,0.43,0.43,0.42,0.43,0.43,1574800
2016-03-07,0.45,0.47,0.42,0.42,0.42,4544000
2016-03-08,0.43,0.43,0.38,0.38,0.38,2075300
2016-03-09,0.38,0.38,0.37,0.37,0.37,2034500
2016-03-10,0.38,0.39,0.38,0.38,0.38,2224800
2016-03-11,0.39,0.4,0.37,0.38,0.38,2237500
2016-03-14,0.39,0.4,0.37,0.37,0.37,1996700
2016-03-15,0.37,0.37,0.36,0.36,0.36,733000
2016-03-16,0.36,0.41,0.36,0.41,0.41,4150500
2016-03-17,0.41,0.41,0.39,0.4,0.4,668200
2016-03-18,0.4,0.4,0.39,0.4,0.4,980100
2016-03-21,0.41,0.41,0.4,0.4,0.4,635000
2016-03-22,0.39,0.41,0.39,0.4,0.4,1855500
2016-03-23,0.4,0.44,0.4,0.42,0.42,4160200
2016-03-24,0.44,0.44,0.42,0.42,0.42,933000
2016-03-25,0.43,0.43,0.39,0.39,0.39,1678000
2016-03-28,0.39,0.4,0.38,0.4,0.4,2509300
2016-03-29,0.42,0.44,0.42,0.44,0.44,3271700
2016-03-30,0.45,0.46,0.44,0.44,0.44,2492200
2016-03-31,0.43,0.44,0.42,0.42,0.42,736800
