Date,Open,High,Low,Close,Adj Close,Volume
2013-10-09,11.4,12.1,9.9,9.9,9.9,312646200
2013-10-10,10.3,10.3,9.9,10.2,10.2,54583700
2013-10-11,10.2,10.3,9.95,10.1,10.1,12431400
2013-10-14,10,10.1,9.9,9.9,9.9,4964400
2013-10-15,10,10.3,9.9,10,10,18005200
2013-10-16,10,10,9.9,9.9,9.9,5161400
2013-10-17,9.95,10.1,9.75,9.75,9.75,8174700
2013-10-18,9.9,10.2,9.8,9.95,9.95,9353300
2013-10-21,10,10.2,9.85,9.85,9.85,7119300
2013-10-22,9.85,10,9.8,9.8,9.8,2727800
2013-10-24,9.85,9.9,9.8,9.85,9.85,1525500
2013-10-25,9.95,9.95,9.8,9.8,9.8,2041300
2013-10-28,9.85,9.9,9.8,9.8,9.8,1620100
2013-10-29,9.85,9.85,9.75,9.8,9.8,1443300
2013-10-30,9.85,9.85,9.7,9.7,9.7,4592800
2013-10-31,9.65,9.7,9.5,9.5,9.5,2231400
2013-11-01,9.5,9.5,9.35,9.35,9.35,2091000
2013-11-04,9.3,9.3,9.05,9.05,9.05,2040400
2013-11-05,9.1,9.85,9.1,9.75,9.75,8533400
2013-11-06,9.85,10.3,9.85,9.95,9.95,10758800
2013-11-07,9.95,10.1,9.75,9.75,9.75,5526400
2013-11-08,9.7,10,9.65,9.65,9.65,3214800
2013-11-11,9.5,10.8,9.5,10.5,10.5,16536100
2013-11-12,10.6,11.5,10.5,11.1,11.1,25631300
2013-11-13,10.9,11.2,10.9,11,11,7152100
2013-11-14,11.2,11.4,11,11.1,11.1,7132200
2013-11-15,11.2,13,11,12.7,12.7,44804800
2013-11-18,12.7,12.8,12.1,12.3,12.3,16003000
2013-11-19,12.3,13.4,12.2,12.5,12.5,54459200
2013-11-20,12.6,13,12.4,12.5,12.5,22085200
2013-11-21,12.4,12.6,12.1,12.2,12.2,7885200
2013-11-22,12,12,11.6,11.9,11.9,5952600
2013-11-25,11.6,12.1,11.6,11.7,11.7,6310800
2013-11-26,11.7,12.1,11.7,11.8,11.8,6615800
2013-11-27,11.8,12.2,11.8,11.9,11.9,5013100
2013-11-28,12,12.4,12,12.3,12.3,10019100
2013-11-29,12.3,12.6,12.2,12.5,12.5,5130000
2013-12-02,12.4,12.9,12.3,12.9,12.9,4512600
2013-12-03,12.8,13.1,12.7,12.9,12.9,10189500
2013-12-04,12.9,13.7,12.8,13.7,13.7,24106100
2013-12-06,13.7,13.9,13.5,13.7,13.7,9491700
2013-12-09,13.7,13.9,13.3,13.5,13.5,6073900
2013-12-11,13.5,13.6,13.4,13.4,13.4,2074300
2013-12-12,13.5,14.2,13.4,14.2,14.2,15191300
2013-12-13,14.3,14.3,13.9,14.2,14.2,9032400
2013-12-16,14.2,14.8,14,14.6,14.6,22070600
2013-12-17,14.6,14.8,14.4,14.6,14.6,14069100
2013-12-18,14.6,14.9,14.5,14.7,14.7,13275700
2013-12-19,14.7,15.1,14.7,15,15,20205500
2013-12-20,15,15.8,15,15.8,15.8,15944200
2013-12-23,15.8,15.9,15.2,15.3,15.3,11897800
2013-12-24,15.3,15.7,15.2,15.5,15.5,9949600
2013-12-25,15.6,15.8,15.4,15.5,15.5,7534900
2013-12-26,15.5,15.5,14,14.5,14.5,14148800
2013-12-27,14.4,14.5,13.9,14,14,6229200
2014-01-02,13.6,13.6,12.5,12.6,12.6,7160000
2014-01-03,12.3,13.2,12.2,13,13,9479500
2014-01-06,12.8,13.2,12.6,13.1,13.1,3740500
2014-01-07,13.2,13.4,13,13.4,13.4,8559600
2014-01-08,13.4,13.4,12.6,13,13,5870800
2014-01-09,12.9,12.9,12.7,12.8,12.8,4541800
2014-01-10,12.8,13,12.6,12.7,12.7,2173500
2014-01-13,12.6,12.9,12.5,12.7,12.7,3227100
2014-01-14,12.8,13.1,12.7,13.1,13.1,3562900
2014-01-15,13.1,13.7,13.1,13.3,13.3,13668400
2014-01-16,13.3,14,13.3,13.8,13.8,10709900
2014-01-17,13.9,14.2,13.3,13.4,13.4,13466100
2014-01-20,13.4,13.4,12.9,13.1,13.1,3594300
2014-01-21,13.1,13.2,12.9,13,13,3733500
2014-01-22,12.8,13.1,12.8,13.1,13.1,1964000
2014-01-23,13.1,13.7,13,13.3,13.3,6068200
2014-01-24,13.5,13.5,13.2,13.2,13.2,1404100
2014-01-27,13,13.1,12.7,12.7,12.7,4703500
2014-01-28,12.6,12.9,12.5,12.6,12.6,2993800
2014-01-29,12.6,12.9,12.6,12.7,12.7,2285400
2014-01-30,12.6,13,12.6,12.9,12.9,3367400
2014-01-31,13,13.1,12.8,12.9,12.9,1473600
2014-02-03,13,13.4,12.9,13.4,13.4,4618600
2014-02-04,13.2,13.3,12.9,13,13,2398700
2014-02-05,13.1,13.2,12.8,13,13,3072600
2014-02-06,13.1,13.2,12.6,12.8,12.8,7466700
2014-02-07,12.9,13.1,12.7,12.8,12.8,4664700
2014-02-10,12.8,12.9,12.7,12.7,12.7,2225200
2014-02-11,12.7,12.8,12.5,12.6,12.6,4142600
2014-02-12,12.7,12.9,12.3,12.4,12.4,10159300
2014-02-13,12.5,12.5,12.3,12.4,12.4,2894600
2014-02-17,12.4,12.7,12.3,12.6,12.6,3003500
2014-02-18,12.6,12.7,12.3,12.6,12.6,2084400
2014-02-19,12.6,12.7,12.5,12.7,12.7,2437400
2014-02-20,12.6,12.6,12.4,12.6,12.6,963300
2014-02-21,12.6,12.7,12.5,12.5,12.5,830700
2014-02-24,12.4,12.6,12.4,12.4,12.4,2528800
2014-02-25,12.5,12.5,12.1,12.1,12.1,3607700
2014-02-26,12.2,12.5,12.2,12.3,12.3,2864800
2014-02-27,12.3,12.3,12.1,12.1,12.1,1770800
2014-02-28,12.2,12.4,12.1,12.3,12.3,2449700
2014-03-03,12.4,12.5,12.3,12.4,12.4,3708100
2014-03-04,12.5,13,12.4,13,13,9056100
2014-03-05,13.2,13.3,13,13.1,13.1,6134200
2014-03-06,13.1,13.6,13.1,13.3,13.3,5769700
2014-03-07,13.4,13.5,13.1,13.2,13.2,2175000
2014-03-10,13.2,13.4,12.9,13.1,13.1,4377700
2014-03-11,12.8,13.4,12.8,13.2,13.2,3506500
2014-03-12,13.2,13.5,13.1,13.2,13.2,2334500
2014-03-13,13.3,14,13.3,13.6,13.6,13404800
2014-03-14,13.6,13.7,13.4,13.7,13.7,2228400
2014-03-17,13.6,14.1,13.5,14,14,3383800
2014-03-18,14.1,14.2,13.7,13.7,13.7,4180000
2014-03-19,13.6,13.9,13.5,13.7,13.7,3797600
2014-03-20,13.7,13.7,13.5,13.7,13.7,1402300
2014-03-21,13.7,13.7,13.4,13.6,13.6,410100
2014-03-24,13.5,13.6,13.4,13.6,13.6,751800
2014-03-25,13.5,13.7,13.4,13.6,13.6,727700
2014-03-26,13.6,13.6,13.5,13.5,13.5,387000
2014-03-27,13.5,13.5,13.3,13.4,13.4,545600
2014-03-28,13.3,13.6,13.3,13.6,13.6,529200
2014-03-31,13.6,13.9,13.6,13.8,13.8,2688300
2014-04-01,13.8,14.4,13.7,14.4,14.4,4622200
2014-04-02,14.4,14.5,14.2,14.3,14.3,2373200
2014-04-03,14.2,14.2,14,14.1,14.1,1840700
