Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,0.82,0.93,0.82,0.89,0.89,8806700
2018-01-09,0.91,0.92,0.89,0.9,0.9,8801200
2018-01-10,0.92,0.94,0.87,0.88,0.88,7490900
2018-01-11,0.87,0.87,0.76,0.8,0.8,14828900
2018-01-12,0.81,0.93,0.81,0.92,0.92,12987800
2018-01-15,0.9,0.9,0.79,0.81,0.81,24067100
2018-01-16,0.8,0.81,0.75,0.76,0.76,12043100
2018-01-17,0.77,0.79,0.68,0.68,0.68,15895300
2018-01-18,0.7,0.73,0.69,0.69,0.69,11012500
2018-01-19,0.66,0.7,0.65,0.69,0.69,6988500
2018-01-22,0.69,0.73,0.69,0.72,0.72,6241300
2018-01-23,0.72,0.75,0.71,0.72,0.72,7361500
2018-01-24,0.71,0.74,0.7,0.72,0.72,15581500
2018-01-25,0.72,0.77,0.72,0.72,0.72,22004200
2018-01-26,0.72,0.73,0.67,0.71,0.71,7110700
2018-01-29,0.71,0.71,0.69,0.7,0.7,4835400
2018-01-30,0.7,0.7,0.68,0.68,0.68,3892600
2018-01-31,0.67,0.68,0.63,0.63,0.63,12423700
2018-02-01,0.63,0.63,0.58,0.58,0.58,12517400
2018-02-02,0.58,0.6,0.57,0.58,0.58,9072700
2018-02-05,0.54,0.55,0.52,0.54,0.54,5512700
2018-02-06,0.46,0.56,0.45,0.56,0.56,17237200
2018-02-07,0.56,0.57,0.53,0.53,0.53,5581200
2018-02-08,0.54,0.57,0.54,0.56,0.56,3023400
2018-02-09,0.52,0.57,0.52,0.57,0.57,4106400
2018-02-12,0.56,0.6,0.56,0.6,0.6,7708100
2018-02-13,0.61,0.61,0.55,0.55,0.55,2224400
2018-02-14,0.55,0.55,0.53,0.53,0.53,5367000
2018-02-15,0.53,0.58,0.52,0.58,0.58,12322700
2018-02-16,0.59,0.63,0.59,0.61,0.61,7140700
2018-02-19,0.6,0.61,0.59,0.59,0.59,4268200
2018-02-20,0.59,0.61,0.55,0.56,0.56,5989900
2018-02-21,0.55,0.55,0.47,0.48,0.48,12954600
2018-02-22,0.49,0.5,0.46,0.47,0.47,5455700
2018-02-23,0.48,0.5,0.48,0.5,0.5,3975600
2018-02-26,0.49,0.49,0.47,0.48,0.48,1152700
2018-02-27,0.56,0.61,0.56,0.56,0.56,12686900
2018-02-28,0.55,0.57,0.53,0.54,0.54,6863900
2018-03-02,0.53,0.55,0.52,0.53,0.53,7330000
2018-03-05,0.53,0.53,0.49,0.5,0.5,5434000
2018-03-06,0.5,0.51,0.5,0.5,0.5,6183800
2018-03-07,0.48,0.48,0.46,0.46,0.46,1925300
2018-03-08,0.46,0.46,0.44,0.45,0.45,3773500
2018-03-09,0.48,0.48,0.45,0.46,0.46,4373600
2018-03-12,0.46,0.47,0.46,0.46,0.46,2758500
2018-03-13,0.46,0.47,0.44,0.45,0.45,2072300
2018-03-14,0.45,0.5,0.44,0.49,0.49,6702200
2018-03-15,0.5,0.52,0.49,0.52,0.52,3626200
2018-03-16,0.52,0.57,0.51,0.57,0.57,7251100
2018-03-19,0.58,0.59,0.53,0.54,0.54,9658300
2018-03-20,0.51,0.53,0.51,0.52,0.52,1359900
2018-03-21,0.52,0.53,0.52,0.53,0.53,255000
2018-03-22,0.54,0.56,0.54,0.54,0.54,2129800
2018-03-23,0.51,0.51,0.5,0.51,0.51,2885700
2018-03-26,0.51,0.52,0.5,0.51,0.51,470500
2018-03-27,0.52,0.52,0.49,0.5,0.5,3495900
2018-03-28,0.48,0.49,0.47,0.47,0.47,1901500
2018-03-29,0.47,0.47,0.41,0.42,0.42,4188000
2018-03-30,0.43,0.48,0.43,0.46,0.46,4328400
2018-04-02,0.46,0.53,0.46,0.53,0.53,10031100
2018-04-03,0.5,0.51,0.49,0.49,0.49,4053100
2018-04-04,0.51,0.51,0.38,0.38,0.38,13173000
2018-04-05,0.4,0.42,0.38,0.42,0.42,7513800
2018-04-09,0.41,0.51,0.41,0.51,0.51,11751400
2018-04-10,0.47,0.48,0.46,0.47,0.47,709800
2018-04-11,0.49,0.49,0.47,0.47,0.47,966000
2018-04-12,0.46,0.48,0.46,0.48,0.48,2149800
2018-04-17,0.48,0.5,0.46,0.48,0.48,6932300
2018-04-18,0.5,0.54,0.49,0.54,0.54,12611200
2018-04-19,0.54,0.58,0.53,0.57,0.57,7583400
2018-04-20,0.58,0.58,0.5,0.52,0.52,5832800
2018-04-23,0.52,0.55,0.51,0.52,0.52,6517100
2018-04-24,0.51,0.51,0.47,0.48,0.48,3684800
2018-04-25,0.46,0.48,0.46,0.48,0.48,2959400
2018-04-26,0.48,0.5,0.47,0.48,0.48,9006400
2018-04-27,0.47,0.5,0.45,0.49,0.49,14610900
2018-04-30,0.49,0.51,0.48,0.5,0.5,6574700
2018-05-02,0.49,0.49,0.45,0.48,0.48,3210300
2018-05-03,0.46,0.46,0.43,0.43,0.43,7003300
2018-05-04,0.42,0.43,0.4,0.4,0.4,4580400
2018-05-07,0.4,0.4,0.31,0.33,0.33,7258700
2018-05-08,0.34,0.35,0.31,0.31,0.31,6433300
2018-05-09,0.32,0.33,0.31,0.32,0.32,8107400
2018-05-10,0.33,0.41,0.33,0.41,0.41,7803200
2018-05-11,0.41,0.46,0.37,0.43,0.43,9198900
2018-05-14,0.43,0.43,0.4,0.4,0.4,3418200
2018-05-15,0.4,0.42,0.4,0.4,0.4,8599700
2018-05-16,0.37,0.38,0.34,0.34,0.34,2489000
2018-05-17,0.35,0.36,0.31,0.32,0.32,2911700
2018-05-18,0.31,0.31,0.28,0.28,0.28,1874100
2018-05-21,0.27,0.33,0.27,0.33,0.33,2501600
2018-05-22,0.31,0.31,0.29,0.29,0.29,1279500
2018-05-23,0.29,0.31,0.29,0.3,0.3,4897900
2018-05-24,0.3,0.3,0.27,0.27,0.27,4591000
2018-05-25,0.28,0.28,0.25,0.25,0.25,2133300
2018-05-28,0.25,0.3,0.25,0.3,0.3,6505700
2018-05-30,0.25,0.26,0.23,0.24,0.24,4102700
2018-05-31,0.22,0.22,0.17,0.17,0.17,7770100
2018-06-01,0.17,0.19,0.17,0.19,0.19,3457800
2018-06-04,0.16,0.16,0.16,0.16,0.16,1567800
2018-06-05,0.18,0.23,0.18,0.23,0.23,7043300
2018-06-06,0.24,0.25,0.22,0.25,0.25,6413700
2018-06-07,0.25,0.25,0.22,0.22,0.22,2291300
2018-06-08,0.2,0.22,0.2,0.21,0.21,2497600
2018-06-11,0.21,0.23,0.21,0.22,0.22,2875500
2018-06-12,0.22,0.22,0.21,0.21,0.21,1766800
2018-06-13,0.2,0.2,0.19,0.2,0.2,1091700
2018-06-14,0.2,0.21,0.19,0.21,0.21,2375800
2018-06-15,0.19,0.2,0.19,0.19,0.19,1807400
2018-06-18,0.19,0.19,0.16,0.18,0.18,1220800
2018-06-19,0.15,0.16,0.14,0.15,0.15,3374600
2018-06-20,0.14,0.18,0.14,0.18,0.18,2801700
2018-06-21,0.16,0.16,0.13,0.14,0.14,4233000
2018-06-22,0.15,0.18,0.15,0.18,0.18,2635600
2018-06-25,0.16,0.16,0.11,0.11,0.11,4394200
2018-06-26,0.1,0.1,0.09,0.09,0.09,2515400
2018-06-27,0.09,0.09,0.07,0.07,0.07,586000
2018-06-28,0.06,0.06,0.06,0.06,0.06,1198400
2018-06-29,0.05,0.05,0.05,0.05,0.05,593800
2018-07-02,0.06,0.06,0.06,0.06,0.06,170500
2018-07-03,0.05,0.06,0.05,0.06,0.06,400000
2018-07-04,0.05,0.05,0.04,0.04,0.04,400000
2018-07-10,0.01,0.01,0.01,0.01,0.01,300000
