Date,Open,High,Low,Close,Adj Close,Volume
1999-06-11,34.5,34.5,32,32.87,32.87,447000
1999-06-14,32,32,31.75,31.95,31.95,15000
1999-06-15,31.5,31.5,30.5,30.96,30.96,22100
1999-06-16,30,34,30,30.25,30.25,1600
1999-06-17,30,31.5,30,30.29,30.29,28100
1999-06-18,31.75,33,30.5,32.06,32.06,226100
1999-06-21,31.5,32.25,30.73,30.73,30.73,1109200
1999-06-22,31,32,30.5,31.21,31.21,1293400
1999-06-23,30.75,31,30,30.37,30.37,126700
1999-06-24,31.5,40.75,31.5,37.75,37.75,7021100
1999-06-25,39,40,36.5,38.02,38.02,1769900
1999-06-28,38,38.75,37.25,37.93,37.93,2208600
1999-06-29,39.5,40,37.75,38.79,38.79,1842200
1999-06-30,40,48,39.5,43.96,43.96,9295000
1999-07-02,50,51,47,49.37,49.37,5936100
1999-07-05,48.5,49,42.25,44.9,44.9,401400
1999-07-06,43.5,44.25,43.5,43.84,43.84,197200
1999-07-07,44,45.25,43,44.08,44.08,382000
1999-07-08,45,45,40,43.69,43.69,265500
1999-07-09,38.5,41.5,38.25,40.01,40.01,640700
1999-07-12,41.75,41.75,40,40.25,40.25,101600
1999-07-13,39.75,39.75,39,39,39,34000
1999-07-14,39,39,37,37,37,48500
1999-07-15,38.5,38.5,35,35.5,35.5,518000
1999-07-16,36,36.25,33,34.25,34.25,209100
1999-07-19,34,34,32,33,33,41700
1999-07-20,33.75,36.5,33.25,36.5,36.5,194200
1999-07-21,35,36.25,34,36,36,398200
1999-07-22,36,37.5,34.5,35.75,35.75,322900
1999-07-23,35.5,36,35.5,35.5,35.5,176400
1999-07-26,35,35,35,35,35,55000
1999-07-27,36,36.5,35,36.25,36.25,96100
1999-07-29,35.5,35.5,35.25,35.25,35.25,65000
1999-07-30,34.5,34.75,34,34.75,34.75,126300
1999-08-02,34,34,33.75,33.75,33.75,4000
1999-08-03,34,34,33,33,33,29500
1999-08-04,33,33.25,31.5,32.5,32.5,47000
1999-08-05,32,32.25,31,32,32,40500
1999-08-06,30,30,29.25,29.5,29.5,65000
1999-08-09,29.5,29.5,29.25,29.5,29.5,10500
1999-08-10,30.5,30.75,29,29,29,58200
1999-08-11,29.25,29.5,28.75,28.75,28.75,29000
1999-08-13,29.25,29.5,27.5,27.5,27.5,61000
1999-08-16,27.5,28,27.25,28,28,164400
1999-08-17,27.75,29,26.5,29,29,177900
1999-08-18,27.25,28.75,27.25,28,28,42500
1999-08-19,28,29,27.75,29,29,42200
1999-08-20,29,31,28.5,30,30,217500
1999-08-23,31.5,32.75,31.25,31.5,31.5,86400
1999-08-24,31.75,35.75,31.75,33.5,33.5,243500
1999-08-25,33.5,35.25,33.5,34.25,34.25,155200
1999-08-26,33,33,32,32,32,16000
1999-08-27,33,33,32,32.25,32.25,23500
1999-08-30,31,31,29.75,29.75,29.75,23200
1999-08-31,29.25,30.5,28.75,30.5,30.5,61400
1999-09-01,30,30,29,29,29,5500
1999-09-02,27.25,27.25,27.25,27.25,27.25,1000
1999-09-03,28.5,28.5,28.5,28.5,28.5,1200
1999-09-06,28.75,29,28,28,28,4700
1999-09-08,27.5,28.5,27.5,28,28,8600
1999-09-09,28.75,29.5,28.5,29.5,29.5,240200
1999-09-10,29.5,29.5,29,29,29,23800
1999-09-13,30,31.75,30,31.25,31.25,122100
1999-09-14,31,31.5,30.25,31.25,31.25,148300
1999-09-15,31,31.25,30.75,30.75,30.75,349900
1999-09-16,29.5,29.5,29,29.5,29.5,19100
1999-09-17,30,30.25,30,30,30,8400
1999-09-20,30,30.5,30,30.5,30.5,102000
1999-09-21,29.75,29.75,29.25,29.25,29.25,3100
1999-09-22,28,28,27,27,27,39900
1999-09-23,27,27,25.25,25.25,25.25,13100
1999-09-24,24.25,24.25,24,24,24,1500
1999-09-27,23.25,26.75,23,26.75,26.75,11600
1999-09-28,24,25.5,23.75,23.75,23.75,87000
1999-09-29,23.5,24.25,23,23,23,121800
1999-09-30,24,24,23,23,23,147100
1999-10-01,24,24.5,23.25,24.25,24.25,114000
1999-10-04,24.25,24.5,23,24,24,78100
1999-10-05,23.25,23.5,23,23.5,23.5,5000
1999-10-06,23,23.5,23,23.25,23.25,10600
1999-10-07,23,23,23,23,23,5500
1999-10-11,22,22,22,22,22,5000
1999-10-12,22.75,23.25,22,23.25,23.25,9400
1999-10-13,23,23,22.25,22.5,22.5,24300
1999-10-14,22.25,23,22.25,23,23,13600
1999-10-18,22,22,21,21,21,3200
1999-10-19,21.25,21.25,20,21,21,40000
1999-10-20,21,21,20.5,20.5,20.5,10000
1999-10-22,22,22,21,21,21,52400
1999-10-26,21.5,22.25,21,21,21,73300
1999-10-27,21.5,22.25,21.5,21.5,21.5,18600
