Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,0.89,0.91,0.87,0.87,0.87,4457100
2018-02-05,0.79,0.83,0.79,0.82,0.82,2184200
2018-02-06,0.73,0.74,0.7,0.73,0.73,2718200
2018-02-07,0.75,0.76,0.72,0.73,0.73,2645000
2018-02-08,0.72,0.74,0.72,0.72,0.72,2465500
2018-02-09,0.66,0.71,0.66,0.71,0.71,2728700
2018-02-12,0.71,0.72,0.69,0.7,0.7,1563000
2018-02-13,0.71,0.72,0.7,0.7,0.7,1707000
2018-02-14,0.73,0.76,0.72,0.76,0.76,3509200
2018-02-15,0.76,0.76,0.71,0.71,0.71,2443100
2018-02-16,0.72,0.73,0.7,0.7,0.7,1410300
2018-02-19,0.69,0.73,0.68,0.7,0.7,5923500
2018-02-20,0.7,0.7,0.67,0.67,0.67,773500
2018-02-21,0.68,0.69,0.66,0.66,0.66,1945500
2018-02-22,0.66,0.66,0.57,0.57,0.57,3183800
2018-02-23,0.5,0.56,0.5,0.56,0.56,3975200
2018-02-26,0.6,0.6,0.58,0.59,0.59,1183000
2018-02-27,0.59,0.65,0.54,0.55,0.55,4270400
2018-02-28,0.56,0.64,0.56,0.63,0.63,9397400
2018-03-02,0.62,0.85,0.62,0.81,0.81,13538900
2018-03-05,0.77,0.79,0.72,0.72,0.72,3073900
2018-03-06,0.74,0.77,0.71,0.72,0.72,9565200
2018-03-07,0.71,0.71,0.67,0.67,0.67,4607100
2018-03-08,0.67,0.67,0.64,0.64,0.64,1918700
2018-03-09,0.64,0.64,0.62,0.62,0.62,2834600
2018-03-12,0.62,0.64,0.62,0.64,0.64,1013000
2018-03-13,0.65,0.68,0.64,0.68,0.68,4047700
2018-03-14,0.69,0.69,0.63,0.64,0.64,1905300
2018-03-15,0.64,0.65,0.64,0.64,0.64,863300
2018-03-16,0.65,0.65,0.63,0.64,0.64,1287100
2018-03-19,0.63,0.65,0.6,0.6,0.6,2309300
2018-03-20,0.58,0.6,0.54,0.54,0.54,1620900
2018-03-21,0.56,0.57,0.55,0.55,0.55,1474000
2018-03-22,0.57,0.59,0.57,0.57,0.57,1372000
2018-03-23,0.55,0.57,0.54,0.54,0.54,1864500
2018-03-26,0.56,0.58,0.56,0.56,0.56,2073100
2018-03-27,0.58,0.61,0.56,0.56,0.56,5732100
2018-03-28,0.57,0.58,0.55,0.55,0.55,2003300
2018-03-29,0.55,0.55,0.5,0.52,0.52,13476900
2018-03-30,0.53,0.53,0.5,0.5,0.5,1530200
2018-04-02,0.51,0.51,0.5,0.51,0.51,1434400
2018-04-03,0.5,0.51,0.48,0.49,0.49,7759800
2018-04-04,0.49,0.51,0.42,0.42,0.42,29220400
2018-04-05,0.4,0.42,0.36,0.36,0.36,2701600
2018-04-09,0.33,0.34,0.22,0.27,0.27,12821400
2018-04-10,0.3,0.32,0.25,0.25,0.25,5703800
2018-04-11,0.27,0.3,0.24,0.25,0.25,10174400
2018-04-12,0.25,0.27,0.24,0.27,0.27,1526800
2018-04-17,0.28,0.3,0.28,0.28,0.28,7036500
2018-04-18,0.31,0.32,0.29,0.32,0.32,6901200
2018-04-19,0.32,0.32,0.29,0.3,0.3,5752500
2018-04-20,0.29,0.31,0.29,0.29,0.29,1226400
2018-04-23,0.3,0.31,0.29,0.29,0.29,3020000
2018-04-24,0.29,0.29,0.28,0.28,0.28,476000
2018-04-25,0.29,0.29,0.27,0.27,0.27,557500
2018-04-26,0.27,0.28,0.25,0.25,0.25,23814000
2018-04-27,0.24,0.25,0.22,0.22,0.22,9632300
2018-04-30,0.21,0.22,0.17,0.17,0.17,4516400
2018-05-02,0.18,0.2,0.17,0.2,0.2,4628600
2018-05-03,0.2,0.22,0.2,0.21,0.21,4314800
2018-05-04,0.21,0.21,0.2,0.2,0.2,623400
2018-05-07,0.2,0.2,0.2,0.2,0.2,1206500
2018-05-08,0.2,0.2,0.17,0.17,0.17,1022400
2018-05-09,0.18,0.19,0.18,0.19,0.19,1313800
2018-05-10,0.23,0.36,0.23,0.34,0.34,31111400
2018-05-11,0.33,0.33,0.29,0.32,0.32,40565900
2018-05-14,0.32,0.33,0.27,0.33,0.33,45299600
2018-05-15,0.32,0.44,0.32,0.39,0.39,25696100
2018-05-16,0.39,0.42,0.39,0.4,0.4,7339000
2018-05-17,0.42,0.49,0.4,0.42,0.42,7498300
2018-05-18,0.41,0.42,0.39,0.41,0.41,12749800
2018-05-21,0.41,0.41,0.39,0.39,0.39,1845700
2018-05-22,0.38,0.41,0.37,0.37,0.37,6549000
2018-05-23,0.35,0.4,0.35,0.37,0.37,3865200
2018-05-24,0.37,0.44,0.37,0.42,0.42,17835300
2018-05-25,0.42,0.42,0.36,0.37,0.37,30028600
2018-05-28,0.36,0.38,0.35,0.37,0.37,27419500
2018-05-30,0.37,0.42,0.36,0.41,0.41,20003200
2018-05-31,0.41,0.53,0.41,0.49,0.49,25967700
2018-06-01,0.48,0.5,0.47,0.47,0.47,15692100
2018-06-04,0.48,0.48,0.43,0.43,0.43,9265900
2018-06-05,0.43,0.46,0.4,0.42,0.42,16154200
2018-06-06,0.43,0.45,0.4,0.4,0.4,6832800
2018-06-07,0.42,0.43,0.4,0.4,0.4,10668700
2018-06-08,0.41,0.43,0.4,0.4,0.4,13968700
2018-06-11,0.41,0.41,0.35,0.36,0.36,8120600
2018-06-12,0.36,0.37,0.32,0.33,0.33,7235700
2018-06-13,0.32,0.32,0.26,0.27,0.27,5389900
2018-06-14,0.27,0.29,0.27,0.28,0.28,4199000
2018-06-15,0.28,0.29,0.26,0.26,0.26,10165500
2018-06-18,0.25,0.25,0.22,0.22,0.22,2037300
2018-06-19,0.2,0.21,0.17,0.18,0.18,2207900
2018-06-20,0.18,0.2,0.18,0.18,0.18,5190700
2018-06-21,0.18,0.19,0.17,0.17,0.17,860600
2018-06-22,0.18,0.2,0.17,0.17,0.17,926800
2018-06-25,0.17,0.18,0.16,0.16,0.16,1385800
2018-06-26,0.14,0.15,0.14,0.15,0.15,1181000
2018-06-27,0.15,0.16,0.15,0.15,0.15,1027200
2018-06-28,0.15,0.15,0.11,0.11,0.11,5295700
2018-06-29,0.11,0.11,0.05,0.08,0.08,9764500
2018-07-02,0.06,0.07,0.06,0.06,0.06,3675700
2018-07-03,0.07,0.12,0.07,0.11,0.11,4703800
2018-07-04,0.11,0.11,0.08,0.08,0.08,3321600
2018-07-05,0.08,0.08,0.04,0.04,0.04,2070100
2018-07-06,0.04,0.05,0.03,0.05,0.05,4172000
2018-07-09,0.06,0.06,0.05,0.05,0.05,1155000
2018-07-10,0.05,0.05,0.04,0.04,0.04,1490000
2018-07-11,0.04,0.06,0.04,0.04,0.04,3575700
2018-07-12,0.05,0.06,0.05,0.05,0.05,2036100
2018-07-16,0.05,0.05,0.04,0.04,0.04,105000
2018-07-17,0.04,0.04,0.03,0.03,0.03,3332300
2018-07-18,0.03,0.03,0.02,0.02,0.02,1360000
2018-07-19,0.03,0.03,0.03,0.03,0.03,1185000
2018-07-20,0.04,0.04,0.04,0.04,0.04,2850100
2018-07-23,0.04,0.04,0.04,0.04,0.04,400000
2018-07-24,0.04,0.05,0.04,0.05,0.05,1400400
2018-07-25,0.05,0.06,0.05,0.05,0.05,3395000
2018-07-26,0.06,0.07,0.06,0.07,0.07,4436900
2018-07-31,0.06,0.06,0.05,0.05,0.05,1303000
2018-08-01,0.05,0.07,0.05,0.07,0.07,1045600
2018-08-02,0.05,0.06,0.05,0.06,0.06,1145400
2018-08-03,0.06,0.06,0.05,0.05,0.05,2252000
2018-08-06,0.07,0.07,0.04,0.04,0.04,3464400
2018-08-07,0.04,0.04,0.03,0.04,0.04,226900
2018-08-09,0.04,0.04,0.03,0.04,0.04,1833100
2018-08-10,0.03,0.03,0.02,0.02,0.02,5088900
2018-08-14,0.02,0.02,0.02,0.02,0.02,100800
2018-08-16,0.01,0.02,0.01,0.02,0.02,1221100
2018-08-17,0.01,0.02,0.01,0.01,0.01,4329600
2018-08-21,0.01,0.01,0.01,0.01,0.01,548000
2018-08-22,0.01,0.01,0.01,0.01,0.01,100
2018-08-23,0.01,0.01,0.01,0.01,0.01,1500000
2018-08-24,0.01,0.01,0.01,0.01,0.01,201100
2018-08-27,0.01,0.01,0.01,0.01,0.01,322000
2018-08-28,0.01,0.01,0.01,0.01,0.01,1306300
2018-08-29,0.01,0.01,0.01,0.01,0.01,1464000
2018-08-30,0.01,0.01,0.01,0.01,0.01,180100
