Date,Open,High,Low,Close,Adj Close,Volume
2015-01-07,0.39,0.4,0.39,0.39,0.39,5367000
2015-01-08,0.4,0.42,0.4,0.42,0.42,3588800
2015-01-09,0.43,0.43,0.42,0.42,0.42,6000
2015-01-12,0.44,0.45,0.44,0.45,0.45,1593400
2015-01-14,0.46,0.47,0.45,0.45,0.45,1654200
2015-01-15,0.45,0.46,0.44,0.45,0.45,2160800
2015-01-19,0.44,0.44,0.44,0.44,0.44,57600
2015-01-23,0.53,0.54,0.53,0.53,0.53,2180200
2015-01-26,0.52,0.53,0.52,0.53,0.53,2233800
2015-01-27,0.54,0.55,0.54,0.55,0.55,2804200
2015-01-29,0.51,0.52,0.51,0.52,0.52,226200
2015-01-30,0.52,0.52,0.5,0.5,0.5,1088800
2015-02-04,0.51,0.51,0.51,0.51,0.51,20000
2015-02-05,0.49,0.49,0.49,0.49,0.49,3051000
2015-02-06,0.51,0.51,0.5,0.5,0.5,422400
2015-02-19,0.47,0.47,0.44,0.44,0.44,30800
2015-02-23,0.46,0.46,0.46,0.46,0.46,1000
2015-03-10,0.39,0.39,0.38,0.39,0.39,1800000
2015-03-16,0.35,0.35,0.35,0.35,0.35,50000
2015-03-17,0.39,0.39,0.39,0.39,0.39,1000
2015-03-24,0.34,0.34,0.34,0.34,0.34,1000
2015-04-22,0.24,0.24,0.24,0.24,0.24,70000
2015-04-28,0.18,0.18,0.17,0.17,0.17,243000
2015-04-29,0.17,0.17,0.16,0.16,0.16,93400
2015-04-30,0.17,0.17,0.17,0.17,0.17,1000
2015-05-08,0.14,0.14,0.14,0.14,0.14,300000
2015-05-22,0.11,0.11,0.09,0.09,0.09,570000
2015-05-25,0.09,0.09,0.08,0.08,0.08,23000
2015-05-26,0.08,0.08,0.08,0.08,0.08,1000
