Date,Open,High,Low,Close,Adj Close,Volume
2015-12-04,0.83,0.83,0.83,0.83,0.83,800000
2015-12-08,0.85,0.85,0.85,0.85,0.85,200000
2015-12-09,0.84,0.89,0.84,0.89,0.89,1600000
2015-12-11,0.91,0.91,0.9,0.91,0.91,860000
2015-12-14,0.95,0.95,0.94,0.94,0.94,410000
2015-12-15,0.93,0.93,0.93,0.93,0.93,70000
2015-12-16,0.91,0.91,0.88,0.88,0.88,200
2015-12-18,0.89,0.9,0.89,0.9,0.9,1000000
2015-12-21,0.92,0.94,0.92,0.94,0.94,500200
2015-12-22,0.91,0.91,0.91,0.91,0.91,500000
2016-01-05,0.93,0.93,0.93,0.93,0.93,400000
2016-01-06,0.9,0.9,0.9,0.9,0.9,600000
2016-01-14,0.81,0.83,0.81,0.83,0.83,600000
2016-01-26,0.74,0.77,0.74,0.77,0.77,300000
2016-01-27,0.75,0.78,0.75,0.78,0.78,300000
2016-01-28,0.79,0.81,0.79,0.81,0.81,600000
2016-01-29,0.76,0.76,0.76,0.76,0.76,300000
2016-02-01,0.73,0.73,0.73,0.73,0.73,300000
2016-02-03,0.79,0.79,0.78,0.78,0.78,720000
2016-02-04,0.74,0.74,0.73,0.73,0.73,115900
2016-02-05,0.73,0.74,0.73,0.73,0.73,721100
2016-02-09,0.74,0.74,0.73,0.73,0.73,115000
2016-02-10,0.74,0.74,0.73,0.73,0.73,416000
2016-02-16,0.77,0.77,0.77,0.77,0.77,402000
2016-02-17,0.78,0.81,0.78,0.81,0.81,1002200
2016-02-18,0.75,0.75,0.75,0.75,0.75,1553800
2016-02-19,0.75,0.75,0.75,0.75,0.75,402000
2016-02-23,0.71,0.71,0.71,0.71,0.71,1279800
2016-02-24,0.72,0.72,0.72,0.72,0.72,600000
2016-02-25,0.72,0.73,0.72,0.73,0.73,1200000
2016-02-29,0.73,0.74,0.73,0.74,0.74,640000
2016-03-01,0.74,0.74,0.74,0.74,0.74,721400
2016-03-03,0.68,0.71,0.67,0.71,0.71,1446600
2016-03-04,0.69,0.7,0.69,0.7,0.7,750200
2016-03-07,0.68,0.7,0.68,0.69,0.69,692000
2016-03-08,0.72,0.72,0.72,0.72,0.72,640000
2016-03-09,0.77,0.77,0.76,0.76,0.76,800800
2016-03-10,0.73,0.76,0.72,0.74,0.74,1741200
2016-03-11,0.73,0.73,0.73,0.73,0.73,456000
2016-03-14,0.71,0.71,0.69,0.69,0.69,444400
2016-03-16,0.75,0.75,0.75,0.75,0.75,342200
2016-03-23,0.74,0.74,0.74,0.74,0.74,130000
2016-03-24,0.74,0.74,0.74,0.74,0.74,1000
2016-03-25,0.74,0.74,0.74,0.74,0.74,76000
2016-03-30,0.72,0.73,0.72,0.73,0.73,114000
2016-04-01,0.73,0.73,0.73,0.73,0.73,38000
2016-04-05,0.74,0.75,0.74,0.75,0.75,38000
2016-04-07,0.79,0.82,0.79,0.82,0.82,76000
2016-04-08,0.85,0.87,0.82,0.82,0.82,230000
2016-04-11,0.83,0.85,0.83,0.85,0.85,38000
2016-04-12,0.8,0.8,0.8,0.8,0.8,100
2016-04-19,0.75,0.75,0.74,0.74,0.74,77500
2016-04-20,0.76,0.79,0.76,0.79,0.79,415900
2016-04-25,0.79,0.79,0.79,0.79,0.79,1000
2016-04-26,0.8,0.82,0.8,0.82,0.82,40800
2016-04-27,0.82,0.83,0.82,0.83,0.83,165300
2016-04-28,0.86,0.87,0.83,0.83,0.83,116800
2016-05-04,0.81,0.81,0.81,0.81,0.81,20000
2016-05-09,0.85,0.85,0.85,0.85,0.85,70400
2016-05-12,0.88,0.88,0.87,0.87,0.87,122400
2016-05-17,0.74,0.74,0.73,0.73,0.73,41800
2016-05-18,0.82,0.82,0.81,0.81,0.81,40600
2016-05-31,0.77,0.77,0.76,0.76,0.76,286400
2016-06-01,0.77,0.77,0.77,0.77,0.77,41600
2016-06-10,0.79,0.79,0.79,0.79,0.79,244600
2016-06-15,0.8,0.8,0.8,0.8,0.8,206400
2016-06-29,0.78,0.78,0.78,0.78,0.78,164200
2016-07-06,0.78,0.78,0.74,0.74,0.74,200
2016-07-07,0.68,0.68,0.68,0.68,0.68,41600
2016-07-11,0.69,0.69,0.68,0.68,0.68,123000
2016-07-12,0.69,0.69,0.68,0.68,0.68,287800
2016-07-14,0.72,0.72,0.72,0.72,0.72,82000
2016-07-15,0.72,0.72,0.72,0.72,0.72,492600
2016-08-01,0.69,0.69,0.69,0.69,0.69,493400
2016-08-11,0.69,0.69,0.69,0.69,0.69,536600
2016-08-23,0.61,0.61,0.61,0.61,0.61,454800
2016-09-20,0.72,0.72,0.72,0.72,0.72,100
2016-09-21,0.67,0.67,0.67,0.67,0.67,100
2016-09-28,0.73,0.73,0.73,0.73,0.73,100
2016-09-30,0.72,0.72,0.72,0.72,0.72,100
2016-10-12,1.06,1.06,0.92,1,1,769200
2016-10-13,0.98,1.05,0.98,0.98,0.98,728500
2016-10-14,0.87,0.87,0.87,0.87,0.87,40800
2016-10-17,0.83,0.83,0.83,0.83,0.83,100
2016-11-14,0.75,0.75,0.75,0.75,0.75,20000
