Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,1.18,1.19,1.18,1.19,1.19,1236300
2016-12-20,1.18,1.2,1.18,1.19,1.19,1462900
2016-12-21,1.21,1.21,1.19,1.2,1.2,433600
2016-12-22,1.21,1.24,1.21,1.23,1.23,1226000
2016-12-23,1.23,1.24,1.2,1.2,1.2,974600
2016-12-26,1.22,1.22,1.21,1.22,1.22,627300
2016-12-27,1.21,1.24,1.21,1.24,1.24,2287100
2016-12-28,1.25,1.25,1.22,1.23,1.23,1949100
2016-12-29,1.22,1.22,1.19,1.19,1.19,2099700
2016-12-30,1.18,1.18,1.17,1.17,1.17,709400
2017-01-04,1.16,1.16,1.14,1.15,1.15,1447500
2017-01-05,1.18,1.19,1.16,1.19,1.19,2039700
2017-01-06,1.19,1.24,1.19,1.24,1.24,2599200
2017-01-09,1.26,1.28,1.26,1.27,1.27,1052300
2017-01-10,1.27,1.27,1.25,1.27,1.27,463600
2017-01-11,1.24,1.28,1.24,1.28,1.28,2960700
2017-01-12,1.27,1.27,1.24,1.25,1.25,2277200
2017-01-13,1.24,1.24,1.22,1.22,1.22,834000
2017-01-16,1.21,1.21,1.2,1.2,1.2,1382000
2017-01-17,1.2,1.24,1.2,1.22,1.22,1589500
2017-01-18,1.23,1.23,1.21,1.21,1.21,840200
2017-01-19,1.21,1.22,1.21,1.22,1.22,913600
2017-01-20,1.2,1.2,1.16,1.17,1.17,1203200
2017-01-23,1.15,1.16,1.15,1.15,1.15,327800
2017-01-24,1.15,1.15,1.13,1.14,1.14,1435800
2017-01-25,1.14,1.15,1.12,1.12,1.12,2197300
2017-01-26,1.11,1.12,1.11,1.11,1.11,232500
2017-01-27,1.1,1.11,1.1,1.1,1.1,661000
2017-01-30,1.09,1.1,1.09,1.1,1.1,10800
2017-01-31,1.09,1.14,1.09,1.14,1.14,1865700
2017-02-01,1.14,1.15,1.13,1.14,1.14,1939600
2017-02-02,1.1,1.14,1.1,1.14,1.14,2602700
2017-02-03,1.14,1.14,1.12,1.12,1.12,721200
2017-02-06,1.1,1.1,1.09,1.09,1.09,1019600
2017-02-07,1.1,1.11,1.1,1.1,1.1,1166800
2017-02-08,1.09,1.09,1.08,1.08,1.08,819400
2017-02-09,1.07,1.07,1.05,1.06,1.06,1369800
2017-02-10,1.04,1.05,1.02,1.05,1.05,1382700
2017-02-14,1.05,1.06,1.03,1.06,1.06,1832300
2017-02-15,1.06,1.06,0.98,0.98,0.98,3448800
2017-02-16,0.94,0.94,0.89,0.91,0.91,5505800
2017-02-17,0.91,0.91,0.89,0.89,0.89,1431700
2017-02-20,0.88,0.89,0.85,0.85,0.85,3647300
2017-02-21,0.86,0.89,0.83,0.88,0.88,3637900
2017-02-22,0.87,0.87,0.84,0.85,0.85,5043700
2017-02-23,0.85,0.89,0.85,0.85,0.85,4799400
2017-02-24,0.85,0.86,0.84,0.84,0.84,3462600
2017-02-27,0.86,0.87,0.85,0.86,0.86,2210900
2017-02-28,0.84,0.84,0.81,0.83,0.83,1539200
2017-03-01,0.81,0.81,0.78,0.79,0.79,944500
2017-03-02,0.77,0.8,0.77,0.78,0.78,1562800
2017-03-03,0.79,0.8,0.78,0.78,0.78,1695100
2017-03-06,0.78,0.84,0.78,0.83,0.83,3291600
2017-03-07,0.81,0.83,0.8,0.83,0.83,573800
2017-03-08,0.85,0.91,0.79,0.79,0.79,3021200
2017-03-09,0.81,0.85,0.8,0.84,0.84,1138600
2017-03-10,0.9,0.9,0.77,0.77,0.77,2224800
2017-03-13,0.78,0.8,0.76,0.78,0.78,2430100
2017-03-14,0.77,0.77,0.74,0.74,0.74,694800
2017-03-15,0.74,0.76,0.74,0.76,0.76,325400
2017-03-16,0.72,0.74,0.72,0.73,0.73,1215500
2017-03-17,0.73,0.75,0.73,0.75,0.75,1255600
2017-03-20,0.71,0.74,0.71,0.74,0.74,1777800
2017-03-21,0.73,0.73,0.7,0.7,0.7,2022700
2017-03-22,0.71,0.72,0.71,0.71,0.71,2395500
2017-03-23,0.72,0.75,0.72,0.75,0.75,1304300
2017-03-24,0.74,0.74,0.73,0.73,0.73,344200
2017-03-27,0.73,0.74,0.73,0.73,0.73,651200
2017-03-28,0.71,0.72,0.71,0.72,0.72,776300
2017-03-29,0.7,0.71,0.7,0.71,0.71,467700
2017-03-30,0.68,0.69,0.67,0.67,0.67,1149900
2017-03-31,0.67,0.7,0.67,0.7,0.7,1267500
2017-04-03,0.7,0.7,0.68,0.68,0.68,119800
2017-04-04,0.68,0.69,0.68,0.69,0.69,555800
2017-04-05,0.7,0.71,0.7,0.71,0.71,392800
2017-04-07,0.69,0.73,0.69,0.72,0.72,638100
2017-04-10,0.69,0.69,0.67,0.67,0.67,730100
2017-04-11,0.65,0.66,0.62,0.62,0.62,1229300
2017-04-12,0.6,0.61,0.6,0.6,0.6,477800
2017-04-17,0.61,0.63,0.61,0.63,0.63,1099700
2017-04-18,0.6,0.62,0.6,0.62,0.62,312200
2017-04-19,0.64,0.64,0.63,0.63,0.63,570000
2017-04-20,0.64,0.66,0.64,0.66,0.66,853100
2017-04-21,0.64,0.64,0.63,0.63,0.63,674000
2017-04-24,0.62,0.62,0.61,0.61,0.61,597500
2017-04-25,0.6,0.63,0.6,0.62,0.62,1217500
2017-04-26,0.59,0.59,0.58,0.58,0.58,1319800
2017-04-27,0.56,0.58,0.56,0.57,0.57,1689600
2017-04-28,0.56,0.56,0.55,0.55,0.55,735300
2017-05-02,0.53,0.56,0.53,0.56,0.56,1560800
2017-05-03,0.55,0.55,0.54,0.54,0.54,133500
2017-05-04,0.54,0.54,0.52,0.52,0.52,905200
2017-05-05,0.51,0.53,0.49,0.52,0.52,2132200
2017-05-08,0.48,0.54,0.48,0.53,0.53,2057900
2017-05-09,0.52,0.55,0.52,0.55,0.55,742700
2017-05-11,0.54,0.59,0.54,0.58,0.58,1065300
2017-05-12,0.55,0.62,0.54,0.61,0.61,5294500
2017-05-15,0.61,0.63,0.59,0.59,0.59,2373300
2017-05-16,0.57,0.63,0.56,0.63,0.63,3552900
2017-05-17,0.62,0.64,0.59,0.59,0.59,4494700
2017-05-18,0.57,0.57,0.56,0.56,0.56,3474400
2017-05-19,0.52,0.55,0.5,0.55,0.55,3018300
2017-05-22,0.52,0.57,0.5,0.56,0.56,3953500
2017-05-23,0.53,0.53,0.5,0.52,0.52,4269300
2017-05-24,0.49,0.52,0.49,0.5,0.5,1695000
2017-05-25,0.5,0.52,0.5,0.52,0.52,978000
2017-05-26,0.51,0.51,0.48,0.48,0.48,1293200
2017-05-29,0.48,0.51,0.47,0.5,0.5,1886900
2017-05-30,0.48,0.48,0.44,0.44,0.44,2051100
2017-05-31,0.44,0.48,0.41,0.45,0.45,5334800
2017-06-01,0.43,0.47,0.43,0.47,0.47,1064700
2017-06-02,0.45,0.45,0.39,0.39,0.39,2141900
2017-06-05,0.37,0.39,0.36,0.38,0.38,3459900
2017-06-06,0.37,0.37,0.36,0.37,0.37,2642600
2017-06-07,0.34,0.35,0.34,0.35,0.35,758300
2017-06-08,0.34,0.36,0.34,0.36,0.36,1562600
2017-06-09,0.33,0.33,0.31,0.32,0.32,1731200
2017-06-12,0.32,0.33,0.3,0.32,0.32,1739800
2017-06-13,0.3,0.3,0.24,0.24,0.24,697900
2017-06-14,0.24,0.27,0.23,0.25,0.25,2142100
2017-06-15,0.24,0.26,0.23,0.25,0.25,1269600
2017-06-16,0.23,0.24,0.23,0.24,0.24,502500
2017-06-19,0.21,0.23,0.21,0.23,0.23,310400
2017-06-20,0.22,0.22,0.21,0.22,0.22,673800
2017-06-21,0.22,0.22,0.22,0.22,0.22,362400
2017-06-22,0.17,0.19,0.17,0.19,0.19,441000
2017-06-23,0.19,0.2,0.18,0.18,0.18,804900
2017-06-26,0.17,0.18,0.17,0.18,0.18,442600
