Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,0.88,0.88,0.88,0.88,0.88,120200
2018-07-20,0.87,0.9,0.86,0.9,0.9,3573300
2018-07-23,0.92,1.12,0.89,1.08,1.08,6271700
2018-07-24,1.09,1.11,1,1.02,1.02,3828200
2018-07-25,1.01,1.02,0.97,1,1,4228800
2018-07-26,1.02,1.02,0.96,1.01,1.01,1610400
2018-07-31,0.99,0.99,0.93,0.94,0.94,2724100
2018-08-01,0.99,1.06,0.99,1.05,1.05,4690100
2018-08-02,1.05,1.07,1.03,1.03,1.03,2620000
2018-08-03,1.02,1.05,1.02,1.04,1.04,3966400
2018-08-06,1.06,1.08,0.95,0.96,0.96,1924800
2018-08-07,0.96,0.97,0.83,0.92,0.92,5433900
2018-08-08,0.9,0.9,0.83,0.85,0.85,2469100
2018-08-09,0.85,0.88,0.82,0.86,0.86,3275000
2018-08-10,0.86,0.96,0.86,0.88,0.88,4506500
2018-08-14,0.86,0.91,0.86,0.91,0.91,3550600
2018-08-15,0.94,0.98,0.93,0.94,0.94,3658800
2018-08-16,0.96,1.04,0.95,1.04,1.04,2006300
2018-08-17,1.07,1.11,1.05,1.06,1.06,1952800
2018-08-20,1.12,1.12,1.1,1.1,1.1,844600
2018-08-21,1.04,1.08,1.03,1.04,1.04,1054600
2018-08-22,1.05,1.2,1.05,1.14,1.14,1494400
2018-08-23,1.18,1.18,1.14,1.14,1.14,426800
2018-08-24,1.12,1.14,1.07,1.11,1.11,1494500
2018-08-27,1.12,1.16,1.11,1.16,1.16,1266300
2018-08-28,1.09,1.1,1.06,1.08,1.08,582100
2018-08-29,1.09,1.11,1.09,1.09,1.09,793600
2018-08-30,1.1,1.12,1.07,1.07,1.07,493800
2018-08-31,1,1.04,1,1.04,1.04,966900
2018-09-03,1.11,1.17,1.11,1.15,1.15,2305800
2018-09-04,1.18,1.18,1.14,1.14,1.14,417600
2018-09-05,1.09,1.11,1.09,1.09,1.09,1541600
2018-09-06,1.05,1.14,1.02,1.13,1.13,5327000
2018-09-07,1.06,1.11,1.06,1.1,1.1,1519700
2018-09-10,1.1,1.11,1.07,1.08,1.08,559400
2018-09-11,1.07,1.07,1.01,1.01,1.01,1039000
