Date,Open,High,Low,Close,Adj Close,Volume
2013-04-26,0.82,0.82,0.82,0.82,0.82,2000000
2013-04-30,0.79,0.79,0.79,0.79,0.79,4000000
2013-05-08,0.77,0.77,0.77,0.77,0.77,200000
2013-05-10,0.72,0.73,0.72,0.73,0.73,20000
2013-05-13,0.81,0.82,0.8,0.8,0.8,10022000
2013-05-16,0.73,0.73,0.71,0.71,0.71,2002000
2013-05-17,0.71,0.72,0.71,0.72,0.72,303000
2013-05-20,0.74,0.75,0.74,0.75,0.75,9000
2013-05-21,0.76,0.76,0.76,0.76,0.76,3000
2013-05-22,0.73,0.74,0.72,0.74,0.74,4620000
2013-05-23,0.68,0.68,0.68,0.68,0.68,1000
2013-05-28,0.72,0.72,0.72,0.72,0.72,20000
2013-05-29,0.72,0.75,0.72,0.75,0.75,20000
2013-05-30,0.67,0.67,0.67,0.67,0.67,200000
2013-05-31,0.67,0.67,0.62,0.62,0.62,310000
2013-06-04,0.65,0.65,0.65,0.65,0.65,30000
2013-06-05,0.68,0.68,0.68,0.68,0.68,400000
2013-06-06,0.64,0.65,0.6,0.65,0.65,1700000
2013-06-10,0.71,0.71,0.71,0.71,0.71,2000000
2013-06-18,0.66,0.67,0.66,0.67,0.67,2000000
2013-06-20,0.67,0.67,0.66,0.66,0.66,580000
2013-06-24,0.63,0.64,0.63,0.64,0.64,1000000
2013-06-25,0.58,0.58,0.57,0.57,0.57,300000
2013-06-27,0.52,0.55,0.52,0.54,0.54,1509800
2013-06-28,0.55,0.55,0.52,0.55,0.55,2200000
2013-07-03,0.62,0.62,0.58,0.58,0.58,1609800
2013-07-05,0.71,0.72,0.71,0.72,0.72,120000
2013-07-08,0.69,0.7,0.65,0.65,0.65,2120000
2013-07-09,0.6,0.6,0.6,0.6,0.6,300000
2013-07-11,0.62,0.7,0.62,0.7,0.7,609000
2013-07-12,0.7,0.7,0.64,0.66,0.66,2511000
2013-07-15,0.65,0.66,0.62,0.63,0.63,1032000
2013-07-16,0.61,0.61,0.56,0.59,0.59,3616400
2013-07-17,0.57,0.57,0.55,0.55,0.55,7000
2013-07-18,0.55,0.55,0.55,0.55,0.55,1039000
2013-07-19,0.56,0.58,0.56,0.58,0.58,2352000
2013-07-23,0.58,0.58,0.58,0.58,0.58,568000
2013-07-24,0.58,0.58,0.58,0.58,0.58,500000
2013-07-25,0.52,0.52,0.49,0.49,0.49,2620000
2013-07-26,0.49,0.49,0.48,0.49,0.49,5500000
2013-07-29,0.47,0.49,0.46,0.49,0.49,4311000
2013-07-30,0.47,0.47,0.46,0.46,0.46,1200900
2013-07-31,0.41,0.41,0.4,0.4,0.4,900000
2013-08-01,0.45,0.48,0.44,0.48,0.48,301000
2013-08-02,0.42,0.43,0.42,0.43,0.43,400000
2013-08-05,0.39,0.43,0.39,0.43,0.43,300000
2013-08-07,0.39,0.39,0.38,0.38,0.38,1111200
2013-08-08,0.38,0.39,0.38,0.38,0.38,760000
2013-08-09,0.41,0.41,0.4,0.4,0.4,1552100
2013-08-13,0.41,0.43,0.41,0.42,0.42,369000
2013-08-15,0.37,0.39,0.36,0.37,0.37,1710000
2013-08-16,0.35,0.4,0.35,0.4,0.4,2595100
2013-08-19,0.36,0.36,0.31,0.31,0.31,4113000
