Date,Open,High,Low,Close,Adj Close,Volume
1989-07-25,136,136,136,136,136,12000
1989-07-26,145,145,145,145,145,12000
1989-11-27,145,145,145,145,145,1125
1990-01-17,139,139,139,139,139,17200
1990-02-01,147,148,147,148,148,59000
1990-02-20,138,138,138,138,138,139300
1990-03-30,143,143,143,143,143,30500
1990-04-11,143,143,143,143,143,44000
1990-04-24,180,180,180,180,180,18000
1990-05-10,183,183,183,183,183,13600
1990-05-18,182,182,182,182,182,10000
1990-05-23,183,183,183,183,183,87600
1990-11-16,64,64,64,64,64,59900
1990-11-19,65,65,65,65,65,49500
1991-01-24,53,53,53,53,53,10000
1991-01-25,55,55,55,55,55,17400
1991-01-28,56,56,56,56,56,22600
1991-02-06,56,56,56,56,56,100000
1991-02-12,82,82,82,82,82,27600
1991-02-20,82,82,82,82,82,28100
1991-04-17,101,101,101,101,101,10000
1992-03-18,66.5,66.5,66.5,66.5,66.5,20000
1992-03-19,66.5,66.5,66.5,66.5,66.5,20000
1992-03-20,66.5,66.5,66.5,66.5,66.5,25000
1993-08-26,50,50,50,50,50,100000
1993-09-07,69.5,69.5,69.5,69.5,69.5,50000
1995-01-17,50,50,50,50,50,1500
1995-04-28,42.25,42.25,42.25,42.25,42.25,236900
1995-07-27,46,46,46,46,46,46000
1995-07-31,46,46,46,46,46,4000
1995-08-01,46,46,46,46,46,60000
